Instrument,YahooStockSymbol
USD/JPY,JPY=X
AUD/USD,AUD=X
EUR/JPY,EURJPY=X
USD/INR,INR=X
EUR/INR,EURINR=X
GBP/INR,GBPINR=X
JPY/INR,JPYINR=X
Gold Future,GC=F
Aluminium Future,ALI=F
Copper Future,HG=F
Crude Oil WTI Future,CL=F
Silver Future,SI=F
NIFTY50,^NSEI
BankNifty,^NSEBANK
MidcapNifty,^NSEMDCP50
Nifty Fin Service,NIFTY_FIN_SERVICE.NS
20MICRONS,20MICRONS.NS
21STCENMGM,21STCENMGM.NS
360ONE,360ONE.NS
3IINFOLTD,3IINFOLTD.NS
3MINDIA,3MINDIA.NS
3PLAND,3PLAND.NS
5PAISA,5PAISA.NS
63MOONS,63MOONS.NS
A2ZINFRA,A2ZINFRA.NS
AAATECH,AAATECH.NS
AAKASH,AAKASH.NS
AAREYDRUGS,AAREYDRUGS.NS
AARON,AARON.NS
AARTIDRUGS,AARTIDRUGS.NS
AARTIIND,AARTIIND.NS
AARTISURF,AARTISURF.NS
AARVEEDEN,AARVEEDEN.NS
AARVI,AARVI.NS
AAVAS,AAVAS.NS
ABAN,ABAN.NS
ABB,ABB.NS
ABBOTINDIA,ABBOTINDIA.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ABSLAMC,ABSLAMC.NS
ABSLBANETF,ABSLBANETF.NS
ABSLNN50ET,ABSLNN50ET.NS
ACC,ACC.NS
ACCELYA,ACCELYA.NS
ACCURACY,ACCURACY.NS
ACE,ACE.NS
ACEINTEG,ACEINTEG.NS
ACI,ACI.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
ADANITRANS,ADANITRANS.NS
ADFFOODS,ADFFOODS.NS
ADORWELD,ADORWELD.NS
ADROITINFO,ADROITINFO.NS
ADSL,ADSL.NS
ADVANIHOTR,ADVANIHOTR.NS
ADVENZYMES,ADVENZYMES.NS
AEGISCHEM,AEGISCHEM.NS
