time,open,high,low,close,volume
1786074300,500.0,500.0,497.0,497.1,6281
1786074360,496.65,502.15,496.55,502.05,22032
1786074420,502.1,503.0,502.05,502.7,12856
1786074480,502.65,504.8,502.1,503.95,20809
1786074540,504.1,504.75,503.65,503.65,7526
1786074600,503.65,504.0,503.1,504.0,4030
1786074660,503.8,504.0,503.55,503.8,4297
1786074720,503.9,504.4,503.9,504.15,2337
1786074780,504.25,505.3,504.25,505.15,10525
1786074840,505.15,505.4,504.5,505.4,10245
1786074900,504.8,504.8,503.0,503.8,3750
1786074960,503.4,503.75,503.35,503.75,3585
1786075020,503.6,503.85,503.1,503.85,1282
1786075080,504.1,504.5,504.0,504.1,3476
1786075140,504.1,504.55,504.1,504.55,1981
1786075200,504.75,504.9,504.5,504.55,3452
1786075260,504.5,505.5,504.4,505.2,18695
1786075320,504.95,506.6,504.95,506.6,9543
1786075380,506.6,506.6,504.45,504.45,8787
1786075440,504.6,504.7,504.0,504.0,3141
1786075500,504.05,504.05,502.85,503.2,4348
1786075560,502.9,502.95,502.75,502.9,2332
1786075620,503.2,503.75,502.5,502.5,9264
1786075680,502.55,503.05,502.55,503.0,4922
1786075740,503.0,503.4,502.8,502.8,2819
1786075800,502.5,502.5,501.2,501.25,5768
1786075860,501.2,501.65,501.2,501.3,1041
1786075920,501.35,501.95,501.35,501.9,4518
1786075980,502.2,502.2,501.5,501.5,3453
1786076040,501.9,501.9,501.05,501.05,5458
1786076100,501.55,501.7,501.5,501.7,1665
1786076160,501.55,501.6,501.15,501.2,2548
1786076220,501.15,501.95,501.05,501.3,11595
1786076280,501.05,504.3,501.05,504.3,34016
1786076340,504.2,504.65,503.85,504.35,2445
1786076400,504.35,505.3,504.35,505.3,7496
1786076460,505.2,506.4,505.2,506.2,12990
1786076520,506.2,506.2,505.2,505.6,2958
1786076580,505.1,505.6,505.1,505.2,4131
1786076640,505.2,505.5,505.2,505.5,1186
1786076700,505.4,505.8,505.4,505.45,3668
1786076760,505.6,505.8,505.55,505.8,300
1786076820,505.8,505.8,504.65,504.65,3809
1786076880,504.6,504.7,504.5,504.7,210
1786076940,504.5,504.7,504.35,504.35,1613
1786077000,504.2,504.55,504.15,504.15,259
1786077060,504.55,504.55,504.15,504.2,354
1786077120,504.2,504.55,504.15,504.25,424
1786077180,504.5,504.5,503.7,503.7,1763
1786077240,503.85,504.15,503.85,504.15,491
1786077300,503.85,503.9,503.85,503.9,945
1786077360,503.8,503.9,503.65,503.65,749
1786077420,503.8,503.8,503.6,503.6,356
1786077480,503.8,503.8,503.55,503.55,403
1786077540,503.5,503.6,503.5,503.6,712
1786077600,503.55,503.7,503.5,503.55,5553
1786077660,503.3,503.3,503.25,503.25,108
1786077720,503.8,503.8,503.45,503.45,1671
1786077780,503.45,503.45,503.4,503.4,170
1786077840,503.4,503.5,503.25,503.5,825
1786077900,503.8,503.8,503.5,503.5,384
1786077960,503.5,503.5,503.4,503.5,227
1786078020,503.5,503.5,503.2,503.5,232
1786078080,503.5,503.5,502.8,502.8,2814
1786078140,502.6,502.95,502.2,502.5,1026
1786078200,502.25,502.25,502.0,502.05,1857
1786078260,502.15,502.9,502.1,502.45,1421
1786078320,502.45,503.0,502.45,502.6,1229
1786078380,502.6,502.9,502.25,502.9,4640
1786078440,502.85,502.85,502.75,502.85,3529
1786078500,502.85,502.85,502.5,502.85,430
1786078560,502.6,503.0,502.6,502.9,797
1786078620,502.75,502.75,502.45,502.45,1830
1786078680,502.45,502.45,502.15,502.3,655
1786078740,502.05,502.45,502.05,502.2,1010
1786078800,502.45,502.45,502.2,502.2,284
1786078860,502.45,502.45,502.15,502.15,948
1786078920,502.3,502.4,502.05,502.4,563
1786078980,501.9,502.0,501.9,502.0,5703
1786079040,502.0,502.0,501.8,501.8,816
1786079100,501.8,501.95,501.8,501.95,718
1786079160,502.0,502.0,501.95,501.95,481
1786079220,501.95,501.95,501.55,501.55,559
1786079280,501.85,502.15,501.8,502.15,2029
1786079340,502.15,503.5,502.15,503.05,15697
