time,open,high,low,close,volume
1786074300,7670.0,7670.0,7617.5,7641.5,9284
1786074360,7645.0,7648.5,7627.5,7633.0,1307
1786074420,7640.5,7644.0,7633.5,7635.5,1458
1786074480,7633.0,7633.0,7621.5,7630.0,4201
1786074540,7630.5,7637.0,7628.0,7630.0,1720
1786074600,7631.0,7635.0,7628.0,7633.0,715
1786074660,7638.0,7640.0,7636.0,7639.0,522
1786074720,7639.0,7639.0,7625.0,7630.5,1166
1786074780,7632.5,7634.5,7625.5,7626.5,1434
1786074840,7629.0,7632.0,7623.0,7625.0,1265
1786074900,7625.0,7625.0,7615.5,7620.5,878
1786074960,7622.0,7627.0,7618.5,7625.0,135
1786075020,7621.0,7630.0,7618.5,7624.0,997
1786075080,7628.0,7629.0,7609.0,7612.0,1528
1786075140,7607.0,7614.0,7604.0,7613.5,1328
1786075200,7609.0,7616.0,7609.0,7613.0,486
1786075260,7620.0,7622.5,7590.0,7604.5,5249
1786075320,7603.0,7605.0,7595.0,7599.0,1515
1786075380,7599.5,7609.0,7599.5,7602.0,2908
1786075440,7602.0,7611.5,7601.5,7611.5,3678
1786075500,7609.0,7610.5,7594.5,7594.5,1386
1786075560,7596.0,7600.0,7585.5,7593.0,1883
1786075620,7596.0,7601.5,7595.0,7597.5,381
1786075680,7595.0,7602.0,7595.0,7602.0,580
1786075740,7597.5,7597.5,7593.0,7596.0,2809
1786075800,7590.0,7596.0,7590.0,7596.0,508
1786075860,7598.5,7599.5,7595.0,7596.0,344
1786075920,7596.0,7600.5,7596.0,7600.5,769
1786075980,7602.5,7606.5,7596.5,7600.0,432
1786076040,7603.5,7605.5,7600.5,7605.5,264
1786076100,7605.0,7606.5,7602.0,7602.0,995
1786076160,7600.0,7600.0,7595.0,7598.0,1725
1786076220,7596.0,7596.0,7589.0,7592.0,1210
1786076280,7593.0,7593.0,7582.0,7588.0,1478
1786076340,7587.5,7592.0,7581.5,7587.5,1215
1786076400,7585.5,7587.5,7581.0,7586.0,1185
1786076460,7586.5,7592.0,7585.5,7590.5,1043
1786076520,7590.0,7591.5,7580.0,7580.0,3085
1786076580,7583.5,7587.5,7583.5,7586.5,705
1786076640,7586.0,7600.0,7586.0,7598.5,4454
1786076700,7596.0,7613.5,7596.0,7613.5,2430
1786076760,7609.5,7615.0,7601.0,7601.0,1141
1786076820,7605.0,7607.5,7601.5,7601.5,994
1786076880,7604.0,7612.0,7597.5,7606.5,628
1786076940,7606.0,7612.0,7606.0,7608.0,416
1786077000,7611.5,7613.0,7609.5,7609.5,955
1786077060,7609.5,7609.5,7601.0,7602.0,783
1786077120,7605.5,7605.5,7600.0,7603.0,676
1786077180,7603.0,7603.0,7600.0,7600.0,146
1786077240,7600.0,7604.0,7596.0,7599.0,438
