time,open,high,low,close,volume
1786074300,420.5,420.5,406.8,410.3,319276
1786074360,410.0,414.15,409.3,411.6,78227
1786074420,411.25,413.5,411.25,412.4,41861
1786074480,412.3,412.9,412.2,412.9,14737
1786074540,412.9,413.2,412.3,413.2,59345
1786074600,413.55,414.0,413.1,413.55,18642
1786074660,413.65,413.7,413.15,413.6,10381
1786074720,413.0,413.05,412.85,413.05,25391
1786074780,413.1,413.1,411.75,411.75,27122
1786074840,411.5,411.95,411.5,411.8,23740
1786074900,411.8,412.3,411.8,412.1,31226
1786074960,412.05,412.6,412.0,412.1,10040
1786075020,411.8,412.5,411.75,412.35,21887
1786075080,412.2,412.35,411.45,411.45,9217
1786075140,411.3,411.5,411.05,411.5,44412
1786075200,411.55,411.55,410.85,410.85,20610
1786075260,410.8,411.15,410.7,410.7,8364
1786075320,410.55,411.35,410.55,411.35,13215
1786075380,411.35,411.9,411.2,411.55,5535
1786075440,411.35,411.4,410.35,410.55,27444
1786075500,410.6,410.85,410.25,410.6,5806
1786075560,410.5,410.5,410.3,410.45,13032
1786075620,410.45,410.45,409.7,409.9,34779
1786075680,409.85,410.5,409.6,410.5,10236
1786075740,410.75,410.9,410.45,410.45,9324
1786075800,410.65,410.8,410.65,410.8,2943
1786075860,410.8,410.8,410.3,410.55,11028
1786075920,410.55,410.8,410.35,410.8,3684
1786075980,410.75,411.4,410.75,411.4,7321
1786076040,411.6,412.4,411.35,412.4,23528
1786076100,412.35,413.35,412.25,413.15,11665
1786076160,413.15,413.8,413.1,413.6,14029
1786076220,413.3,413.8,413.1,413.65,47676
1786076280,413.6,413.8,413.35,413.5,9273
1786076340,413.8,413.85,413.7,413.7,14788
1786076400,413.8,414.2,413.7,414.0,12903
1786076460,414.0,414.2,413.85,414.2,20579
1786076520,414.2,414.2,413.85,413.95,2465
1786076580,413.7,414.0,413.7,414.0,6492
1786076640,414.2,414.45,414.1,414.45,9805
1786076700,414.65,414.65,413.9,413.9,24570
1786076760,413.8,414.3,413.75,413.85,11851
1786076820,413.8,413.85,413.55,413.85,5660
1786076880,413.15,413.15,412.7,412.95,60387
1786076940,412.8,412.95,412.4,412.85,2384
1786077000,412.55,412.85,412.55,412.8,4062
1786077060,412.95,413.0,412.65,413.0,3101
1786077120,412.85,413.05,411.8,413.05,53412
1786077180,413.25,414.3,413.1,414.25,4381
1786077240,414.2,414.2,413.05,413.1,68121
1786077300,413.25,413.65,413.25,413.6,3398
1786077360,413.6,413.9,413.5,413.85,4067
1786077420,413.75,414.0,413.75,414.0,1938
1786077480,413.9,414.2,413.9,414.0,3873
1786077540,414.0,414.55,414.0,414.55,9293
1786077600,414.55,414.7,414.55,414.7,2935
1786077660,414.8,415.0,414.8,414.85,7047
1786077720,414.8,414.8,414.55,414.55,3914
1786077780,414.55,414.6,413.85,414.1,10924
1786077840,414.0,414.1,413.8,414.1,1712
1786077900,413.85,414.1,413.85,413.85,3228
1786077960,413.85,413.85,413.6,413.65,2832
1786078020,413.35,413.6,413.35,413.55,1328
1786078080,413.4,413.55,413.0,413.0,5331
1786078140,413.2,413.45,413.0,413.45,6018
1786078200,413.35,413.6,413.1,413.45,3352
1786078260,413.5,413.8,413.4,413.6,2717
1786078320,413.4,414.3,413.4,414.2,4068
1786078380,414.1,414.25,413.75,413.75,4592
1786078440,413.45,413.7,413.45,413.65,583
1786078500,413.6,413.6,413.1,413.45,8489
1786078560,413.65,413.65,413.05,413.3,409
1786078620,413.15,413.25,412.75,412.75,3619
1786078680,412.8,412.85,412.65,412.85,1822
1786078740,412.8,412.85,412.65,412.85,1168
1786078800,412.8,413.0,412.45,412.7,10046
1786078860,412.9,412.9,412.2,412.3,2329
1786078920,412.2,412.35,412.1,412.35,3774
1786078980,412.2,412.4,412.2,412.35,1493
1786079040,412.3,412.5,412.05,412.5,4663
1786079100,412.45,412.45,412.3,412.3,2890
1786079160,412.25,412.4,412.05,412.05,2100
1786079220,412.05,412.25,412.0,412.25,4415
1786079280,412.3,412.7,412.25,412.7,1768
1786079340,412.75,412.75,412.6,412.7,1117
1786079400,412.65,412.8,412.65,412.8,2436
1786079460,412.8,412.9,412.65,412.7,1362
1786079520,412.4,412.65,412.4,412.4,5361
1786079580,412.6,412.6,412.35,412.4,875
1786079640,412.35,412.4,412.1,412.1,1753
1786079700,412.2,412.3,411.8,411.9,9172
1786079760,411.85,411.85,411.1,411.15,9163
1786079820,411.15,411.8,411.15,411.65,4039
1786079880,411.65,411.7,411.5,411.5,1749
1786079940,411.65,411.75,411.5,411.7,4902
1786080000,411.5,411.7,411.5,411.55,4481
1786080060,411.5,412.0,411.5,411.85,2153
1786080120,411.8,412.35,411.7,412.35,17518
1786080180,412.3,412.4,412.1,412.1,2345
1786080240,412.3,412.3,412.15,412.2,1776
1786080300,412.35,412.95,412.35,412.65,12006
1786080360,412.6,412.85,412.6,412.8,531
1786080420,412.7,412.75,411.9,411.9,19394
1786080480,411.95,412.0,411.75,411.95,2862
1786080540,411.95,411.95,411.4,411.4,10635
1786080600,411.4,411.6,411.25,411.55,6823
1786080660,411.55,411.75,411.3,411.35,565
1786080720,411.4,411.75,411.4,411.75,2154
1786080780,411.6,411.65,411.4,411.4,5802
1786080840,411.2,411.2,410.9,411.1,10403
1786080900,411.0,411.4,411.0,411.35,4811
1786080960,411.35,411.55,411.0,411.0,5122
1786081020,411.2,411.25,410.15,410.85,28283
1786081080,410.7,410.7,409.85,410.3,56759
1786081140,410.3,410.65,410.25,410.45,4901
1786081200,410.45,410.65,410.45,410.65,1374
1786081260,410.55,410.7,410.5,410.55,4215
1786081320,410.55,410.7,410.4,410.6,2371
1786081380,410.6,410.7,410.25,410.3,7437
1786081440,410.3,410.5,410.15,410.45,6814
1786081500,410.45,410.45,410.0,410.0,1041
1786081560,410.0,410.2,410.0,410.1,236
1786081620,410.2,410.5,410.15,410.25,692
1786081680,410.25,410.35,410.2,410.2,923
1786081740,410.35,410.7,410.35,410.6,7158
1786081800,410.7,410.7,410.35,410.5,1164
1786081860,410.4,410.65,410.4,410.65,1458
1786081920,410.55,410.75,410.5,410.55,2595
1786081980,410.5,410.95,410.5,410.95,688
1786082040,411.2,411.2,410.7,411.0,3469
1786082100,411.0,411.0,410.85,410.9,4404
1786082160,411.05,411.2,410.9,411.0,3424
1786082220,411.0,411.2,411.0,411.15,2190
1786082280,411.05,411.15,411.0,411.05,532
1786082340,411.1,411.75,411.1,411.65,15315
1786082400,411.65,411.9,411.4,411.65,6952
1786082460,411.6,411.8,411.6,411.8,2788
1786082520,411.8,411.8,411.65,411.75,307
1786082580,411.9,411.9,411.0,411.0,2587
1786082640,411.0,411.35,410.95,410.95,9661
1786082700,410.95,411.15,410.95,411.05,754
1786082760,410.6,410.75,410.5,410.6,5916
1786082820,410.55,410.7,410.5,410.55,1343
1786082880,410.9,411.1,410.7,410.9,2246
1786082940,410.9,411.2,410.9,411.0,2311
1786083000,411.0,411.25,411.0,411.0,917
1786083060,411.2,411.2,410.3,410.3,8503
1786083120,410.3,410.65,410.3,410.6,637
1786083180,410.5,410.6,410.25,410.45,1965
1786083240,410.35,410.4,410.3,410.3,700
1786083300,410.25,410.25,408.2,408.2,136218
1786083360,408.0,408.9,407.85,408.75,12523
1786083420,409.0,409.25,408.85,409.0,2802
1786083480,409.0,409.0,408.75,408.9,18653
1786083540,409.35,410.05,408.1,408.1,57181
1786083600,408.3,408.3,407.75,407.9,21743
1786083660,408.0,408.15,407.7,407.7,18013
1786083720,407.95,408.7,407.95,408.65,5275
1786083780,408.7,408.8,408.5,408.75,5071
1786083840,408.6,409.0,408.6,408.7,6099
1786083900,408.85,409.1,408.8,408.9,2345
1786083960,409.1,409.3,408.9,409.1,2940
1786084020,409.15,409.15,409.0,409.15,2448
