time,open,high,low,close,volume
1786074300,63.26,63.26,62.3,62.48,226679
1786074360,62.66,62.82,62.65,62.82,34738
1786074420,62.85,62.85,62.7,62.7,79038
1786074480,62.7,62.71,62.65,62.71,38590
1786074540,62.7,62.8,62.7,62.73,25960
1786074600,62.76,62.88,62.7,62.88,17844
1786074660,62.86,63.0,62.83,62.85,45750
1786074720,62.85,63.06,62.85,62.93,20178
1786074780,63.05,63.05,62.86,62.86,10867
1786074840,62.91,62.91,62.82,62.85,7432
1786074900,62.75,62.78,62.7,62.77,9254
1786074960,62.71,62.81,62.71,62.81,4442
1786075020,62.77,62.83,62.71,62.83,7668
1786075080,62.73,62.73,62.6,62.63,17307
1786075140,62.62,62.62,62.53,62.56,36990
1786075200,62.6,62.69,62.59,62.6,12961
1786075260,62.6,62.68,62.6,62.67,16563
1786075320,62.66,62.67,62.61,62.66,2464
1786075380,62.66,62.66,62.59,62.63,6413
1786075440,62.65,62.65,62.56,62.6,8441
1786075500,62.6,62.65,62.6,62.64,10790
1786075560,62.64,62.64,62.55,62.61,6959
1786075620,62.64,62.64,62.55,62.55,4054
1786075680,62.57,62.57,62.46,62.53,84612
1786075740,62.56,62.56,62.46,62.5,7228
1786075800,62.52,62.54,62.51,62.54,3704
1786075860,62.54,62.57,62.52,62.53,24700
1786075920,62.55,62.59,62.53,62.59,4722
1786075980,62.59,62.59,62.56,62.56,1315
1786076040,62.51,62.57,62.5,62.55,7293
1786076100,62.86,63.09,62.86,63.04,127380
1786076160,63.08,63.08,62.95,63.0,19114
1786076220,63.04,63.08,63.02,63.08,36201
1786076280,63.03,63.1,63.03,63.06,8333
1786076340,63.1,63.1,63.05,63.08,5864
1786076400,63.08,63.08,63.03,63.03,4739
1786076460,63.04,63.04,63.02,63.03,10716
1786076520,63.04,63.06,63.01,63.06,27613
1786076580,63.03,63.05,62.93,62.95,14143
1786076640,62.98,63.1,62.98,63.1,43020
1786076700,63.1,63.13,63.1,63.13,2519
1786076760,63.13,63.14,63.03,63.07,89250
1786076820,63.07,63.07,63.0,63.04,20644
1786076880,63.12,63.12,63.02,63.08,8538
1786076940,63.08,63.14,63.08,63.11,2290
1786077000,63.11,63.16,63.11,63.12,13148
1786077060,63.12,63.16,63.12,63.16,4551
1786077120,63.12,63.22,63.12,63.22,16342
1786077180,63.2,63.24,63.0,63.07,27377
1786077240,63.05,63.11,63.03,63.11,1762
1786077300,63.11,63.11,62.85,63.1,112726
1786077360,63.1,63.17,63.04,63.1,13114
1786077420,63.28,63.28,63.13,63.2,67712
1786077480,63.2,63.6,63.2,63.52,419562
1786077540,63.57,63.82,63.5,63.7,258031
1786077600,63.68,63.68,63.44,63.57,206470
1786077660,63.57,63.57,63.38,63.5,165467
1786077720,63.5,63.61,63.45,63.52,110134
1786077780,63.53,63.55,63.43,63.47,90227
1786077840,63.45,63.53,63.4,63.43,60026
1786077900,63.42,63.5,63.3,63.34,83598
1786077960,63.34,63.34,63.25,63.34,58714
1786078020,63.4,63.42,63.32,63.35,30923
1786078080,63.34,63.35,63.25,63.25,31713
1786078140,63.27,63.3,63.25,63.27,30769
1786078200,63.26,63.27,63.22,63.27,31894
1786078260,63.3,63.37,63.3,63.33,25658
1786078320,63.33,63.42,63.33,63.42,17617
1786078380,63.35,63.42,63.32,63.4,20336
1786078440,63.4,63.44,63.4,63.4,13946
1786078500,63.4,63.44,63.4,63.41,2761
1786078560,63.44,63.44,63.32,63.32,8676
1786078620,63.39,63.39,63.25,63.3,18757
