time,open,high,low,close,volume
1786074300,1370.0,1371.2,1365.6,1367.2,2297
1786074360,1368.0,1368.0,1364.0,1366.6,1611
1786074420,1366.2,1369.6,1366.2,1367.4,1766
1786074480,1365.8,1367.3,1365.6,1367.1,647
1786074540,1366.2,1367.6,1365.1,1365.1,1111
1786074600,1365.3,1367.4,1364.5,1364.9,870
1786074660,1366.2,1366.2,1363.7,1366.0,340
1786074720,1366.0,1366.0,1365.0,1365.8,115
1786074780,1366.0,1367.0,1365.7,1366.0,321
1786074840,1366.4,1366.8,1365.3,1365.3,527
1786074900,1364.3,1365.1,1363.1,1365.1,1752
1786074960,1364.8,1366.0,1364.8,1366.0,1115
1786075020,1365.4,1365.4,1364.1,1365.1,3908
1786075080,1364.7,1364.7,1362.0,1362.5,1863
1786075140,1362.5,1362.6,1362.1,1362.1,478
1786075200,1363.0,1364.9,1363.0,1364.8,643
1786075260,1364.7,1365.9,1364.7,1365.4,226
1786075320,1364.9,1366.0,1364.8,1366.0,685
1786075380,1365.3,1365.7,1365.0,1365.6,559
1786075440,1365.5,1365.6,1365.0,1365.6,244
1786075500,1365.6,1366.4,1365.6,1366.2,610
1786075560,1366.3,1366.3,1365.5,1365.9,290
1786075620,1366.0,1366.5,1365.3,1365.3,1257
1786075680,1365.3,1366.5,1365.3,1366.5,583
1786075740,1366.3,1366.3,1365.5,1365.5,519
1786075800,1365.0,1365.5,1364.9,1365.5,820
1786075860,1365.3,1366.3,1365.3,1365.6,385
1786075920,1365.9,1366.4,1365.9,1366.4,2055
1786075980,1366.4,1366.4,1365.8,1365.8,365
1786076040,1366.6,1367.8,1365.8,1367.8,516
1786076100,1368.0,1368.0,1366.8,1366.8,66
1786076160,1366.8,1367.1,1366.3,1366.8,255
1786076220,1366.7,1366.7,1366.0,1366.0,1163
1786076280,1366.4,1366.4,1366.0,1366.0,383
1786076340,1366.4,1367.6,1366.4,1367.6,313
1786076400,1366.9,1366.9,1366.9,1366.9,1075
1786076460,1367.3,1368.4,1367.1,1368.3,210
1786076520,1369.0,1369.0,1368.3,1368.7,717
1786076580,1369.1,1369.2,1368.4,1368.4,206
1786076640,1369.3,1369.5,1369.3,1369.5,290
1786076700,1369.5,1369.9,1368.7,1369.9,455
1786076760,1369.8,1369.8,1369.5,1369.5,74
1786076820,1369.6,1369.9,1369.6,1369.6,1340
1786076880,1368.3,1368.6,1367.3,1367.6,1666
