time,open,high,low,close,volume
1786074300,208.65,209.5,208.51,209.4,169330
1786074360,209.33,209.83,209.23,209.83,159246
1786074420,209.85,209.85,209.41,209.41,122121
1786074480,209.37,210.03,209.37,209.87,272238
1786074540,209.9,209.9,209.58,209.7,42197
1786074600,209.75,209.75,209.58,209.58,91236
1786074660,209.45,209.45,209.21,209.23,44188
1786074720,209.3,209.3,209.03,209.13,86583
1786074780,209.22,209.22,209.0,209.1,190062
1786074840,209.1,209.15,209.01,209.06,29562
1786074900,209.06,209.06,208.68,208.68,75015
1786074960,208.7,209.06,208.7,208.78,53614
1786075020,208.72,208.8,208.47,208.74,71020
1786075080,208.74,208.74,208.45,208.5,46578
1786075140,208.53,208.54,208.5,208.52,31366
1786075200,208.54,208.9,208.54,208.82,29773
1786075260,208.87,208.95,208.67,208.75,23095
1786075320,208.84,209.27,208.83,209.21,41297
1786075380,209.12,209.21,208.95,208.95,29724
1786075440,208.95,209.0,208.8,208.82,31731
1786075500,208.84,208.85,208.76,208.85,19169
1786075560,209.0,209.0,208.89,209.0,11986
1786075620,209.0,209.0,208.92,208.94,24047
1786075680,208.94,209.02,208.9,209.02,33543
1786075740,209.09,209.19,209.09,209.19,28498
1786075800,209.2,209.2,209.1,209.17,30901
1786075860,209.1,209.3,209.01,209.3,51595
1786075920,209.3,209.38,209.3,209.34,59018
1786075980,209.38,209.5,209.34,209.5,42913
1786076040,209.5,209.59,209.4,209.5,48665
1786076100,209.5,209.94,209.46,209.88,86476
1786076160,209.88,210.0,209.8,209.95,103792
1786076220,209.95,210.0,209.78,209.86,62677
1786076280,209.9,210.36,209.86,210.26,383807
1786076340,210.28,210.28,209.91,209.91,91156
1786076400,209.91,210.5,209.86,210.44,199077
1786076460,210.44,211.1,210.3,210.97,353998
1786076520,210.95,211.15,210.59,211.15,206694
1786076580,211.05,211.47,210.99,211.26,181121
1786076640,211.27,211.27,210.81,210.94,74017
1786076700,210.9,211.22,210.89,211.22,89586
1786076760,211.18,211.26,210.9,210.98,77137
1786076820,210.94,211.0,210.7,210.87,87940
1786076880,210.8,210.87,210.51,210.82,95322
1786076940,210.75,210.84,210.62,210.84,30990
1786077000,210.79,210.91,210.6,210.77,39573
1786077060,210.76,210.79,210.5,210.65,35104
1786077120,210.63,210.7,210.5,210.57,27662
1786077180,210.55,210.74,210.55,210.74,20428
1786077240,210.72,210.83,210.7,210.81,42401
1786077300,210.8,210.8,210.73,210.8,21581
1786077360,210.77,211.0,210.77,210.99,31802
1786077420,210.89,211.05,210.89,211.04,34351
1786077480,211.04,211.07,210.8,210.89,34835
1786077540,210.89,210.89,210.7,210.7,25156
1786077600,210.7,210.84,210.67,210.78,27546
1786077660,210.78,210.87,210.6,210.61,47568
1786077720,210.65,210.75,210.31,210.32,87098
1786077780,210.3,210.58,210.2,210.52,55347
1786077840,210.54,210.8,210.44,210.77,40979
1786077900,210.7,210.8,210.43,210.54,38118
1786077960,210.54,210.57,210.05,210.26,77952
1786078020,210.21,210.26,210.11,210.2,17497
1786078080,210.25,210.25,209.81,209.86,115694
1786078140,209.84,210.1,209.84,210.02,22524
1786078200,210.02,210.23,210.02,210.04,30467
1786078260,210.04,210.1,209.96,210.0,42196
1786078320,210.07,210.08,210.01,210.02,8657
1786078380,210.04,210.04,209.95,209.95,15589
1786078440,209.99,210.03,209.91,210.03,18521
1786078500,210.0,210.03,209.96,209.96,12946
1786078560,209.96,210.03,209.69,209.74,51174
1786078620,209.74,209.76,209.57,209.74,49538
1786078680,209.74,209.88,209.67,209.8,17444
1786078740,209.77,209.77,209.6,209.75,13582
1786078800,209.77,209.86,209.74,209.86,19125
1786078860,209.83,209.93,209.7,209.76,17104
1786078920,209.76,209.79,209.66,209.7,42581
1786078980,209.8,209.88,209.7,209.8,28206
1786079040,209.84,209.84,209.75,209.8,23013
1786079100,209.86,209.91,209.83,209.9,14609
1786079160,209.9,209.9,209.81,209.82,14282
1786079220,209.82,209.91,209.81,209.83,26856
1786079280,209.93,210.08,209.83,210.08,8310
1786079340,210.05,210.08,210.0,210.05,24631
1786079400,210.09,210.15,210.09,210.14,38150
1786079460,210.25,210.35,210.2,210.3,58314
1786079520,210.44,210.75,210.44,210.69,93968
1786079580,210.72,211.72,210.66,210.87,570077
1786079640,210.79,210.95,210.75,210.95,93698
1786079700,210.95,210.95,210.78,210.8,38599
1786079760,210.74,210.86,210.53,210.8,79066
1786079820,210.8,210.95,210.73,210.88,48737
1786079880,210.9,211.37,210.84,211.37,101294
1786079940,211.37,211.46,211.1,211.18,70261
1786080000,211.18,211.23,210.91,210.99,65954
1786080060,210.99,211.55,210.97,211.47,181549
1786080120,211.35,211.57,211.3,211.56,194216
1786080180,211.5,212.1,211.46,211.65,610347
1786080240,211.68,211.78,211.58,211.7,50674
1786080300,211.65,211.65,210.88,211.04,383698
1786080360,211.0,211.36,211.0,211.01,45424
1786080420,211.0,211.25,211.0,211.02,43053
