time,open,high,low,close,volume
1786074300,3467.1,3467.1,3452.5,3457.6,264
1786074360,3461.9,3461.9,3461.9,3461.9,13
1786074420,3465.7,3465.7,3451.8,3461.6,222
1786074480,3463.0,3463.0,3462.2,3462.3,126
1786074540,3462.5,3462.5,3457.9,3460.7,23
1786074600,3458.9,3458.9,3458.9,3458.9,10
1786074660,3459.9,3460.7,3459.9,3460.7,32
1786074720,3462.5,3468.0,3462.5,3467.7,216
1786074780,3466.8,3466.8,3466.8,3466.8,1
1786074840,3469.1,3469.1,3464.5,3464.5,53
1786074900,3460.3,3461.9,3460.3,3461.0,24
1786074960,3458.1,3461.6,3458.0,3461.3,81
1786075020,3461.3,3461.3,3461.3,3461.3,6
1786075080,3462.4,3464.0,3457.6,3457.6,75
1786075140,3455.7,3455.7,3455.7,3455.7,44
1786075200,3458.6,3461.9,3458.6,3461.9,17
1786075260,3459.8,3461.9,3456.5,3460.1,153
1786075320,3459.1,3459.6,3459.1,3459.6,6
1786075380,3460.8,3460.8,3456.1,3456.1,151
1786075440,3456.5,3456.6,3456.5,3456.6,13
1786075500,3457.2,3457.2,3457.2,3457.2,20
1786075560,3464.5,3464.5,3461.7,3461.7,301
1786075620,3462.3,3462.3,3458.2,3458.2,13
1786075680,3458.6,3458.6,3456.8,3456.8,3
1786075740,3457.5,3461.1,3457.5,3459.0,26
1786075800,3459.0,3459.0,3459.0,3459.0,19
1786075920,3458.7,3458.8,3458.7,3458.8,26
1786075980,3462.0,3462.6,3462.0,3462.6,3
1786076040,3460.9,3460.9,3457.2,3459.5,35
1786076100,3457.4,3460.8,3457.4,3460.8,78
1786076160,3461.9,3469.8,3461.9,3469.8,66
1786076220,3467.0,3467.0,3467.0,3467.0,7
1786076280,3469.2,3472.0,3469.2,3472.0,43
1786076340,3469.9,3469.9,3468.0,3469.6,18
1786076400,3469.2,3469.2,3468.6,3468.6,30
1786076460,3464.9,3467.2,3464.9,3467.2,30
1786076520,3467.4,3467.4,3459.2,3464.4,76
1786076580,3465.5,3465.5,3465.5,3465.5,10
1786076640,3460.2,3462.5,3460.2,3462.5,55
1786076700,3458.6,3461.7,3458.0,3458.0,159
1786076760,3460.4,3460.4,3460.4,3460.4,18
1786076820,3459.0,3459.0,3456.5,3456.5,182
1786076880,3458.9,3458.9,3458.9,3458.9,1
1786076940,3459.5,3459.8,3457.6,3459.7,14
1786077000,3457.8,3460.4,3456.5,3456.5,57
1786077060,3458.3,3459.8,3458.3,3459.8,8
1786077120,3459.8,3459.8,3459.7,3459.7,22
1786077180,3459.4,3459.5,3456.6,3456.6,71
1786077240,3456.8,3461.9,3456.8,3461.9,29
1786077300,3457.5,3457.5,3457.5,3457.5,23
1786077360,3459.8,3459.8,3459.8,3459.8,4
1786077420,3461.4,3461.9,3461.4,3461.9,6
1786077480,3463.5,3463.6,3463.5,3463.6,65
1786077540,3462.9,3462.9,3462.9,3462.9,4
1786077600,3463.9,3463.9,3461.6,3463.9,278
1786077660,3458.9,3458.9,3458.9,3458.9,4
1786077720,3460.8,3461.1,3458.8,3461.1,14
1786077780,3461.3,3461.3,3461.3,3461.3,4
1786077840,3462.7,3462.8,3462.7,3462.8,10
1786077900,3460.2,3460.2,3459.0,3459.0,49
1786077960,3461.8,3461.8,3460.2,3460.2,40
1786078020,3459.7,3459.7,3458.8,3458.8,103
