time,open,high,low,close,volume
1786074300,5575.0,5577.0,5506.0,5561.5,9895
1786074360,5562.0,5581.5,5562.0,5580.5,1629
1786074420,5586.0,5589.0,5583.5,5588.0,1469
1786074480,5590.0,5595.5,5585.0,5595.5,2411
1786074540,5589.0,5589.0,5581.5,5581.5,1495
1786074600,5587.5,5605.5,5587.5,5604.5,1991
1786074660,5610.0,5630.5,5608.5,5616.0,3171
1786074720,5618.0,5623.5,5600.0,5600.0,1759
1786074780,5598.5,5604.0,5598.5,5600.0,430
1786074840,5598.5,5600.0,5596.5,5598.5,446
1786074900,5594.0,5599.0,5593.0,5599.0,154
1786074960,5596.5,5596.5,5595.0,5596.5,49
1786075020,5599.0,5599.0,5595.5,5595.5,51
1786075080,5597.5,5597.5,5595.0,5595.5,27
1786075140,5596.0,5596.0,5592.0,5592.0,91
1786075200,5592.0,5598.5,5592.0,5592.5,19
1786075260,5592.0,5594.5,5590.0,5590.0,82
1786075320,5590.5,5591.5,5583.5,5586.0,99
1786075380,5583.0,5586.0,5580.0,5580.0,216
1786075440,5583.0,5587.5,5583.0,5586.0,76
1786075500,5583.5,5583.5,5581.5,5581.5,14
1786075560,5580.0,5587.0,5580.0,5587.0,290
1786075620,5584.0,5585.0,5575.0,5575.0,400
1786075680,5575.0,5578.5,5574.0,5578.5,29
1786075740,5576.0,5580.5,5576.0,5578.0,115
1786075800,5578.0,5579.0,5577.5,5579.0,55
1786075860,5579.0,5579.0,5578.5,5578.5,29
1786075920,5574.0,5576.0,5574.0,5576.0,29
1786075980,5578.5,5581.0,5578.5,5581.0,142
1786076040,5576.0,5576.0,5574.0,5575.0,73
1786076100,5578.0,5582.5,5578.0,5582.5,45
1786076160,5580.0,5580.0,5578.5,5579.5,37
1786076220,5579.5,5583.5,5579.5,5583.5,116
1786076280,5585.0,5594.0,5585.0,5594.0,62
1786076340,5591.5,5592.0,5590.5,5592.0,82
1786076400,5589.5,5590.0,5588.0,5590.0,35
1786076460,5585.5,5585.5,5583.0,5583.0,37
1786076520,5585.5,5588.5,5585.5,5586.0,42
1786076580,5588.5,5588.5,5586.0,5586.0,18
1786076640,5586.5,5586.5,5586.5,5586.5,12
1786076700,5585.5,5585.5,5585.0,5585.0,27
1786076760,5588.0,5588.0,5582.5,5582.5,84
1786076820,5582.5,5582.5,5581.0,5581.0,31
1786076880,5581.0,5584.0,5580.0,5584.0,54
1786076940,5583.5,5583.5,5583.5,5583.5,1
1786077000,5581.0,5584.5,5581.0,5584.5,81
1786077060,5586.0,5587.5,5584.0,5584.0,48
1786077120,5585.0,5586.0,5583.0,5586.0,38
1786077180,5585.0,5587.5,5585.0,5587.5,15
1786077240,5585.5,5589.0,5585.5,5589.0,17
1786077300,5586.5,5586.5,5586.5,5586.5,12
1786077360,5586.5,5593.5,5586.5,5593.5,63
1786077420,5593.0,5595.0,5593.0,5595.0,33
1786077480,5594.0,5609.5,5594.0,5609.5,444
1786077540,5610.0,5610.0,5606.5,5606.5,83
1786077600,5605.5,5605.5,5602.5,5602.5,185
1786077660,5605.0,5605.0,5605.0,5605.0,19
1786077720,5602.5,5605.5,5601.5,5605.5,36
1786077780,5603.0,5607.0,5602.5,5607.0,91
1786077840,5602.5,5610.5,5602.5,5610.5,25
1786077900,5608.0,5608.0,5606.0,5606.0,13
1786077960,5603.5,5608.0,5603.0,5603.0,34
1786078020,5602.5,5605.5,5602.5,5605.5,15
1786078080,5603.0,5605.5,5603.0,5605.5,72
1786078140,5602.5,5603.0,5600.5,5600.5,53
1786078200,5602.0,5609.5,5602.0,5607.0,319
1786078260,5605.5,5618.0,5605.5,5615.0,458
1786078320,5613.0,5616.5,5613.0,5614.0,49
1786078380,5613.0,5620.0,5613.0,5620.0,505
1786078440,5622.5,5623.0,5622.0,5623.0,137
1786078500,5617.5,5632.0,5617.5,5631.5,741
1786078560,5633.0,5637.5,5633.0,5637.5,541
