time,open,high,low,close,volume
1786074300,439.25,442.85,437.65,440.0,172719
1786074360,439.55,441.5,439.05,441.5,37005
1786074420,441.05,441.05,439.45,439.45,17454
1786074480,438.9,438.9,437.95,438.0,31903
1786074540,437.6,438.0,435.95,436.4,55952
1786074600,436.6,436.7,435.1,435.2,81359
1786074660,435.05,435.45,433.5,435.15,88576
1786074720,435.5,435.8,434.4,434.4,20373
1786074780,434.95,434.95,434.4,434.5,21689
1786074840,434.25,434.25,433.0,433.4,23974
1786074900,432.75,433.35,432.15,433.1,42123
1786074960,433.0,433.35,433.0,433.3,10105
1786075020,432.95,434.75,432.5,434.75,27856
1786075080,434.5,436.9,434.5,436.15,70354
1786075140,436.4,436.6,435.85,436.0,19407
1786075200,435.95,436.0,435.5,435.55,11664
1786075260,435.45,435.55,435.05,435.45,6149
1786075320,435.45,437.8,435.45,437.6,20048
1786075380,437.25,437.95,436.65,437.95,19695
1786075440,438.25,439.05,438.2,438.8,20118
1786075500,438.25,438.6,438.15,438.6,12091
1786075560,438.55,438.7,438.3,438.7,8565
1786075620,438.95,439.0,438.5,438.55,7179
1786075680,438.45,438.55,438.45,438.45,8569
1786075740,438.5,438.8,438.0,438.8,31963
1786075800,439.85,440.7,439.85,440.35,25407
1786075860,440.25,440.5,439.7,439.85,16761
1786075920,439.85,439.95,439.55,439.55,7004
1786075980,439.35,439.35,438.35,438.85,7252
1786076040,439.0,439.5,438.95,439.2,9892
1786076100,439.8,440.3,439.75,440.3,5555
1786076160,439.95,439.95,439.5,439.65,10244
1786076220,439.8,440.0,439.8,439.95,1486
1786076280,439.95,439.95,439.55,439.85,3477
1786076340,439.9,439.9,439.5,439.8,1446
1786076400,439.55,439.55,439.05,439.05,3421
1786076460,439.05,439.05,438.7,439.05,5633
1786076520,439.25,439.25,438.9,438.9,2973
1786076580,439.0,439.2,439.0,439.2,1550
1786076640,439.0,439.2,439.0,439.0,984
1786076700,439.15,439.35,439.1,439.35,3626
1786076760,439.15,439.35,439.15,439.15,1190
1786076820,439.15,439.15,438.85,438.95,4913
1786076880,438.8,439.55,438.8,439.55,7275
1786076940,439.15,439.8,439.1,439.8,9224
1786077000,439.8,439.85,439.5,439.5,1595
1786077060,439.5,439.5,439.1,439.4,1934
1786077120,439.4,439.4,439.1,439.3,2757
1786077180,439.3,439.4,439.15,439.35,2512
1786077240,439.4,439.4,439.15,439.35,693
1786077300,439.3,439.3,439.1,439.3,5456
1786077360,439.3,439.35,439.1,439.3,1423
1786077420,438.85,439.2,438.85,439.2,3336
1786077480,439.0,439.15,438.85,438.85,1714
1786077540,439.05,439.05,438.8,438.8,2154
1786077600,438.95,438.95,438.8,438.95,1433
