time,open,high,low,close,volume
1786074300,548.0,550.55,548.0,550.55,2531
1786074360,551.0,551.8,550.0,551.3,5013
1786074420,553.25,556.0,552.85,555.65,26073
1786074480,555.0,555.0,552.8,554.0,3489
1786074540,554.45,554.45,552.85,553.4,639
1786074600,553.4,554.45,553.4,553.75,2900
1786074660,553.15,553.6,552.85,552.85,3443
1786074720,552.9,553.8,552.9,553.45,509
1786074780,554.0,554.0,553.2,553.2,610
1786074840,553.35,554.0,553.2,554.0,630
1786074900,554.0,554.0,552.4,552.4,1189
1786074960,552.85,553.15,549.45,549.45,21131
1786075020,549.95,550.0,545.3,547.5,27931
1786075080,547.4,547.4,546.2,547.0,795
1786075140,547.1,547.45,547.0,547.45,499
1786075200,547.45,549.1,547.45,548.5,1371
1786075260,549.0,549.0,548.65,549.0,212
1786075320,549.0,550.7,548.35,548.35,8968
1786075380,547.9,549.8,547.1,548.65,26669
1786075440,550.0,550.95,548.0,550.0,17548
1786075500,549.8,549.8,549.05,549.05,302
1786075560,549.4,550.0,549.35,550.0,581
1786075620,549.9,549.95,549.35,549.45,843
1786075680,549.35,549.4,548.6,549.25,2027
1786075740,549.5,550.6,549.05,550.6,8560
1786075800,550.0,550.95,549.9,550.95,979
1786075860,550.8,550.8,550.15,550.15,309
1786075920,550.2,550.65,550.2,550.2,267
1786075980,550.65,550.8,550.65,550.8,105
1786076040,550.4,550.4,548.8,549.2,1120
1786076100,550.4,552.45,550.4,552.45,3123
1786076160,552.45,552.45,552.35,552.4,143
1786076220,552.0,552.75,552.0,552.65,1362
1786076280,552.65,552.65,552.5,552.5,600
1786076340,552.85,554.75,552.25,554.65,21370
1786076400,554.65,555.35,553.9,555.35,2780
1786076460,555.6,555.6,554.75,555.0,2536
1786076520,556.3,556.5,556.1,556.1,5776
1786076580,555.45,555.45,554.25,555.3,4303
1786076640,555.15,556.0,555.15,556.0,1575
1786076700,555.8,556.9,555.75,556.9,2408
1786076760,556.25,556.55,555.35,556.4,2897
1786076820,556.05,556.4,556.05,556.35,230
1786076880,556.55,557.8,556.55,557.2,9341
1786076940,557.2,557.5,557.0,557.25,1789
1786077000,557.5,557.5,557.0,557.2,1416
1786077060,556.85,558.4,556.85,558.4,8241
1786077120,558.8,558.9,558.2,558.4,13706
1786077180,558.25,558.8,558.25,558.25,1347
1786077240,558.0,558.15,557.65,558.0,2184
1786077300,557.9,557.95,557.65,557.95,214
1786077360,557.95,558.0,557.2,557.95,1524
1786077420,558.0,558.5,557.5,557.5,2069
1786077480,557.6,558.2,557.55,558.2,623
1786077540,558.2,558.2,558.1,558.2,664
1786077600,558.15,558.2,557.65,557.8,471
1786077660,557.7,557.95,557.7,557.9,582
1786077720,557.7,557.95,557.7,557.7,379
1786077780,557.7,557.7,557.1,557.65,1460
1786077840,557.2,557.85,557.2,557.65,4229
1786077900,557.9,557.9,557.55,557.55,395
1786077960,557.65,557.65,556.25,556.95,2209
1786078020,556.95,558.8,556.95,558.8,7075
1786078080,558.9,559.0,558.05,558.05,3592
1786078140,557.0,558.3,557.0,558.05,2586
1786078200,557.25,557.75,556.95,556.95,776
1786078260,557.4,557.4,556.0,556.0,2617
1786078320,556.35,556.75,556.35,556.75,465
1786078380,556.6,556.75,555.15,555.15,4043
1786078440,555.15,556.2,554.9,556.2,4311
1786078500,555.95,556.4,555.65,556.4,554
1786078560,556.5,556.8,555.9,556.0,2042
1786078620,555.9,556.1,555.7,555.95,420
1786078680,555.95,556.05,555.85,555.85,1282
1786078740,555.9,556.05,555.5,555.5,425
1786078800,555.8,556.15,555.8,556.15,97
1786078860,555.9,556.2,555.9,556.2,36
1786078920,555.9,556.15,555.9,556.15,21
1786078980,555.85,556.1,555.85,556.1,40
1786079040,555.85,556.25,555.85,556.2,365
1786079100,556.2,556.25,555.7,555.8,203
1786079160,555.9,555.9,555.45,555.85,115
1786079220,555.75,555.85,555.75,555.85,11
1786079280,555.85,555.85,555.85,555.85,4
