time,open,high,low,close,volume
1786074300,177.06,177.06,175.76,176.07,537689
1786074360,176.22,176.35,175.52,176.18,209509
1786074420,176.26,176.51,175.91,175.92,158442
1786074480,176.05,176.33,176.02,176.23,81019
1786074540,176.23,176.4,175.98,176.04,60515
1786074600,176.15,176.33,176.01,176.05,51650
1786074660,176.05,176.17,176.0,176.1,11846
1786074720,176.16,176.16,176.09,176.1,21352
1786074780,176.1,176.45,176.1,176.41,46814
1786074840,176.35,176.44,176.32,176.4,32916
1786074900,176.39,176.4,176.14,176.38,13002
1786074960,176.33,176.49,176.31,176.4,22077
1786075020,176.35,176.37,176.35,176.37,20523
1786075080,176.28,176.28,176.1,176.13,55885
1786075140,176.12,176.34,176.06,176.3,8847
1786075200,176.23,176.23,176.12,176.17,24035
1786075260,176.17,176.24,176.17,176.21,21332
1786075320,176.13,176.25,176.13,176.18,11655
1786075380,176.2,176.3,176.2,176.27,13864
1786075440,176.27,176.33,176.19,176.29,14167
1786075500,176.26,176.29,176.05,176.06,32758
1786075560,176.15,176.56,176.1,176.55,85613
1786075620,176.55,176.68,176.43,176.56,33059
1786075680,176.65,176.85,176.45,176.8,41196
1786075740,176.79,176.89,176.65,176.65,40405
1786075800,176.7,176.71,176.57,176.67,27182
1786075860,176.67,176.69,176.51,176.55,6495
1786075920,176.62,176.62,176.51,176.54,32612
1786075980,176.61,176.75,176.4,176.75,58009
1786076040,176.68,176.79,176.42,176.42,82820
1786076100,176.45,176.51,176.24,176.24,53202
1786076160,176.33,176.33,176.2,176.2,47683
1786076220,176.23,176.23,176.1,176.15,12461
1786076280,176.2,176.44,176.2,176.33,33396
1786076340,176.4,176.4,176.33,176.36,13826
1786076400,176.36,176.4,176.33,176.35,24082
1786076460,176.39,176.48,176.38,176.48,12878
1786076520,176.44,176.44,176.15,176.15,25696
1786076580,176.18,176.19,176.05,176.05,30038
1786076640,176.04,176.36,176.04,176.31,25327
1786076700,176.32,176.34,176.24,176.29,15834
1786076760,176.38,176.43,176.29,176.35,16980
1786076820,176.3,176.45,176.3,176.44,8807
1786076880,176.54,176.65,176.54,176.6,26294
1786076940,176.64,176.64,176.55,176.55,14487
1786077000,176.66,176.66,176.54,176.55,33493
1786077060,176.6,176.61,176.44,176.56,23596
1786077120,176.59,176.59,176.48,176.55,30576
1786077180,176.49,176.6,176.49,176.49,8878
1786077240,176.54,176.59,176.49,176.59,17389
1786077300,176.52,176.65,176.51,176.65,11209
1786077360,176.65,176.7,176.59,176.59,8994
1786077420,176.66,176.71,176.59,176.61,14577
1786077480,176.69,176.72,176.61,176.72,10059
1786077540,176.7,176.93,176.7,176.93,29833
1786077600,176.93,177.14,176.93,177.0,80080
1786077660,177.05,177.08,176.81,176.81,41808
1786077720,176.8,176.8,176.65,176.69,7836
1786077780,176.6,176.65,176.59,176.62,9220
1786077840,176.61,176.7,176.61,176.7,10721
1786077900,176.71,176.73,176.63,176.63,7330
1786077960,176.65,176.68,176.59,176.63,8243
1786078020,176.55,176.61,176.51,176.51,23029
1786078080,176.49,176.49,176.35,176.35,59531
1786078140,176.31,176.49,176.3,176.37,35189
1786078200,176.31,176.37,176.25,176.32,11739
1786078260,176.25,176.46,176.25,176.45,11692
1786078320,176.45,176.45,176.32,176.32,10094
1786078380,176.45,176.45,176.32,176.32,12341
1786078440,176.34,176.55,176.34,176.51,6381
1786078500,176.53,176.74,176.51,176.74,17519
1786078560,176.64,176.73,176.5,176.6,25348
1786078620,176.6,176.63,176.53,176.55,8822
1786078680,176.57,176.59,176.3,176.34,25417
1786078740,176.32,176.33,176.3,176.32,7039
