time,open,high,low,close,volume
1786074300,658.0,659.25,656.05,658.4,14345
1786074360,658.85,662.8,658.4,662.8,12654
1786074420,663.6,663.6,659.35,659.35,9759
1786074480,659.0,660.2,659.0,659.95,2979
1786074540,660.0,660.0,658.5,658.55,4317
1786074600,658.8,659.3,658.7,659.3,1245
1786074660,659.05,659.6,658.75,659.45,1233
1786074720,659.1,659.25,659.0,659.0,1471
1786074780,659.3,659.4,659.0,659.25,3333
1786074840,659.15,659.4,658.7,659.3,2011
1786074900,659.0,659.0,658.4,658.4,2157
1786074960,658.4,658.9,658.4,658.4,1750
1786075020,658.1,658.45,657.4,658.4,3850
1786075080,658.35,658.35,657.5,657.85,2736
1786075140,657.5,657.7,657.5,657.55,1761
1786075200,657.65,658.6,657.65,658.5,3282
1786075260,658.45,658.5,658.1,658.1,546
1786075320,658.4,659.3,658.3,659.2,1526
1786075380,658.7,658.7,658.0,658.05,2586
1786075440,658.2,658.65,658.0,658.65,1021
1786075500,658.6,658.65,658.1,658.6,222
1786075560,658.3,659.05,658.3,658.5,593
1786075620,658.9,658.95,658.65,658.95,1374
1786075680,659.0,659.0,659.0,659.0,1350
1786075740,658.9,659.05,658.9,659.0,225
1786075800,658.6,658.65,658.55,658.6,400
1786075860,658.6,658.95,658.2,658.75,926
1786075920,658.75,659.1,658.65,659.1,1470
1786075980,659.45,659.45,659.0,659.25,771
1786076040,659.0,659.25,659.0,659.0,143
1786076100,659.0,659.85,659.0,659.85,1362
1786076160,659.85,660.4,659.3,659.55,8530
1786076220,659.7,659.75,659.55,659.75,39
1786076280,659.55,659.9,659.55,659.9,717
1786076340,659.75,660.0,659.3,659.3,1025
1786076400,659.3,659.75,659.3,659.75,589
1786076460,659.75,660.9,659.6,660.9,4579
1786076520,660.45,661.4,660.45,661.4,10179
1786076580,661.5,662.2,661.45,661.65,4053
1786076640,661.65,661.9,661.4,661.9,1393
1786076700,662.05,662.05,661.75,662.05,2295
1786076760,662.2,662.2,661.0,661.2,5624
1786076820,661.55,661.8,661.45,661.5,344
1786076880,661.45,661.45,660.8,661.1,2493
1786076940,661.5,661.7,661.05,661.2,1191
1786077000,661.2,661.5,661.2,661.5,135
1786077060,661.65,661.65,661.2,661.2,276
1786077120,661.2,661.55,661.2,661.55,696
1786077180,661.5,661.5,661.1,661.45,59
1786077240,661.45,661.7,661.25,661.3,808
1786077300,661.5,661.5,661.35,661.35,548
1786077360,661.65,661.7,661.35,661.65,213
1786077420,661.8,661.85,661.5,661.85,69
1786077480,661.85,661.85,661.1,661.1,916
1786077540,661.6,661.6,661.1,661.55,472
1786077600,660.5,661.05,660.5,661.05,1718
1786077660,660.5,660.9,660.5,660.5,1441
1786077720,660.55,660.65,660.25,660.55,1508
1786077780,660.55,660.55,660.25,660.55,289
1786077840,660.25,660.25,660.15,660.25,172
1786077900,660.2,660.2,660.2,660.2,352
1786077960,660.1,660.2,660.1,660.1,249
1786078020,660.0,660.0,660.0,660.0,1337
1786078080,659.8,659.8,659.15,659.5,1463
1786078140,659.45,659.7,659.45,659.45,318
1786078200,659.7,659.7,659.5,659.65,670
1786078260,659.6,660.2,659.6,660.2,650
1786078320,659.85,660.15,659.7,659.7,113
1786078380,660.1,660.1,660.05,660.05,19
1786078440,659.7,660.25,659.7,660.25,573
1786078500,660.0,660.25,660.0,660.25,249
1786078560,660.0,660.25,660.0,660.25,47
1786078620,660.25,660.25,660.0,660.0,1483
1786078680,660.0,660.25,660.0,660.0,52
1786078740,660.4,660.4,660.3,660.35,3235
1786078800,661.05,661.35,660.7,661.1,2690
