time,open,high,low,close,volume
1786074300,1586.9,1588.5,1584.8,1587.0,10294
1786074360,1583.0,1583.3,1579.9,1580.5,29579
1786074420,1580.9,1585.5,1580.9,1585.5,9182
1786074480,1585.5,1586.6,1583.9,1585.4,1333
1786074540,1585.3,1585.3,1584.6,1585.1,933
1786074600,1585.3,1585.3,1583.5,1584.2,1239
1786074660,1585.0,1591.8,1585.0,1591.5,8122
1786074720,1590.9,1590.9,1588.3,1588.4,3267
1786074780,1588.9,1591.9,1588.9,1591.1,2030
1786074840,1590.1,1597.2,1589.7,1594.9,11720
1786074900,1593.9,1595.4,1592.1,1595.0,2291
1786074960,1593.8,1595.0,1593.4,1595.0,727
1786075020,1593.5,1593.5,1591.3,1591.9,282
1786075080,1592.4,1592.5,1591.9,1592.2,2911
1786075140,1591.8,1591.8,1589.8,1590.5,778
1786075200,1592.5,1593.9,1591.4,1591.4,3222
1786075260,1591.9,1592.1,1591.3,1591.9,225
1786075320,1591.9,1593.1,1591.3,1592.2,1616
1786075380,1591.7,1591.8,1589.1,1589.8,485
1786075440,1589.2,1590.1,1589.1,1589.9,717
1786075500,1592.1,1592.6,1591.5,1592.1,940
1786075560,1592.6,1596.3,1592.6,1596.3,12302
1786075620,1596.6,1596.6,1594.6,1595.5,2281
1786075680,1595.3,1595.9,1594.4,1595.1,2440
1786075740,1596.3,1596.5,1596.0,1596.5,2354
1786075800,1596.7,1597.4,1596.5,1597.2,359
1786075860,1597.0,1599.8,1597.0,1598.5,1755
1786075920,1598.5,1599.0,1598.0,1598.5,1423
1786075980,1601.1,1603.2,1600.6,1601.3,10836
1786076040,1601.3,1603.0,1600.4,1603.0,846
1786076100,1603.4,1603.4,1599.9,1601.5,2004
1786076160,1601.2,1602.7,1600.2,1602.7,2297
1786076220,1602.9,1603.4,1602.3,1603.0,1388
1786076280,1602.6,1603.8,1602.6,1603.5,3573
1786076340,1603.6,1604.0,1602.8,1602.8,4507
1786076400,1603.0,1603.0,1601.4,1601.4,761
1786076460,1601.0,1602.3,1601.0,1602.0,1163
1786076520,1602.0,1604.5,1600.9,1604.5,2278
1786076580,1604.4,1605.0,1600.0,1601.1,3164
1786076640,1601.3,1601.5,1600.4,1601.1,1640
1786076700,1600.4,1600.7,1600.0,1600.7,424
1786076760,1599.7,1600.7,1599.6,1599.6,656
1786076820,1598.7,1599.5,1598.6,1599.3,1488
1786076880,1599.0,1599.0,1595.6,1596.5,1410
1786076940,1597.0,1598.0,1595.7,1595.7,1074
1786077000,1595.7,1596.2,1595.1,1596.2,545
1786077060,1596.0,1597.0,1596.0,1597.0,99
1786077120,1597.0,1597.9,1596.8,1597.9,353
1786077180,1597.6,1598.0,1597.4,1597.4,4484
1786077240,1597.5,1603.2,1597.5,1602.6,7486
1786077300,1602.6,1603.5,1601.5,1603.2,1640
1786077360,1603.6,1605.3,1602.9,1605.2,2714
1786077420,1605.3,1605.3,1602.9,1603.7,1380
1786077480,1604.5,1604.5,1602.5,1603.4,1874
1786077540,1603.6,1603.7,1602.4,1603.6,446
1786077600,1603.6,1603.6,1603.3,1603.4,144
1786077660,1603.6,1604.9,1603.5,1604.9,2064
1786077720,1605.0,1608.8,1605.0,1608.4,12824
1786077780,1608.5,1608.5,1604.9,1605.0,2080
1786077840,1605.0,1605.4,1604.2,1605.4,757
1786077900,1604.5,1605.0,1602.3,1604.0,1305
1786077960,1604.0,1604.6,1602.6,1603.0,834
1786078020,1602.8,1604.0,1602.8,1604.0,729
1786078080,1604.0,1604.0,1603.5,1604.0,559
1786078140,1604.0,1604.0,1602.0,1604.0,1333
1786078200,1604.0,1604.0,1603.3,1604.0,285
1786078260,1603.4,1604.0,1602.5,1603.0,2553
1786078320,1603.5,1603.5,1601.2,1601.6,2527
1786078380,1601.6,1605.1,1601.5,1605.1,4741
1786078440,1604.4,1605.4,1604.1,1604.9,1536
1786078500,1604.9,1609.9,1604.9,1606.9,29719
1786078560,1606.9,1608.1,1605.6,1607.5,7699
1786078620,1607.1,1608.0,1606.0,1606.1,4543
1786078680,1605.5,1607.3,1604.0,1606.9,4118
1786078740,1606.9,1608.5,1605.7,1608.5,3941
1786078800,1610.0,1615.7,1608.6,1614.0,39400
1786078860,1613.2,1614.8,1612.5,1613.8,9145
1786078920,1613.8,1613.8,1611.3,1611.6,4145
1786078980,1612.6,1612.6,1609.0,1610.7,19943
1786079040,1610.5,1611.4,1610.0,1610.0,2705
1786079100,1610.0,1612.5,1610.0,1611.4,8107
1786079160,1611.9,1613.3,1611.0,1612.8,18018
1786079220,1613.2,1618.0,1613.1,1615.0,28454
1786079280,1615.9,1617.5,1613.1,1617.5,15994
1786079340,1617.2,1626.9,1617.2,1626.9,33632
1786079400,1626.9,1627.6,1622.3,1622.3,20586
1786079460,1622.4,1623.7,1622.0,1622.8,2297
1786079520,1622.4,1625.8,1620.1,1624.4,10515
1786079580,1623.8,1628.9,1622.8,1624.2,70204
1786079640,1623.5,1628.0,1623.5,1627.0,5065
1786079700,1628.0,1628.5,1627.0,1628.5,4625
1786079760,1628.7,1629.0,1627.0,1627.4,7058
1786079820,1627.4,1628.5,1626.6,1627.0,2459
1786079880,1627.0,1629.3,1626.8,1628.1,17447
1786079940,1629.3,1630.8,1627.0,1628.1,12208
1786080000,1628.8,1629.9,1628.0,1628.7,7073
1786080060,1628.7,1628.7,1626.2,1627.0,6056
1786080120,1627.0,1627.0,1625.4,1625.4,3848
