time,open,high,low,close,volume
1786074300,1255.8,1256.0,1252.6,1252.6,51238
1786074360,1252.1,1252.1,1249.2,1249.2,29068
1786074420,1249.0,1250.0,1248.5,1248.9,34233
1786074480,1248.4,1248.7,1248.1,1248.1,11293
1786074540,1248.3,1249.8,1248.3,1249.3,15887
1786074600,1249.5,1249.6,1248.4,1249.6,10107
1786074660,1249.9,1249.9,1249.6,1249.7,2830
1786074720,1249.9,1250.5,1249.7,1249.7,8152
1786074780,1249.6,1249.6,1249.0,1249.0,4558
1786074840,1248.7,1249.2,1248.7,1249.0,10036
1786074900,1249.1,1249.1,1248.0,1248.1,3518
1786074960,1248.4,1249.1,1248.4,1249.1,5381
1786075020,1249.1,1249.6,1249.1,1249.5,4053
1786075080,1249.9,1249.9,1249.0,1249.0,9822
1786075140,1249.4,1249.5,1249.0,1249.0,3300
1786075200,1249.0,1249.0,1248.7,1248.7,3507
1786075260,1248.4,1248.4,1246.8,1246.8,22679
1786075320,1246.7,1247.4,1246.7,1247.4,18980
1786075380,1247.0,1247.0,1246.4,1246.5,6721
1786075440,1246.5,1246.6,1246.0,1246.3,11264
1786075500,1246.5,1246.7,1246.5,1246.7,6222
1786075560,1246.7,1246.9,1246.6,1246.9,4706
1786075620,1246.7,1246.8,1246.5,1246.5,5233
1786075680,1246.6,1247.0,1246.6,1246.9,7842
1786075740,1247.0,1247.1,1247.0,1247.0,2047
1786075800,1247.0,1247.3,1247.0,1247.2,4763
1786075860,1246.8,1246.9,1246.3,1246.7,9974
1786075920,1246.5,1247.3,1246.5,1247.3,6379
1786075980,1247.3,1247.8,1247.3,1247.7,2120
1786076040,1247.7,1247.9,1247.5,1247.9,3460
1786076100,1247.9,1248.0,1247.5,1247.5,4294
1786076160,1247.2,1247.6,1247.2,1247.5,2133
1786076220,1247.5,1247.8,1247.2,1247.8,5424
1786076280,1247.8,1247.9,1247.5,1247.8,2334
1786076340,1247.9,1248.4,1247.9,1248.4,2612
1786076400,1248.4,1248.6,1248.1,1248.6,4557
1786076460,1248.6,1248.6,1248.4,1248.5,2119
1786076520,1248.5,1248.5,1248.5,1248.5,4166
1786076580,1248.5,1248.5,1248.2,1248.2,1450
1786076640,1248.5,1248.5,1247.1,1247.1,14026
1786076700,1247.0,1247.7,1247.0,1247.7,6320
1786076760,1247.7,1248.2,1247.7,1247.8,4660
1786076820,1247.9,1247.9,1247.5,1247.5,2743
1786076880,1247.6,1248.6,1247.6,1248.6,10697
1786076940,1248.6,1248.6,1248.1,1248.5,2861
1786077000,1248.3,1248.5,1248.0,1248.2,1791
1786077060,1248.2,1248.2,1247.5,1247.5,1802
1786077120,1247.8,1247.8,1247.1,1247.4,3584
1786077180,1247.3,1247.3,1246.5,1246.5,10109
1786077240,1246.7,1246.7,1246.5,1246.5,3292
1786077300,1246.6,1247.0,1246.5,1246.8,2854
1786077360,1247.4,1247.4,1247.1,1247.2,3186
1786077420,1247.2,1248.1,1247.2,1247.9,2175
1786077480,1247.9,1247.9,1247.3,1247.3,2993
1786077540,1247.3,1247.8,1247.2,1247.6,590
1786077600,1247.5,1248.1,1247.4,1247.7,4616
1786077660,1248.2,1248.6,1247.7,1248.2,4624
1786077720,1248.2,1248.2,1248.0,1248.1,1555
1786077780,1248.0,1248.1,1247.7,1247.7,1867
1786077840,1247.6,1248.8,1247.5,1248.7,9264
1786077900,1248.6,1248.8,1248.2,1248.2,2251
1786077960,1248.3,1248.3,1248.0,1248.1,1916
1786078020,1248.1,1248.8,1247.3,1247.4,40818
1786078080,1247.3,1247.3,1246.3,1246.3,5832
1786078140,1246.3,1246.6,1246.3,1246.6,7460
1786078200,1246.5,1246.8,1246.5,1246.5,2974
1786078260,1246.8,1247.4,1246.8,1247.4,2612
1786078320,1247.4,1247.7,1247.0,1247.7,5078
1786078380,1247.6,1247.6,1247.0,1247.1,2496
1786078440,1247.2,1247.6,1247.1,1247.2,1659
1786078500,1247.1,1247.6,1247.0,1247.1,1780
1786078560,1247.3,1247.3,1246.8,1246.8,2256
1786078620,1247.0,1247.0,1246.7,1246.7,642
1786078680,1246.8,1247.0,1245.1,1246.1,96070
1786078740,1245.8,1246.3,1245.5,1245.7,5613
1786078800,1245.8,1246.1,1245.4,1245.4,4735
1786078860,1245.7,1245.8,1244.8,1244.8,10734
1786078920,1244.8,1245.4,1244.2,1245.0,28340
1786078980,1245.0,1245.3,1244.7,1245.0,17188
1786079040,1245.2,1245.3,1245.0,1245.1,2604
