time,open,high,low,close,volume
1786074300,11605.0,11667.0,11574.0,11655.0,4927
1786074360,11659.0,11659.0,11633.0,11655.0,1495
1786074420,11675.0,11675.0,11648.0,11648.0,1783
1786074480,11645.0,11669.0,11645.0,11660.0,3089
1786074540,11649.0,11649.0,11636.0,11636.0,1437
1786074600,11643.0,11647.0,11641.0,11641.0,465
1786074660,11636.0,11636.0,11622.0,11633.0,1020
1786074720,11631.0,11634.0,11628.0,11634.0,619
1786074780,11634.0,11646.0,11623.0,11646.0,703
1786074840,11645.0,11646.0,11640.0,11640.0,369
1786074900,11644.0,11650.0,11641.0,11650.0,877
1786074960,11657.0,11665.0,11648.0,11649.0,1011
1786075020,11648.0,11654.0,11646.0,11647.0,180
1786075080,11644.0,11647.0,11643.0,11643.0,421
1786075140,11640.0,11642.0,11634.0,11636.0,256
1786075200,11634.0,11636.0,11630.0,11630.0,537
1786075260,11633.0,11647.0,11633.0,11647.0,772
1786075320,11646.0,11646.0,11640.0,11644.0,368
1786075380,11644.0,11652.0,11640.0,11647.0,440
1786075440,11652.0,11652.0,11648.0,11652.0,172
1786075500,11657.0,11671.0,11657.0,11668.0,1044
1786075560,11673.0,11683.0,11666.0,11683.0,875
1786075620,11685.0,11685.0,11675.0,11683.0,1439
1786075680,11683.0,11683.0,11673.0,11679.0,366
1786075740,11681.0,11686.0,11680.0,11684.0,1264
1786075800,11684.0,11687.0,11679.0,11685.0,330
1786075860,11688.0,11690.0,11684.0,11690.0,729
1786075920,11688.0,11690.0,11678.0,11678.0,417
1786075980,11672.0,11685.0,11672.0,11685.0,369
1786076040,11681.0,11687.0,11681.0,11687.0,228
1786076100,11690.0,11697.0,11690.0,11696.0,1196
1786076160,11697.0,11697.0,11680.0,11687.0,832
1786076220,11687.0,11690.0,11684.0,11684.0,468
1786076280,11688.0,11689.0,11685.0,11685.0,298
1786076340,11688.0,11690.0,11686.0,11690.0,738
1786076400,11689.0,11690.0,11685.0,11689.0,405
1786076460,11690.0,11690.0,11684.0,11686.0,407
1786076520,11688.0,11688.0,11684.0,11686.0,192
1786076580,11688.0,11690.0,11682.0,11682.0,528
1786076640,11685.0,11696.0,11680.0,11689.0,486
1786076700,11696.0,11700.0,11691.0,11700.0,654
1786076760,11704.0,11707.0,11700.0,11700.0,1537
1786076820,11697.0,11704.0,11697.0,11703.0,174
1786076880,11704.0,11727.0,11704.0,11725.0,2311
1786076940,11722.0,11726.0,11722.0,11722.0,712
1786077000,11725.0,11726.0,11712.0,11720.0,450
1786077060,11720.0,11725.0,11718.0,11718.0,278
1786077120,11701.0,11709.0,11700.0,11700.0,429
1786077180,11700.0,11704.0,11687.0,11695.0,1019
1786077240,11692.0,11700.0,11692.0,11699.0,210
1786077300,11700.0,11700.0,11699.0,11700.0,126
1786077360,11700.0,11700.0,11693.0,11693.0,258
1786077420,11700.0,11712.0,11696.0,11710.0,637
1786077480,11711.0,11712.0,11703.0,11710.0,533
1786077540,11705.0,11708.0,11698.0,11705.0,139
1786077600,11705.0,11707.0,11700.0,11706.0,306
1786077660,11705.0,11705.0,11695.0,11702.0,130
1786077720,11702.0,11702.0,11695.0,11695.0,206
1786077780,11696.0,11697.0,11690.0,11690.0,390
1786077840,11691.0,11695.0,11689.0,11690.0,336
1786077900,11693.0,11693.0,11676.0,11680.0,2116
1786077960,11681.0,11681.0,11676.0,11680.0,305
1786078020,11680.0,11680.0,11669.0,11670.0,643
1786078080,11674.0,11674.0,11665.0,11665.0,453
1786078140,11665.0,11665.0,11654.0,11660.0,820
1786078200,11661.0,11674.0,11661.0,11674.0,191
1786078260,11667.0,11673.0,11667.0,11672.0,181
1786078320,11671.0,11674.0,11670.0,11673.0,256
1786078380,11674.0,11674.0,11665.0,11670.0,102
1786078440,11670.0,11670.0,11665.0,11670.0,191
1786078500,11670.0,11670.0,11665.0,11670.0,498
1786078560,11668.0,11670.0,11668.0,11669.0,132
1786078620,11669.0,11669.0,11664.0,11667.0,194
1786078680,11669.0,11670.0,11662.0,11669.0,190
1786078740,11669.0,11670.0,11664.0,11668.0,73
1786078800,11673.0,11676.0,11673.0,11676.0,351
1786078860,11673.0,11681.0,11673.0,11678.0,607
1786078920,11679.0,11679.0,11667.0,11667.0,362
