time,open,high,low,close,volume
1786074300,2011.0,2030.0,2005.7,2023.8,213456
1786074360,2023.7,2033.6,2022.0,2026.4,110494
1786074420,2025.5,2029.0,2022.5,2022.5,47632
1786074480,2022.4,2023.2,2021.0,2021.4,23638
1786074540,2022.0,2024.0,2020.1,2020.4,39524
1786074600,2020.4,2021.9,2015.5,2020.4,42422
1786074660,2020.4,2020.4,2015.6,2016.8,7036
1786074720,2016.1,2023.1,2015.2,2022.4,7830
1786074780,2022.3,2024.2,2017.4,2020.9,7522
1786074840,2021.9,2022.1,2013.1,2013.3,12051
1786074900,2014.0,2015.5,2010.1,2014.5,9372
1786074960,2015.4,2024.0,2014.7,2023.2,13532
1786075020,2023.9,2024.2,2021.2,2023.7,6504
1786075080,2024.0,2025.0,2023.0,2024.1,6824
1786075140,2023.0,2025.9,2022.6,2024.6,6889
1786075200,2024.0,2024.0,2019.2,2020.3,6261
1786075260,2020.3,2021.4,2019.5,2019.6,5184
1786075320,2020.5,2024.0,2019.9,2022.6,2875
1786075380,2023.2,2025.0,2023.0,2024.9,1442
1786075440,2024.9,2025.3,2022.0,2025.0,3944
1786075500,2024.8,2025.0,2022.4,2023.5,2796
1786075560,2023.5,2025.0,2023.5,2025.0,1193
1786075620,2024.8,2024.8,2022.2,2023.1,2593
1786075680,2023.1,2025.0,2022.4,2025.0,1256
1786075740,2024.4,2024.8,2023.5,2024.0,2761
1786075800,2024.0,2024.4,2021.7,2021.7,6129
1786075860,2020.9,2020.9,2020.0,2020.0,3813
1786075920,2017.5,2022.1,2017.5,2020.0,16093
1786075980,2020.1,2020.1,2018.0,2019.3,3059
1786076040,2019.0,2020.0,2019.0,2019.3,1828
1786076100,2019.1,2019.7,2019.0,2019.7,2547
1786076160,2019.8,2019.8,2015.0,2015.0,8781
1786076220,2015.1,2015.2,2013.9,2014.4,2647
1786076280,2014.4,2018.1,2014.3,2017.2,5503
1786076340,2017.7,2019.8,2017.7,2018.8,3109
1786076400,2018.8,2018.9,2014.6,2015.9,4275
1786076460,2016.8,2017.2,2015.0,2016.6,2145
1786076520,2016.6,2019.1,2016.6,2017.9,2791
1786076580,2018.7,2018.7,2015.8,2017.1,3237
1786076640,2017.9,2022.5,2017.6,2021.3,4194
1786076700,2021.4,2023.0,2018.3,2018.5,8033
1786076760,2019.4,2019.4,2017.1,2017.6,1340
1786076820,2017.9,2019.2,2015.1,2015.5,6114
1786076880,2016.3,2016.9,2015.0,2016.4,1588
1786076940,2017.0,2017.3,2015.2,2016.8,1074
1786077000,2016.0,2016.6,2015.0,2015.0,5359
1786077060,2015.1,2015.1,2012.2,2014.6,9208
1786077120,2014.1,2014.1,2013.0,2013.7,4028
