time,open,high,low,close,volume
1786074300,174.88,175.31,174.48,175.0,231799
1786074360,174.93,175.14,174.91,175.06,51833
1786074420,174.95,175.03,174.85,174.91,38319
1786074480,174.9,174.91,174.6,174.6,42398
1786074540,174.52,174.82,174.35,174.35,70964
1786074600,174.3,174.48,174.22,174.33,42970
1786074660,174.18,174.48,174.12,174.48,59659
1786074720,174.48,174.48,174.09,174.09,95308
1786074780,174.05,174.27,174.03,174.03,87805
1786074840,174.15,174.24,174.12,174.19,22486
1786074900,174.15,174.2,174.15,174.19,18209
1786074960,174.2,174.2,173.88,173.88,89197
1786075020,173.82,173.97,173.7,173.79,53660
1786075080,173.8,173.94,173.52,173.52,69752
1786075140,173.75,173.76,173.66,173.66,52140
1786075200,173.7,173.7,173.61,173.68,58926
1786075260,173.67,173.71,173.6,173.71,55150
1786075320,173.75,173.95,173.75,173.92,19992
1786075380,173.96,173.96,173.84,173.85,28702
1786075440,173.89,173.89,173.75,173.75,13495
1786075500,173.8,173.83,173.77,173.8,15437
1786075560,173.76,173.84,173.76,173.76,16642
1786075620,173.76,173.79,173.7,173.79,26339
1786075680,173.89,173.93,173.84,173.91,24650
1786075740,173.9,173.99,173.82,173.82,29001
1786075800,173.85,173.95,173.85,173.95,57062
1786075860,173.94,173.94,173.76,173.88,11020
1786075920,173.88,174.96,173.81,174.96,87943
1786075980,174.98,175.5,174.96,175.33,256444
1786076040,175.38,175.51,175.17,175.49,79513
1786076100,175.49,175.49,175.05,175.05,32026
1786076160,175.1,175.36,175.1,175.13,49056
1786076220,175.2,175.22,175.06,175.13,4830
1786076280,175.1,175.15,175.09,175.11,25206
1786076340,175.08,175.08,175.0,175.0,20110
1786076400,174.91,174.95,174.91,174.94,8127
1786076460,174.9,174.91,174.84,174.85,16502
1786076520,174.85,174.85,174.77,174.79,4133
1786076580,174.79,174.82,174.75,174.82,16370
1786076640,174.84,174.85,174.8,174.8,7493
1786076700,174.8,174.93,174.77,174.92,19423
1786076760,174.92,174.92,174.85,174.88,774
1786076820,174.88,174.94,174.88,174.94,13404
1786076880,174.94,175.38,174.94,175.2,59430
1786076940,175.2,175.2,175.14,175.15,5450
1786077000,175.15,175.15,175.03,175.08,4603
