time,open,high,low,close,volume
1786074300,1298.9,1310.0,1298.9,1309.2,51901
1786074360,1311.5,1311.5,1304.2,1306.9,31820
1786074420,1306.8,1311.9,1305.8,1309.6,31187
1786074480,1309.0,1309.6,1307.1,1309.2,8684
1786074540,1308.2,1310.9,1307.6,1308.3,21017
1786074600,1308.1,1311.0,1308.1,1309.7,9974
1786074660,1309.2,1309.3,1306.3,1306.5,14677
1786074720,1306.5,1307.1,1305.2,1305.9,6267
1786074780,1306.0,1306.8,1305.0,1305.0,8953
1786074840,1304.6,1304.9,1304.1,1304.1,7127
1786074900,1305.6,1305.6,1303.3,1303.3,6632
1786074960,1303.7,1303.7,1302.2,1303.7,8673
1786075020,1302.0,1302.4,1301.6,1302.0,3821
1786075080,1301.9,1301.9,1297.0,1298.6,20365
1786075140,1297.9,1299.8,1297.9,1298.5,4766
1786075200,1298.9,1300.5,1298.9,1300.5,5759
1786075260,1301.4,1302.3,1300.2,1301.6,3290
1786075320,1302.0,1303.0,1301.5,1303.0,6400
1786075380,1303.0,1303.0,1301.8,1301.8,2148
1786075440,1302.1,1302.4,1300.1,1301.1,4538
1786075500,1300.1,1301.2,1300.1,1301.2,1363
1786075560,1300.4,1301.8,1300.4,1301.7,7032
1786075620,1301.4,1301.4,1300.1,1300.6,7846
1786075680,1300.0,1302.0,1299.6,1302.0,4511
1786075740,1302.3,1302.3,1300.7,1301.1,3101
1786075800,1300.3,1304.1,1300.0,1304.1,10779
1786075860,1304.5,1304.7,1303.8,1303.8,2761
1786075920,1305.5,1305.5,1304.6,1304.6,2937
1786075980,1304.6,1305.1,1303.5,1304.7,2124
1786076040,1305.5,1309.3,1305.3,1308.5,6730
1786076100,1308.3,1311.5,1308.3,1309.7,13365
1786076160,1309.5,1310.1,1306.5,1306.8,7254
1786076220,1307.0,1307.2,1303.5,1303.5,3797
1786076280,1303.5,1303.5,1302.0,1302.0,2362
1786076340,1301.9,1302.3,1301.2,1302.3,2046
1786076400,1302.8,1303.7,1302.3,1303.7,2602
1786076460,1303.5,1305.2,1303.5,1305.2,1066
1786076520,1305.1,1305.6,1304.0,1304.0,1668
1786076580,1303.5,1304.6,1303.4,1304.6,1604
1786076640,1305.0,1305.7,1305.0,1305.3,1620
1786076700,1304.5,1307.3,1304.5,1307.3,1503
1786076760,1306.8,1307.1,1305.9,1306.1,1080
1786076820,1305.9,1306.5,1304.6,1304.6,2002
1786076880,1305.2,1305.3,1303.4,1303.5,1608
1786076940,1303.9,1304.0,1303.3,1303.7,832
1786077000,1304.6,1304.9,1303.5,1304.4,1145
1786077060,1303.8,1306.3,1303.6,1305.8,1220
1786077120,1305.7,1306.0,1304.7,1305.0,1593
1786077180,1304.5,1304.6,1303.5,1303.5,1620
1786077240,1303.7,1303.7,1301.5,1301.6,3069
1786077300,1302.0,1302.4,1301.7,1301.7,5663
1786077360,1302.8,1302.8,1301.5,1301.5,1030
1786077420,1301.1,1302.8,1301.1,1302.5,2697
1786077480,1302.5,1302.6,1302.0,1302.6,245
1786077540,1302.6,1302.6,1301.3,1301.9,2029
1786077600,1302.0,1302.0,1301.5,1301.9,138
1786077660,1301.9,1303.3,1300.7,1301.4,6360
1786077720,1300.6,1303.0,1299.9,1302.5,7561
1786077780,1302.4,1303.2,1302.4,1302.5,592
1786077840,1303.0,1303.0,1302.1,1302.3,1999
1786077900,1302.5,1302.5,1300.8,1300.9,1220
1786077960,1300.9,1303.3,1300.9,1302.9,684
1786078020,1303.5,1304.6,1302.6,1304.4,891
1786078080,1304.5,1304.5,1302.8,1303.6,502
1786078140,1302.9,1304.0,1302.9,1303.9,1167
1786078200,1303.5,1305.0,1303.5,1305.0,3778
1786078260,1305.9,1308.0,1305.8,1307.8,5203
1786078320,1307.7,1308.5,1307.3,1308.0,2030
1786078380,1307.5,1308.1,1306.4,1306.4,3052
1786078440,1306.8,1306.8,1305.0,1305.6,1052
1786078500,1305.6,1306.0,1305.6,1306.0,803
1786078560,1305.6,1306.3,1305.2,1305.2,1276
1786078620,1305.7,1305.7,1302.6,1304.0,2316
1786078680,1303.3,1304.0,1303.1,1303.4,628
1786078740,1303.1,1305.0,1303.1,1305.0,1575
1786078800,1304.8,1305.0,1303.3,1304.2,374
1786078860,1304.2,1304.9,1303.5,1304.2,1870
1786078920,1300.3,1302.2,1300.3,1302.2,18303
1786078980,1301.6,1305.9,1301.1,1304.9,5911
1786079040,1305.0,1306.4,1304.9,1305.6,1599
1786079100,1305.8,1306.1,1302.0,1302.9,1784
1786079160,1302.8,1303.0,1302.1,1302.8,407
1786079220,1303.0,1303.2,1302.3,1302.6,632
1786079280,1302.7,1302.8,1300.4,1301.6,2527
1786079340,1301.4,1301.7,1300.5,1301.2,1319
1786079400,1301.1,1303.1,1301.1,1302.6,3703
1786079460,1302.0,1302.5,1301.6,1301.7,316
1786079520,1302.5,1302.7,1302.4,1302.6,896
1786079580,1303.0,1303.2,1302.2,1302.4,507
1786079640,1302.4,1302.4,1301.6,1302.2,833
1786079700,1302.0,1302.0,1301.0,1302.0,1316
1786079760,1301.5,1302.4,1301.5,1302.4,919
1786079820,1302.4,1303.0,1302.4,1302.4,128
1786079880,1302.9,1303.0,1302.4,1302.9,808
1786079940,1303.0,1303.0,1302.4,1302.8,262
1786080000,1302.8,1302.8,1301.6,1301.8,495
1786080060,1301.6,1301.8,1301.2,1301.8,739
1786080120,1301.4,1302.4,1301.2,1301.9,154
1786080180,1301.9,1301.9,1301.2,1301.4,754
1786080240,1301.4,1301.4,1300.2,1300.2,3991
1786080300,1300.1,1300.9,1300.1,1300.5,5633
1786080360,1301.0,1302.2,1301.0,1301.0,740
1786080420,1301.6,1301.6,1300.4,1300.4,628
1786080480,1300.4,1301.2,1300.4,1301.2,2540
1786080540,1300.3,1300.4,1293.4,1294.9,38060
1786080600,1294.7,1296.3,1294.0,1296.2,4783
1786080660,1295.6,1296.6,1294.4,1295.1,3626
1786080720,1295.7,1296.4,1295.1,1295.7,1601
1786080780,1295.7,1295.9,1294.0,1294.8,3619
1786080840,1294.6,1294.7,1294.0,1294.0,2591
1786080900,1294.0,1294.1,1293.0,1293.4,3221
1786080960,1294.1,1294.1,1293.7,1294.1,648
1786081020,1294.1,1295.0,1293.3,1295.0,3466
1786081080,1294.4,1295.4,1294.4,1295.0,1874
1786081140,1294.8,1295.3,1294.1,1295.3,258
1786081200,1295.3,1295.3,1294.5,1294.6,1533
1786081260,1295.2,1295.2,1294.5,1295.0,581
1786081320,1294.5,1295.0,1294.5,1295.0,307
1786081380,1295.0,1295.0,1294.6,1294.7,674
1786081440,1295.0,1295.0,1294.5,1294.5,1232
1786081500,1294.5,1295.3,1294.5,1294.5,1005
1786081560,1294.2,1294.7,1294.1,1294.3,1845
1786081620,1294.0,1294.2,1293.4,1294.1,1525
1786081680,1294.1,1294.1,1293.6,1293.8,305
1786081740,1293.2,1293.6,1293.2,1293.6,1889
1786081800,1293.6,1294.0,1293.4,1294.0,1210
1786081860,1293.7,1294.7,1293.5,1294.7,2067
1786081920,1295.0,1295.0,1294.2,1294.8,1048
1786081980,1294.2,1295.3,1294.2,1294.9,243
1786082040,1294.9,1295.0,1294.7,1294.7,799
1786082100,1295.0,1295.1,1294.4,1294.4,1879
1786082160,1294.6,1295.8,1294.6,1295.1,531
1786082220,1295.7,1295.7,1294.8,1295.4,281
1786082280,1295.0,1295.4,1295.0,1295.4,94
1786082340,1295.5,1295.6,1295.4,1295.6,558
1786082400,1295.5,1295.5,1294.0,1294.8,759
1786082460,1294.9,1295.0,1294.2,1294.9,432
1786082520,1294.7,1296.5,1294.2,1296.5,2189
1786082580,1297.5,1298.1,1296.5,1298.1,2490
1786082640,1298.1,1298.8,1297.5,1297.8,1365
1786082700,1298.0,1298.8,1298.0,1298.5,923
1786082760,1298.4,1298.8,1298.4,1298.4,368
1786082820,1298.0,1298.3,1298.0,1298.3,405
1786082880,1298.3,1298.3,1297.6,1297.6,429
1786082940,1298.0,1298.3,1297.5,1297.5,607
1786083000,1298.0,1298.0,1297.2,1297.4,1825
1786083060,1297.0,1297.4,1296.0,1296.0,593
1786083120,1296.6,1296.6,1295.3,1296.0,1694
1786083180,1296.0,1296.0,1295.4,1295.4,303
1786083240,1295.2,1296.0,1295.0,1296.0,1130
1786083300,1295.4,1296.0,1295.4,1296.0,1145
1786083360,1296.2,1296.2,1295.2,1296.1,776
1786083420,1296.0,1296.0,1295.6,1295.8,148
1786083480,1295.8,1296.1,1295.4,1295.9,191
1786083540,1295.9,1295.9,1295.0,1295.0,382
1786083600,1295.6,1295.6,1295.0,1295.6,223
1786083660,1295.3,1295.5,1293.1,1293.2,3402
1786083720,1293.2,1293.9,1293.2,1293.9,1181
1786083780,1293.5,1293.6,1292.1,1292.1,5444
1786083840,1293.1,1293.3,1292.1,1292.2,674
1786083900,1292.1,1292.7,1292.1,1292.1,827
1786083960,1292.1,1293.5,1292.1,1293.5,1086
1786084020,1294.1,1294.1,1293.0,1293.0,524
1786084080,1293.0,1293.2,1293.0,1293.1,51
1786084140,1293.2,1293.6,1293.2,1293.6,247
1786084200,1293.5,1293.8,1293.1,1293.3,389
1786084260,1293.4,1293.6,1293.0,1293.0,398
1786084320,1293.3,1293.5,1293.0,1293.5,117
1786084380,1293.0,1293.1,1293.0,1293.0,493
1786084440,1292.8,1292.9,1292.6,1292.6,787
1786084500,1292.9,1293.1,1292.6,1293.0,649
1786084560,1293.0,1293.6,1293.0,1293.6,718
1786084620,1293.9,1293.9,1293.0,1293.3,635
1786084680,1293.5,1293.9,1293.0,1293.1,911
1786084740,1293.8,1293.8,1293.0,1293.0,626
1786084800,1293.1,1293.3,1288.5,1290.2,24747
1786084860,1290.2,1290.3,1289.0,1289.7,2357
1786084920,1289.8,1290.6,1289.4,1290.0,1907
1786084980,1290.6,1290.8,1289.7,1290.0,577
1786085040,1290.0,1290.6,1290.0,1290.2,715
1786085100,1290.3,1290.9,1290.0,1290.0,2060
1786085160,1290.3,1290.3,1289.8,1290.0,1177
1786085220,1289.9,1289.9,1289.0,1289.0,858
1786085280,1289.0,1290.9,1289.0,1289.9,1813
1786085340,1289.9,1290.5,1289.8,1290.1,225
