time,open,high,low,close,volume
1786074300,401.0,403.0,400.5,402.6,344859
1786074360,402.6,402.6,401.3,401.7,236824
1786074420,401.9,402.2,401.35,401.7,86502
1786074480,401.6,401.6,401.25,401.4,51162
1786074540,401.4,402.7,401.4,402.65,207558
1786074600,402.5,402.85,402.05,402.3,106050
1786074660,402.1,402.3,402.05,402.25,84031
1786074720,402.15,402.2,402.1,402.2,39465
1786074780,402.15,402.4,402.15,402.35,87915
1786074840,402.35,402.35,402.2,402.25,37001
1786074900,402.3,402.3,402.0,402.15,158183
1786074960,402.1,402.15,402.0,402.05,87002
1786075020,402.0,402.0,401.85,402.0,165660
1786075080,402.05,402.05,401.15,401.2,76431
1786075140,401.0,401.2,401.0,401.05,71362
1786075200,401.1,401.5,400.85,401.35,57593
1786075260,401.1,401.35,401.0,401.0,48501
1786075320,401.0,401.0,400.7,400.9,38558
1786075380,400.75,400.85,400.5,400.7,52742
1786075440,400.7,400.75,400.3,400.55,36526
1786075500,400.45,400.8,400.35,400.8,58851
1786075560,401.0,401.25,400.95,401.25,34398
1786075620,401.25,401.4,401.1,401.15,56871
1786075680,400.9,401.0,400.6,401.0,38945
1786075740,401.15,401.15,400.8,400.85,13541
1786075800,400.8,401.1,400.7,401.1,18003
1786075860,401.2,401.35,401.0,401.35,17202
1786075920,401.25,401.5,401.25,401.5,35732
1786075980,401.45,401.45,401.3,401.4,23400
1786076040,401.5,401.6,401.4,401.6,10807
1786076100,401.5,401.7,401.5,401.65,31255
1786076160,401.65,401.75,401.5,401.5,36764
1786076220,401.5,401.65,401.5,401.5,19074
1786076280,401.45,401.5,401.0,401.0,26607
1786076340,401.1,401.3,400.85,401.2,22792
1786076400,401.35,401.35,401.15,401.15,16284
1786076460,401.25,401.45,401.25,401.4,8636
1786076520,401.45,401.55,401.3,401.3,27705
1786076580,401.25,401.4,401.15,401.15,12222
1786076640,401.35,401.35,401.0,401.1,26270
1786076700,401.1,401.5,401.1,401.5,11787
1786076760,401.5,401.5,401.2,401.2,8014
1786076820,401.25,401.45,401.2,401.2,17809
1786076880,401.2,401.35,401.15,401.15,10620
1786076940,401.1,401.15,401.05,401.15,11666
1786077000,401.15,401.15,401.0,401.0,24014
1786077060,401.1,401.1,400.9,400.9,33992
1786077120,401.0,401.0,400.6,400.6,13719
1786077180,400.5,400.6,400.5,400.6,16797
1786077240,400.5,400.6,400.3,400.3,24695
1786077300,400.2,400.2,400.0,400.1,56345
1786077360,399.7,400.05,399.6,399.8,102394
1786077420,399.8,400.15,399.75,400.0,37344
1786077480,400.1,400.25,400.0,400.2,13282
1786077540,400.2,400.5,400.2,400.4,23952
1786077600,400.35,400.4,400.25,400.25,6379
1786077660,400.2,400.35,400.1,400.15,15716
1786077720,400.15,400.15,399.6,399.9,21148
1786077780,399.8,399.85,399.4,399.65,22223
1786077840,399.65,399.75,399.6,399.6,17016
1786077900,399.7,399.7,399.25,399.4,19738
1786077960,399.4,399.55,399.3,399.5,33315
1786078020,399.45,399.5,399.3,399.45,11361
1786078080,399.5,399.5,399.4,399.45,11664
1786078140,399.4,399.5,399.4,399.5,13473
1786078200,399.35,399.7,399.35,399.7,14674
1786078260,399.75,399.95,399.75,399.95,13053
1786078320,400.05,400.05,399.75,399.75,16792
1786078380,399.75,399.75,399.75,399.75,11369
1786078440,399.7,399.7,399.55,399.6,10921
1786078500,399.7,399.7,399.5,399.5,10628
1786078560,399.45,399.5,399.15,399.25,42051
1786078620,399.25,399.25,398.7,398.85,102526
1786078680,399.0,399.2,398.8,399.1,41526
1786078740,399.1,399.15,398.85,398.95,11263
1786078800,398.9,398.9,398.35,398.5,40106
1786078860,398.55,398.75,398.55,398.75,29995
1786078920,398.7,398.75,398.6,398.7,29378
1786078980,398.7,399.45,398.65,399.2,29774
1786079040,399.25,399.5,399.2,399.45,13571
1786079100,399.45,399.6,399.45,399.45,16189
1786079160,399.45,399.45,399.25,399.35,10791
1786079220,399.35,399.35,399.2,399.3,11203
1786079280,399.3,399.4,399.3,399.4,9081
1786079340,399.4,399.4,399.1,399.15,13150
1786079400,399.15,399.3,399.1,399.25,10389
1786079460,399.25,399.4,399.25,399.3,13987
1786079520,399.4,399.45,399.25,399.4,7678
1786079580,399.4,399.45,399.2,399.4,9573
1786079640,399.4,399.45,399.4,399.45,5638
1786079700,399.45,399.5,399.25,399.25,12269
1786079760,399.4,399.7,399.4,399.65,19746
1786079820,399.65,399.95,399.65,399.9,22118
1786079880,400.0,400.0,399.9,399.9,10953
1786079940,400.0,400.05,399.5,399.8,22753
1786080000,399.75,399.75,399.5,399.5,8171
1786080060,399.3,399.55,399.3,399.5,14818
1786080120,399.5,399.5,399.3,399.3,7005
1786080180,399.4,399.4,399.3,399.35,4173
1786080240,399.3,399.3,399.25,399.3,7683
1786080300,399.25,399.35,399.05,399.05,53289
1786080360,399.25,399.3,399.15,399.15,19392
1786080420,399.3,399.3,399.1,399.1,8784
1786080480,399.0,399.25,399.0,399.1,9380
1786080540,399.05,399.1,398.9,399.0,8663
1786080600,399.0,399.1,398.8,399.1,10282
1786080660,399.2,399.2,399.1,399.15,5627
1786080720,399.0,399.3,399.0,399.25,9646
1786080780,399.3,399.3,399.0,399.0,15494
1786080840,399.1,399.3,399.0,399.15,13271
1786080900,399.15,399.5,399.15,399.5,11031
1786080960,399.55,399.6,399.35,399.35,12327
1786081020,399.25,399.35,399.15,399.35,9252
1786081080,399.35,399.4,399.35,399.4,5681
1786081140,399.4,399.4,399.3,399.35,8734
1786081200,399.35,399.4,399.2,399.35,7414
1786081260,399.4,399.4,399.3,399.4,5955
1786081320,399.4,399.5,399.35,399.5,9220
1786081380,399.35,400.15,399.35,400.15,46901
1786081440,400.1,400.35,400.05,400.35,9290
1786081500,400.35,400.4,400.2,400.25,25177
1786081560,400.35,400.35,400.2,400.3,9032
1786081620,400.25,400.3,400.2,400.3,11137
1786081680,400.3,400.35,400.2,400.2,9590
1786081740,400.15,400.2,400.05,400.1,8584
1786081800,400.1,400.15,400.0,400.0,16344
1786081860,400.1,400.25,400.05,400.25,10954
1786081920,400.3,400.35,400.2,400.3,9351
1786081980,400.3,400.35,400.25,400.25,8140
1786082040,400.35,400.45,400.35,400.4,13659
1786082100,400.4,400.45,400.3,400.3,12488
1786082160,400.4,400.5,400.3,400.45,8025
1786082220,400.45,400.45,400.3,400.4,9349
1786082280,400.4,400.5,400.3,400.4,6983
1786082340,400.5,400.5,400.4,400.45,14167
1786082400,400.35,400.4,400.15,400.3,38815
1786082460,400.4,400.5,400.3,400.45,28166
1786082520,400.45,400.45,400.25,400.45,8093
1786082580,400.5,400.6,400.4,400.45,9386
1786082640,400.35,400.5,400.15,400.3,10082
1786082700,400.3,400.45,400.25,400.3,10940
1786082760,400.3,400.3,400.0,400.15,14431
1786082820,400.15,400.15,400.05,400.1,9995
1786082880,400.0,400.1,400.0,400.1,8664
1786082940,400.1,400.15,400.0,400.1,10226
1786083000,400.05,400.15,399.95,399.95,32983
1786083060,399.95,400.0,399.65,399.65,22543
1786083120,399.45,399.5,399.35,399.45,10163
1786083180,399.45,399.7,399.45,399.45,14276
1786083240,399.5,399.65,399.5,399.6,7097
1786083300,399.6,399.6,399.4,399.45,9614
1786083360,399.55,399.6,399.45,399.6,7279
1786083420,399.45,399.6,399.45,399.5,4904
1786083480,399.6,399.6,399.45,399.6,7243
1786083540,399.55,399.9,399.5,399.9,22603
