time,open,high,low,close,volume
1786074300,2195.0,2222.0,2190.4,2215.2,38887
1786074360,2213.4,2223.9,2213.4,2223.9,3373
1786074420,2222.4,2223.1,2212.9,2214.8,2645
1786074480,2215.3,2219.5,2215.3,2219.5,1119
1786074540,2219.5,2219.5,2215.0,2215.0,1024
1786074600,2214.6,2214.6,2212.0,2212.9,1398
1786074660,2212.7,2217.9,2212.6,2216.7,622
1786074720,2216.7,2217.2,2216.6,2217.2,324
1786074780,2216.4,2219.9,2216.0,2217.9,2080
1786074840,2218.6,2218.8,2217.4,2217.4,267
1786074900,2217.2,2218.4,2215.0,2218.4,644
1786074960,2218.4,2218.9,2217.2,2218.0,770
1786075020,2217.9,2219.8,2216.6,2219.8,1106
1786075080,2219.2,2220.5,2218.5,2220.4,2727
1786075140,2220.6,2222.0,2216.5,2217.5,2146
1786075200,2217.5,2217.7,2217.0,2217.5,595
1786075260,2217.7,2218.5,2217.5,2217.7,442
1786075320,2218.7,2219.8,2218.6,2219.8,1376
1786075380,2218.7,2219.0,2216.5,2216.5,504
1786075440,2217.1,2220.0,2215.7,2217.2,2511
1786075500,2218.7,2219.5,2218.5,2219.3,391
1786075560,2219.2,2219.2,2217.3,2218.7,290
1786075620,2219.2,2220.9,2218.5,2219.6,1987
1786075680,2218.7,2219.4,2216.3,2218.0,918
1786075740,2218.0,2218.0,2217.0,2217.2,152
1786075800,2217.5,2217.7,2217.4,2217.7,306
1786075860,2217.7,2219.5,2217.7,2218.8,759
1786075920,2219.9,2219.9,2218.2,2219.3,433
1786075980,2219.3,2219.5,2218.6,2218.6,306
1786076040,2219.9,2220.7,2219.1,2220.7,710
1786076100,2220.7,2220.8,2217.1,2217.1,2496
1786076160,2217.6,2218.3,2217.1,2217.1,454
1786076220,2216.2,2216.2,2213.0,2213.0,1962
1786076280,2213.4,2213.9,2212.7,2213.9,318
1786076340,2214.0,2214.0,2213.0,2213.0,203
1786076400,2213.9,2213.9,2212.3,2213.6,272
1786076460,2213.3,2215.5,2213.0,2215.5,879
1786076520,2215.6,2215.6,2215.6,2215.6,117
1786076580,2215.6,2215.6,2215.0,2215.6,797
1786076640,2216.6,2217.6,2215.4,2217.6,364
1786076700,2217.0,2217.1,2217.0,2217.1,67
1786076760,2217.6,2217.6,2211.9,2212.2,930
1786076820,2212.4,2213.1,2212.4,2213.0,669
1786076880,2212.3,2215.0,2212.3,2214.0,222
1786076940,2214.8,2217.3,2214.8,2215.8,1507
1786077000,2216.0,2216.0,2215.0,2215.0,689
1786077060,2215.4,2215.7,2208.7,2212.5,1888
1786077120,2211.1,2212.2,2210.0,2210.3,288
1786077180,2210.0,2211.1,2209.4,2211.0,803
1786077240,2210.0,2211.2,2210.0,2211.2,164
1786077300,2212.0,2212.0,2211.2,2211.8,161
1786077360,2211.8,2211.8,2210.2,2210.2,477
1786077420,2210.8,2212.0,2210.8,2212.0,248
1786077480,2212.5,2212.5,2211.4,2212.0,84
1786077540,2212.4,2212.4,2211.4,2211.4,70
1786077600,2212.7,2213.9,2212.4,2213.4,100907
1786077660,2213.4,2213.5,2212.4,2213.3,213
1786077720,2213.3,2213.3,2210.5,2211.8,458
1786077780,2210.8,2212.5,2210.7,2210.7,134
1786077840,2211.1,2211.7,2210.7,2211.7,108
1786077900,2211.7,2211.7,2210.0,2210.6,173
1786077960,2210.8,2211.0,2210.8,2211.0,120
1786078020,2211.1,2211.4,2210.5,2211.1,178
1786078080,2211.1,2212.5,2210.5,2211.2,5048
1786078140,2212.2,2213.1,2212.1,2213.1,26
1786078200,2213.1,2213.1,2213.0,2213.1,269
1786078260,2212.0,2212.8,2212.0,2212.0,531
1786078320,2212.5,2212.8,2212.5,2212.8,98
1786078380,2215.5,2218.8,2215.5,2216.1,2550
1786078440,2217.3,2217.3,2215.7,2217.0,415
1786078500,2216.7,2218.1,2216.7,2218.1,664
1786078560,2218.2,2218.2,2217.5,2217.6,433
1786078620,2217.1,2218.2,2216.4,2216.4,297
1786078680,2217.7,2217.7,2217.7,2217.7,54
1786078740,2217.9,2217.9,2216.8,2217.0,317
1786078800,2216.8,2216.8,2215.8,2216.8,126
1786078860,2216.8,2219.2,2216.8,2219.2,8014
1786078920,2219.7,2220.4,2216.8,2218.0,804
1786078980,2218.0,2222.1,2216.8,2221.4,3054
1786079040,2221.4,2227.0,2221.4,2226.0,7943
1786079100,2226.8,2227.7,2224.2,2226.5,3942
1786079160,2226.5,2226.8,2224.0,2224.9,1532
1786079220,2225.9,2227.0,2225.8,2226.9,655
1786079280,2227.0,2229.0,2225.9,2229.0,1759
1786079340,2229.7,2232.2,2228.9,2231.4,12280
1786079400,2231.3,2231.6,2229.6,2230.1,3897
1786079460,2230.0,2235.0,2230.0,2234.0,6390
1786079520,2234.0,2237.8,2232.0,2237.8,17823
1786079580,2238.0,2242.0,2237.0,2241.3,14881
1786079640,2240.4,2244.0,2240.2,2242.3,11839
1786079700,2242.8,2243.0,2240.0,2242.0,5199
1786079760,2242.0,2250.2,2242.0,2248.0,25978
1786079820,2248.6,2250.0,2247.0,2249.5,4207
1786079880,2249.4,2249.5,2248.0,2248.6,3852
1786079940,2248.3,2249.1,2246.4,2246.4,2135
1786080000,2246.4,2247.0,2245.7,2246.0,3037
1786080060,2246.9,2248.5,2245.0,2247.7,2092
1786080120,2248.4,2253.6,2247.6,2252.8,11985
1786080180,2252.3,2254.9,2252.3,2254.1,4169
1786080240,2254.1,2254.1,2251.4,2251.9,5500
1786080300,2252.2,2252.2,2244.2,2245.6,4734
1786080360,2244.7,2248.8,2243.9,2248.3,2721
1786080420,2248.4,2249.6,2246.1,2247.7,1355
1786080480,2247.3,2247.7,2245.3,2245.8,1231
1786080540,2245.0,2245.3,2242.8,2245.0,6896
1786080600,2245.1,2246.1,2243.0,2243.5,1693
1786080660,2244.0,2244.1,2242.2,2244.1,1262
1786080720,2240.1,2245.0,2239.9,2244.9,9392
1786080780,2242.1,2244.2,2240.0,2240.0,912
1786080840,2240.0,2241.5,2238.3,2240.0,2119
1786080900,2241.0,2241.0,2240.0,2240.5,399
1786080960,2241.0,2241.0,2239.5,2240.1,1693
1786081020,2239.5,2240.9,2239.5,2240.1,726
1786081080,2240.8,2242.4,2239.3,2242.3,1761
1786081140,2242.3,2242.5,2241.0,2242.5,522
1786081200,2242.5,2243.7,2240.0,2240.9,785
1786081260,2241.8,2242.1,2239.9,2241.8,3373
1786081320,2242.0,2242.0,2239.6,2240.1,1761
1786081380,2239.5,2240.8,2239.5,2240.3,1575
1786081440,2240.3,2242.0,2239.6,2242.0,920
1786081500,2242.0,2242.0,2240.9,2241.9,1039
1786081560,2242.0,2242.0,2240.9,2242.0,1346
1786081620,2239.5,2240.0,2238.8,2238.9,2273
1786081680,2240.0,2241.5,2239.5,2241.5,1137
1786081740,2240.7,2241.5,2240.3,2241.2,555
1786081800,2240.5,2241.6,2240.0,2240.6,2871
1786081860,2241.6,2241.7,2240.0,2240.6,896
1786081920,2240.8,2241.9,2240.3,2241.5,704
1786081980,2240.6,2241.8,2240.0,2240.0,608
1786082040,2240.6,2240.6,2235.9,2235.9,1693
1786082100,2236.8,2239.0,2236.0,2237.4,960
1786082160,2237.5,2237.9,2236.8,2237.0,661
1786082220,2238.0,2238.0,2236.8,2237.8,401
1786082280,2237.9,2237.9,2237.0,2237.8,489
1786082340,2237.8,2237.8,2231.2,2231.2,6501
1786082400,2228.9,2231.8,2228.9,2231.8,1000
1786082460,2231.8,2232.6,2231.0,2232.6,853
1786082520,2232.6,2232.6,2226.6,2228.0,6225
