time,open,high,low,close,volume
1786074300,1942.9,1947.9,1938.3,1947.0,124967
1786074360,1946.9,1951.2,1946.9,1950.1,61388
1786074420,1950.0,1952.6,1948.2,1952.3,27324
1786074480,1953.0,1953.0,1951.8,1952.4,27695
1786074540,1953.4,1954.4,1951.4,1953.2,34876
1786074600,1953.4,1953.4,1951.5,1952.8,16028
1786074660,1952.8,1953.0,1951.4,1951.9,17336
1786074720,1951.4,1952.1,1951.3,1952.1,7762
1786074780,1952.1,1953.0,1951.6,1953.0,10374
1786074840,1953.4,1953.4,1951.4,1951.5,8557
1786074900,1951.8,1951.8,1949.2,1949.3,9733
1786074960,1949.9,1950.0,1948.9,1949.0,21053
1786075020,1949.3,1949.9,1949.3,1949.8,3914
1786075080,1949.4,1949.6,1949.0,1949.0,6947
1786075140,1949.1,1951.7,1949.1,1951.0,11805
1786075200,1951.3,1952.0,1950.0,1950.0,8438
1786075260,1950.2,1950.2,1948.3,1948.3,9092
1786075320,1948.3,1949.3,1948.3,1949.3,5458
1786075380,1949.4,1949.4,1947.6,1947.6,6160
1786075440,1947.6,1949.4,1947.6,1949.4,5154
1786075500,1948.7,1949.6,1948.7,1949.6,4879
1786075560,1949.6,1950.0,1949.6,1950.0,4323
1786075620,1949.8,1950.1,1949.8,1950.0,5716
1786075680,1950.0,1950.9,1950.0,1950.8,4205
1786075740,1950.9,1951.5,1950.8,1951.2,7472
1786075800,1951.2,1951.4,1950.8,1951.3,4408
1786075860,1950.5,1950.5,1950.0,1950.0,6261
1786075920,1950.0,1950.1,1948.8,1948.8,5738
1786075980,1948.5,1949.1,1948.2,1948.6,6850
1786076040,1948.6,1949.1,1948.6,1949.0,5350
1786076100,1949.1,1949.1,1948.9,1949.0,5187
1786076160,1949.0,1949.0,1948.0,1948.0,6609
1786076220,1948.0,1948.4,1948.0,1948.4,2508
1786076280,1948.4,1949.8,1948.3,1949.5,11435
1786076340,1949.5,1951.4,1949.4,1951.4,9594
1786076400,1951.1,1952.0,1950.9,1950.9,6612
1786076460,1951.2,1951.2,1950.0,1950.0,3835
1786076520,1950.1,1950.2,1948.0,1948.0,46083
1786076580,1948.6,1948.9,1947.3,1947.4,7372
1786076640,1946.9,1946.9,1946.1,1946.6,15125
1786076700,1947.0,1947.4,1946.7,1947.2,4558
1786076760,1947.3,1947.4,1946.0,1946.0,6133
1786076820,1946.0,1946.8,1946.0,1946.8,4821
1786076880,1946.8,1947.1,1946.8,1947.1,3288
1786076940,1947.1,1947.3,1947.1,1947.2,2493
1786077000,1947.2,1947.2,1947.0,1947.0,3674
1786077060,1947.0,1947.9,1946.5,1946.9,7664
1786077120,1946.9,1947.2,1946.9,1947.2,3543
1786077180,1946.9,1947.1,1946.3,1946.6,4043
1786077240,1948.3,1948.8,1948.0,1948.7,8029
1786077300,1948.7,1948.8,1948.7,1948.7,2206
1786077360,1948.3,1948.4,1948.3,1948.3,8917
1786077420,1948.4,1948.9,1948.3,1948.9,4302
1786077480,1948.7,1948.8,1948.7,1948.7,2016
1786077540,1948.0,1949.0,1948.0,1948.7,4328
1786077600,1949.0,1949.0,1948.8,1948.8,2533
1786077660,1948.8,1948.8,1948.0,1948.0,3659
1786077720,1948.0,1948.4,1948.0,1948.2,2216
1786077780,1948.0,1948.2,1948.0,1948.2,1063
