time,open,high,low,close,volume
1786074300,408.5,412.4,406.95,411.9,210657
1786074360,411.8,412.1,410.5,410.6,40178
1786074420,411.0,413.25,410.85,411.7,97728
1786074480,411.35,411.65,411.15,411.5,17303
1786074540,411.5,411.8,411.45,411.45,17153
1786074600,411.7,412.35,411.3,411.45,40988
1786074660,411.65,412.5,411.45,412.45,39329
1786074720,412.2,412.2,411.9,412.0,10981
1786074780,412.2,412.2,410.6,410.65,26984
1786074840,410.85,411.2,410.6,411.0,29600
1786074900,411.4,411.8,411.15,411.3,23649
1786074960,411.0,411.0,410.55,410.8,27283
1786075020,410.75,411.25,410.55,411.2,8115
1786075080,411.2,411.2,410.55,410.55,4108
1786075140,410.65,410.95,410.6,410.9,3986
1786075200,410.65,411.2,410.65,411.1,10638
1786075260,411.2,411.3,410.7,410.7,10652
1786075320,410.8,412.15,410.8,412.05,36702
1786075380,412.05,412.05,411.7,411.7,16017
1786075440,411.7,412.05,411.7,411.95,12041
1786075500,411.95,412.2,411.9,412.2,16295
1786075560,412.2,413.3,412.15,413.15,52059
1786075620,413.2,413.2,412.8,412.8,19659
1786075680,412.9,412.95,412.5,412.95,27720
1786075740,412.75,412.9,412.4,412.45,11520
1786075800,412.2,413.7,412.15,413.6,95117
1786075860,413.6,414.9,413.55,414.8,199001
1786075920,414.6,416.25,414.5,415.6,186942
1786075980,415.5,416.45,415.0,416.25,102979
1786076040,416.5,416.5,415.75,416.05,161503
1786076100,416.05,416.15,415.65,415.65,70512
1786076160,415.8,415.9,415.4,415.5,29717
1786076220,415.5,416.8,415.1,415.9,226792
1786076280,415.85,415.85,414.65,415.4,65548
1786076340,415.3,415.4,415.1,415.25,17858
1786076400,415.2,415.2,414.6,414.7,33451
1786076460,414.75,416.15,414.7,416.1,73077
1786076520,416.0,416.1,415.5,415.6,22669
1786076580,415.55,415.55,415.3,415.3,11567
1786076640,415.4,415.4,415.2,415.3,19973
1786076700,415.15,416.0,415.15,416.0,39614
1786076760,416.0,416.0,415.35,415.35,9714
1786076820,415.35,415.75,415.3,415.3,10802
1786076880,415.2,415.2,414.9,415.2,29588
1786076940,415.35,415.35,415.2,415.2,10043
1786077000,415.25,415.25,415.0,415.0,7205
1786077060,415.0,415.15,414.9,415.15,20759
1786077120,415.1,415.1,414.9,414.9,7335
1786077180,414.95,414.95,414.85,414.95,9061
1786077240,414.95,414.95,414.85,414.9,4598
1786077300,414.9,415.15,414.9,415.0,25631
1786077360,415.15,415.15,414.5,414.5,36465
1786077420,414.55,414.9,414.55,414.9,26800
1786077480,414.8,414.9,414.5,414.5,16319
1786077540,414.5,414.9,414.35,414.9,25297
1786077600,414.95,415.0,414.65,414.9,10897
1786077660,414.8,414.9,414.65,414.75,10009
1786077720,414.7,414.8,414.55,414.55,5896
1786077780,414.55,414.6,414.4,414.4,7940
1786077840,414.5,414.85,414.5,414.7,7156
1786077900,414.7,414.8,414.65,414.7,16732
1786077960,414.8,414.85,414.7,414.8,8510
1786078020,414.8,414.9,414.8,414.9,4765
1786078080,414.9,414.9,414.4,414.4,27873
1786078140,414.2,415.0,414.2,414.85,41845
1786078200,414.95,414.95,414.65,414.85,5707
1786078260,414.8,414.95,414.65,414.95,5190
1786078320,414.95,415.05,414.9,414.95,13695
1786078380,414.9,415.15,414.9,415.1,11813
1786078440,415.1,415.1,414.6,414.8,15391
1786078500,415.1,415.25,415.0,415.1,14299
1786078560,415.2,415.2,414.95,415.0,3938
1786078620,415.0,415.0,414.8,414.8,12206
1786078680,414.9,414.9,414.8,414.9,3531
1786078740,414.9,414.95,414.65,414.95,13166
1786078800,414.95,414.95,414.75,414.75,2718
1786078860,414.95,415.0,414.85,414.95,2492
1786078920,414.95,414.95,414.8,414.9,8611
1786078980,415.0,415.6,414.95,415.55,41684
1786079040,415.6,416.4,415.5,416.4,51295
1786079100,416.5,416.5,415.95,415.95,21877
1786079160,415.95,416.1,415.8,415.95,14902
1786079220,415.95,416.25,415.95,416.1,14386
1786079280,416.0,416.5,416.0,416.4,46144
1786079340,416.4,416.5,416.0,416.2,34027
1786079400,416.35,416.45,416.15,416.4,18011
1786079460,416.45,416.45,416.3,416.4,7226
1786079520,416.4,416.5,416.2,416.5,19783
1786079580,416.5,416.5,416.4,416.45,6634
1786079640,416.5,416.5,416.4,416.4,15962
1786079700,416.45,416.5,416.45,416.5,13133
1786079760,416.45,417.7,416.45,417.7,204531
1786079820,417.75,418.0,417.5,417.85,69698
1786079880,417.75,418.5,417.75,418.45,195420
1786079940,418.35,418.7,418.35,418.6,69028
1786080000,418.6,418.6,417.65,417.8,59224
