time,open,high,low,close,volume
1786074300,1547.0,1556.1,1543.5,1556.1,78139
1786074360,1556.1,1575.0,1556.1,1574.9,22350
1786074420,1578.2,1581.5,1571.6,1577.5,26319
1786074480,1577.8,1578.7,1571.2,1578.0,9359
1786074540,1576.2,1587.7,1576.2,1584.5,9690
1786074600,1584.0,1590.8,1584.0,1588.9,11263
1786074660,1588.4,1593.0,1588.0,1588.6,10995
1786074720,1588.7,1595.0,1586.2,1591.8,9600
1786074780,1593.4,1593.4,1579.8,1580.9,16797
1786074840,1581.9,1582.8,1576.1,1576.5,7766
1786074900,1576.5,1577.0,1566.0,1570.0,45163
1786074960,1570.0,1579.1,1567.7,1569.4,47985
1786075020,1569.5,1569.5,1558.1,1562.2,13190
1786075080,1561.9,1563.1,1549.7,1550.0,65677
1786075140,1550.0,1566.4,1550.0,1565.0,67243
1786075200,1565.8,1566.6,1562.3,1566.6,4396
1786075260,1566.0,1577.4,1566.0,1575.1,8093
1786075320,1575.3,1575.3,1569.9,1573.3,4778
1786075380,1573.4,1574.7,1570.4,1571.4,1823
1786075440,1571.2,1571.2,1556.8,1557.7,9007
1786075500,1557.8,1567.5,1557.8,1565.9,6393
1786075560,1565.9,1567.1,1561.6,1563.7,2032
1786075620,1564.2,1565.9,1557.7,1558.2,6936
1786075680,1559.0,1560.5,1557.9,1559.3,3353
1786075740,1559.5,1559.5,1552.7,1553.0,7051
1786075800,1552.5,1554.0,1550.9,1551.7,6981
1786075860,1548.0,1554.5,1548.0,1554.0,7847
1786075920,1553.9,1554.5,1540.9,1544.9,17822
1786075980,1545.6,1550.0,1543.7,1543.9,14264
1786076040,1543.3,1544.9,1542.1,1542.2,10091
1786076100,1543.3,1544.2,1537.5,1539.2,21691
1786076160,1539.4,1539.7,1536.0,1537.9,10004
1786076220,1537.9,1538.6,1531.1,1534.6,39328
1786076280,1534.8,1535.1,1520.0,1532.4,56506
1786076340,1531.5,1533.6,1531.2,1532.5,6699
1786076400,1531.2,1532.6,1528.3,1528.9,4374
1786076460,1529.5,1531.8,1529.0,1531.2,6158
1786076520,1531.6,1531.8,1527.0,1527.0,8410
1786076580,1526.3,1529.5,1526.2,1529.5,3874
1786076640,1530.0,1531.7,1527.0,1528.8,4391
1786076700,1528.9,1532.4,1528.9,1531.8,4300
1786076760,1530.6,1533.4,1527.0,1527.6,26756
1786076820,1527.7,1529.6,1527.0,1528.0,3560
1786076880,1528.0,1533.5,1528.0,1532.0,6724
1786076940,1532.9,1534.7,1531.8,1531.8,5062
1786077000,1532.7,1547.7,1531.8,1546.4,13412
1786077060,1545.4,1546.8,1539.3,1543.5,5555
1786077120,1543.4,1544.4,1541.3,1541.6,1448
1786077180,1542.0,1543.5,1540.5,1541.9,1137
1786077240,1542.5,1547.0,1541.1,1543.6,5214
1786077300,1541.8,1544.1,1541.5,1543.9,3284
1786077360,1542.8,1544.6,1542.5,1543.3,951
1786077420,1545.8,1546.1,1544.6,1544.8,2146
1786077480,1544.8,1544.8,1543.0,1543.9,603
1786077540,1543.8,1544.6,1542.1,1543.7,2570
1786077600,1542.0,1542.9,1541.0,1541.9,1369
1786077660,1541.9,1542.0,1540.4,1540.9,364
1786077720,1540.2,1540.9,1537.1,1538.0,3254
1786077780,1537.3,1538.5,1536.9,1537.0,1877
1786077840,1536.8,1537.5,1533.7,1535.0,8299
1786077900,1534.8,1534.9,1530.6,1530.6,2476
1786077960,1530.6,1532.4,1530.1,1532.2,4430
1786078020,1531.9,1531.9,1525.3,1525.6,15328
1786078080,1526.4,1527.4,1524.8,1526.0,8038
1786078140,1526.0,1527.3,1524.8,1527.0,14843
1786078200,1527.1,1532.9,1527.1,1532.2,3952
1786078260,1532.3,1533.5,1531.6,1533.3,3806
1786078320,1534.0,1534.0,1532.3,1533.7,677
1786078380,1531.6,1532.7,1529.2,1529.2,2835
1786078440,1529.6,1531.9,1529.1,1531.8,1004
1786078500,1531.9,1532.4,1530.0,1531.1,3126
1786078560,1530.7,1532.9,1530.3,1531.2,3278
1786078620,1531.3,1531.5,1528.0,1531.0,10640
1786078680,1531.2,1531.2,1526.2,1527.3,1715
1786078740,1525.9,1526.7,1524.0,1525.0,14788
1786078800,1525.0,1525.0,1522.0,1524.9,7936
1786078860,1524.3,1524.9,1522.5,1523.9,6532
1786078920,1523.9,1524.3,1522.0,1523.5,8248
1786078980,1523.5,1529.2,1522.0,1529.2,9535
1786079040,1527.2,1527.2,1522.1,1523.9,9219
1786079100,1523.9,1525.0,1522.1,1522.1,3014
1786079160,1523.1,1525.8,1521.1,1524.8,4208
1786079220,1524.8,1528.1,1524.5,1525.4,2583
1786079280,1524.9,1525.9,1523.5,1525.4,1579
1786079340,1525.4,1525.4,1523.2,1524.6,982
1786079400,1524.6,1524.7,1523.1,1523.9,1618
1786079460,1523.9,1524.6,1523.2,1524.1,2642
1786079520,1523.5,1525.9,1520.7,1524.7,8529
1786079580,1526.0,1526.0,1523.1,1524.0,3281
1786079640,1525.0,1525.9,1524.1,1525.4,859
1786079700,1525.4,1527.6,1523.9,1527.1,4603
1786079760,1527.1,1527.8,1526.7,1527.5,1768
1786079820,1527.4,1528.0,1525.6,1527.0,2580
1786079880,1527.4,1528.0,1526.1,1526.5,1432
1786079940,1525.5,1526.8,1524.2,1525.4,3133
1786080000,1525.6,1525.7,1523.1,1523.1,736
1786080060,1523.5,1525.0,1523.5,1525.0,2123
1786080120,1524.6,1533.0,1524.6,1532.0,22003
1786080180,1531.7,1532.2,1529.6,1530.0,3642
1786080240,1529.2,1530.6,1527.9,1530.6,1142
1786080300,1529.1,1535.0,1529.1,1535.0,5803
1786080360,1532.8,1533.5,1532.0,1533.3,5289
1786080420,1534.0,1534.9,1532.4,1533.8,2328
1786080480,1533.3,1534.5,1532.9,1533.9,933
1786080540,1533.9,1534.7,1532.5,1533.0,1916
1786080600,1534.6,1534.6,1532.0,1534.3,3693
1786080660,1534.6,1535.7,1532.3,1533.8,7580
1786080720,1533.8,1534.4,1532.9,1533.8,2445
1786080780,1534.0,1534.0,1532.0,1532.9,4617
1786080840,1532.9,1532.9,1532.0,1532.0,2598
1786080900,1532.0,1533.4,1532.0,1532.9,9633
1786080960,1532.2,1533.5,1532.0,1532.0,4354
1786081020,1532.0,1533.0,1532.0,1532.0,3084
1786081080,1532.0,1532.9,1528.1,1528.4,4851
1786081140,1528.0,1528.2,1526.0,1526.7,11383
1786081200,1527.2,1529.5,1526.3,1527.1,745
1786081260,1526.6,1527.5,1525.0,1526.0,1993
1786081320,1526.0,1526.1,1520.0,1520.9,19711
1786081380,1521.0,1521.5,1516.9,1517.9,18807
1786081440,1516.9,1519.0,1516.0,1517.7,7416
1786081500,1517.7,1519.0,1516.2,1517.4,6668
1786081560,1517.0,1517.6,1513.2,1516.3,19692
1786081620,1516.3,1516.7,1515.0,1516.1,8665
1786081680,1515.5,1516.2,1512.5,1512.5,4451
1786081740,1513.7,1516.1,1510.0,1515.5,28399
1786081800,1514.8,1514.8,1511.0,1512.0,5064
1786081860,1512.0,1513.5,1511.5,1513.2,4296
1786081920,1512.9,1514.3,1512.3,1513.0,2811
1786081980,1513.4,1514.2,1512.8,1514.0,1427
1786082040,1514.0,1514.4,1513.3,1514.4,4472
1786082100,1514.4,1517.6,1514.0,1514.5,9526
1786082160,1514.5,1519.0,1513.6,1516.8,2528
1786082220,1515.8,1518.3,1515.4,1516.1,1281
1786082280,1516.4,1517.6,1516.0,1516.0,2737
1786082340,1516.7,1518.0,1515.0,1516.4,3777
1786082400,1516.4,1519.0,1516.0,1519.0,2876
1786082460,1519.0,1520.1,1514.0,1520.1,10262
1786082520,1522.4,1527.1,1520.0,1525.6,15080
1786082580,1525.5,1529.8,1521.5,1528.2,17894
1786082640,1529.1,1529.3,1526.0,1529.0,7609
1786082700,1529.0,1529.5,1526.5,1527.0,6528
1786082760,1527.8,1529.0,1525.7,1529.0,4180
1786082820,1528.0,1528.9,1527.0,1527.4,3949
1786082880,1527.4,1528.8,1527.4,1528.2,2219
1786082940,1529.2,1529.2,1520.3,1524.6,5903
1786083000,1523.2,1525.4,1521.8,1524.1,3285
1786083060,1524.1,1525.3,1520.2,1520.2,5844
1786083120,1519.8,1519.8,1514.0,1514.3,11523
1786083180,1512.7,1515.7,1512.7,1512.8,8061
1786083240,1513.3,1513.3,1507.3,1508.3,37846
1786083300,1508.2,1510.4,1507.0,1508.6,9509
1786083360,1508.0,1510.2,1508.0,1509.2,4422
1786083420,1510.4,1511.0,1508.5,1509.9,6153
1786083480,1510.4,1510.4,1506.2,1506.4,11927
1786083540,1507.3,1507.7,1506.1,1506.5,5060
1786083600,1506.5,1508.0,1506.0,1506.9,7409
1786083660,1506.8,1507.0,1501.0,1501.8,22998
1786083720,1501.8,1503.0,1501.6,1502.5,6252
1786083780,1502.9,1503.2,1500.6,1501.8,20348
1786083840,1501.1,1501.8,1497.4,1498.9,34583
1786083900,1498.9,1500.6,1498.2,1499.7,12869
1786083960,1499.9,1502.0,1499.2,1502.0,5215
1786084020,1501.5,1502.4,1499.2,1500.0,9073
1786084080,1500.0,1502.2,1497.0,1502.0,17511
1786084140,1501.6,1507.6,1501.6,1507.0,14801
1786084200,1506.9,1507.7,1501.2,1502.4,17514
1786084260,1502.7,1504.5,1502.7,1504.0,1657
1786084320,1503.9,1503.9,1499.5,1501.2,14084
1786084380,1501.2,1503.2,1500.1,1501.0,8797
