time,open,high,low,close,volume
1786074300,322.1,323.55,320.6,322.0,217837
1786074360,322.7,322.7,321.6,321.6,16181
1786074420,322.15,322.15,321.8,321.8,22188
1786074480,321.65,321.95,321.65,321.95,20404
1786074540,321.9,322.1,321.7,321.95,49861
1786074600,322.05,322.05,321.4,321.75,69342
1786074660,321.8,321.8,321.45,321.45,30860
1786074720,321.5,322.0,321.45,321.75,71453
1786074780,321.9,322.15,321.8,322.1,24190
1786074840,322.1,322.25,321.8,322.25,43324
1786074900,322.3,322.3,322.05,322.1,14171
1786074960,322.1,322.45,322.1,322.15,23149
1786075020,322.1,322.15,321.95,322.1,21660
1786075080,322.0,322.1,321.85,321.85,16861
1786075140,321.85,322.0,321.75,321.8,2728
1786075200,321.7,321.85,321.55,321.6,20550
1786075260,321.65,321.75,321.6,321.7,9610
1786075320,321.55,321.85,321.55,321.85,13481
1786075380,321.85,321.85,321.6,321.6,4887
1786075440,321.55,321.65,321.55,321.55,6899
1786075500,321.55,321.55,321.35,321.55,13173
1786075560,321.55,321.55,321.15,321.25,27077
1786075620,321.3,321.3,321.1,321.1,10154
1786075680,321.1,321.2,321.1,321.2,10856
1786075740,321.2,321.2,321.1,321.1,3438
1786075800,321.1,321.35,321.0,321.35,22180
1786075860,321.2,321.3,321.1,321.25,3009
1786075920,321.1,321.55,321.1,321.5,22120
1786075980,321.5,321.5,321.4,321.4,6935
1786076040,321.45,321.65,321.45,321.6,9785
1786076100,321.6,321.65,321.5,321.6,12134
1786076160,321.45,321.55,321.2,321.2,9979
1786076220,321.35,321.35,321.15,321.3,9503
1786076280,321.1,321.25,321.1,321.2,5976
1786076340,321.1,321.5,321.1,321.5,20343
1786076400,321.45,321.65,321.45,321.45,7649
1786076460,321.45,321.5,321.45,321.5,3610
1786076520,321.5,321.6,321.5,321.5,3573
1786076580,321.5,321.6,321.45,321.6,17216
1786076640,321.6,321.6,321.45,321.6,2410
1786076700,321.45,321.6,321.45,321.6,4982
1786076760,321.5,321.6,321.45,321.45,4655
1786076820,321.5,321.55,321.3,321.3,8431
1786076880,321.35,321.55,321.25,321.55,14038
1786076940,321.45,321.65,321.45,321.65,8380
1786077000,321.6,321.7,321.6,321.65,6582
1786077060,321.75,321.85,321.5,321.6,29799
1786077120,321.6,321.65,321.6,321.6,8052
1786077180,321.6,321.8,321.6,321.8,4079
1786077240,321.9,321.9,321.7,321.7,8080
1786077300,321.75,321.9,321.75,321.85,7660
1786077360,321.8,321.8,321.8,321.8,2320
1786077420,321.85,322.05,321.85,322.0,11869
1786077480,322.0,322.05,321.9,321.9,605
1786077540,321.75,321.75,321.5,321.5,27274
1786077600,321.5,321.55,321.5,321.5,1584
1786077660,321.5,321.5,321.45,321.45,5290
1786077720,321.5,321.5,321.45,321.5,2859
1786077780,321.5,321.5,321.2,321.2,19685
1786077840,321.2,321.35,321.15,321.35,18160
1786077900,321.15,321.3,321.15,321.3,884
1786077960,321.3,321.3,321.15,321.15,2741
1786078020,321.15,321.25,321.15,321.2,5446
1786078080,321.15,321.15,320.1,320.2,101085
1786078140,320.15,320.3,320.1,320.2,11842
1786078200,320.05,320.3,320.05,320.2,18075
1786078260,320.3,321.05,320.25,321.05,29254
1786078320,321.0,321.25,321.0,321.25,4929
1786078380,321.2,321.3,321.2,321.2,9175
1786078440,320.9,320.9,320.85,320.85,8110
1786078500,321.0,321.0,320.85,320.85,2877
1786078560,320.85,321.15,320.8,321.15,15152
1786078620,321.1,321.1,320.9,321.05,3719
1786078680,321.05,321.05,320.8,320.8,2032
1786078740,320.85,320.95,320.85,320.9,12400
1786078800,321.0,321.05,320.9,320.9,6054
1786078860,320.95,321.05,320.9,320.9,1129
1786078920,321.05,321.05,320.9,320.95,6888
1786078980,320.9,321.3,320.9,321.3,15915
1786079040,321.15,321.3,321.15,321.25,10226
1786079100,321.3,321.3,321.15,321.3,4355
1786079160,321.25,321.3,321.2,321.2,2044
1786079220,321.25,321.25,321.15,321.15,4644
1786079280,321.15,321.2,321.15,321.2,5654
1786079340,321.15,321.2,321.15,321.15,2499
1786079400,321.15,321.25,321.15,321.2,9361
1786079460,321.2,321.45,321.2,321.25,7880
1786079520,321.2,321.45,321.15,321.45,10529
1786079580,321.35,321.45,321.15,321.15,6460
1786079640,321.25,321.25,321.1,321.2,8345
1786079700,321.1,321.2,321.1,321.15,6095
1786079760,321.1,321.35,321.1,321.35,11919
1786079820,321.35,321.4,321.25,321.4,5475
1786079880,321.35,321.65,321.35,321.65,9520
1786079940,321.6,321.65,321.4,321.5,6822
1786080000,322.2,322.8,322.2,322.55,250166
1786080060,322.65,322.95,322.25,322.95,43767
1786080120,323.0,323.05,322.9,323.0,67562
1786080180,323.0,323.05,322.95,323.0,38643
1786080240,323.0,323.0,322.65,322.65,72701
1786080300,322.5,323.0,322.25,323.0,69058
1786080360,323.0,323.05,322.75,323.0,46398
