time,open,high,low,close,volume
1786074300,569.7,579.8,568.35,578.75,4834
1786074360,580.95,584.8,579.85,584.8,18136
1786074420,585.45,585.75,583.6,585.45,22947
1786074480,584.65,584.65,579.15,579.65,14169
1786074540,580.0,581.2,580.0,580.0,3846
1786074600,579.85,580.15,579.3,580.0,6582
1786074660,580.05,584.55,580.05,584.55,3740
1786074720,585.8,585.8,582.0,582.4,8863
1786074780,582.9,583.4,582.75,582.9,4223
1786074840,581.95,582.7,581.95,582.05,2568
1786074900,582.15,582.3,581.6,582.3,3525
1786074960,581.9,581.9,580.65,580.65,1999
1786075020,580.8,581.3,580.8,581.2,1051
1786075080,581.65,581.7,580.95,580.95,690
1786075140,581.0,581.0,580.0,580.85,4921
1786075200,580.8,581.25,580.2,580.7,503
1786075260,580.7,580.75,580.1,580.1,474
1786075320,580.05,581.2,580.05,581.2,2185
1786075380,580.7,580.75,580.15,580.75,235
1786075440,580.25,580.8,580.05,580.05,617
1786075500,580.7,581.1,580.45,581.1,724
1786075560,580.55,581.05,580.4,580.6,150
1786075620,581.05,581.05,580.15,580.85,2366
1786075680,580.6,580.75,580.25,580.75,199
1786075740,580.75,580.75,580.1,580.45,78
1786075800,580.45,580.5,579.45,580.5,159
1786075860,580.7,580.7,580.0,580.0,281
1786075920,580.0,580.3,579.85,580.05,649
1786075980,580.6,580.75,580.0,580.2,199
1786076040,580.15,580.65,580.15,580.15,297
1786076100,580.45,581.2,580.15,580.2,1032
1786076160,580.75,580.75,579.85,580.35,1047
1786076220,580.0,580.2,578.95,578.95,1997
1786076280,579.35,580.15,579.05,580.0,1000
1786076340,579.95,579.95,579.8,579.8,187
1786076400,579.85,579.85,579.15,579.3,333
1786076460,579.3,579.75,578.7,579.75,644
1786076520,579.75,579.75,579.05,579.05,183
1786076580,579.35,579.5,578.95,579.4,1110
1786076640,579.6,580.25,579.6,580.25,2050
1786076700,580.8,581.15,580.4,581.15,1005
1786076760,581.6,582.0,580.3,581.15,2811
1786076820,581.0,581.6,581.0,581.15,542
1786076880,581.6,581.6,581.15,581.15,36
1786076940,581.15,581.45,581.15,581.45,14
1786077000,581.15,581.15,579.1,579.1,5248
1786077060,579.9,580.8,579.65,580.35,1069
1786077120,579.75,580.4,579.75,579.95,1391
1786077180,579.85,579.85,579.1,579.8,265
1786077240,579.8,579.9,579.8,579.9,3
1786077300,579.65,579.65,579.65,579.65,25
1786077360,579.55,579.9,579.45,579.5,283
1786077420,579.15,579.5,579.15,579.5,670
1786077480,579.5,579.5,579.5,579.5,283
1786077540,577.55,578.5,577.55,578.5,4313
1786077600,578.45,578.75,577.5,577.5,859
1786077660,577.85,577.9,576.95,577.7,1674
1786077720,577.7,577.8,577.2,577.2,274
1786077780,577.7,577.7,577.0,577.05,1586
1786077840,577.2,577.2,576.65,577.15,20
1786077900,576.6,577.1,576.5,576.5,859
1786077960,576.85,576.85,576.15,576.75,567
1786078020,576.75,576.8,576.75,576.8,5
1786078080,576.55,576.85,576.0,576.5,265
1786078140,576.5,576.7,576.45,576.55,245
1786078200,576.15,576.85,576.1,576.4,48
1786078260,576.85,576.85,576.3,576.85,187
1786078320,576.65,577.0,576.65,576.95,22
1786078380,577.0,577.0,575.65,576.25,2057
1786078440,576.45,576.45,575.45,575.5,1481
1786078500,575.55,575.6,574.55,575.4,1217
1786078560,575.35,575.5,574.95,575.4,110
1786078620,575.25,575.25,575.0,575.0,143
1786078680,575.0,575.0,574.25,574.25,103
1786078740,574.5,574.5,574.2,574.5,77
1786078800,574.2,574.45,573.4,573.4,792
1786078860,574.05,574.2,573.95,574.2,362
1786078920,574.2,574.2,574.2,574.2,33
1786078980,574.2,574.2,574.2,574.2,97
1786079040,574.2,575.15,574.15,574.15,2684
1786079100,574.85,574.95,574.25,574.8,565
1786079160,574.75,574.75,574.45,574.45,131
1786079220,574.45,574.45,573.9,573.9,169
1786079280,573.85,573.85,573.35,573.75,17
1786079340,573.7,574.1,573.7,574.05,102
1786079400,574.0,574.0,573.35,573.9,134
1786079460,574.0,574.0,573.85,573.85,43
1786079520,573.85,573.95,573.8,573.9,123
1786079640,574.0,574.95,573.65,574.45,4184
1786079700,574.45,574.5,574.0,574.5,643
1786079760,574.5,574.5,574.15,574.4,594
1786079820,574.45,574.5,573.95,573.95,691
1786079880,574.5,574.5,574.0,574.4,121
1786079940,574.4,574.45,573.8,574.4,287
1786080000,574.25,574.35,573.85,574.0,1907
1786080060,574.0,574.0,573.85,573.85,24
1786080120,573.9,574.0,573.8,574.0,359
1786080180,574.0,574.0,573.6,574.0,13
1786080240,574.0,574.2,574.0,574.2,651
1786080360,574.0,574.15,573.85,573.9,172
1786080420,573.9,574.0,573.9,574.0,105
1786080480,574.0,574.0,574.0,574.0,12
1786080540,574.0,574.0,574.0,574.0,870
1786080600,574.0,574.0,574.0,574.0,518
1786080660,574.05,574.05,573.6,573.6,186
1786080720,573.75,573.85,573.2,573.85,1929
1786080780,574.0,574.0,573.35,573.8,291
1786080840,573.8,573.8,573.8,573.8,6
1786080900,573.8,573.8,573.35,573.75,23
1786080960,573.65,573.7,573.65,573.7,111
1786081020,573.2,573.85,573.2,573.85,1196
1786081080,574.7,574.7,573.7,573.75,2628
1786081140,573.85,573.85,573.85,573.85,161
1786081200,573.8,573.85,573.05,573.75,1624
1786081260,573.7,573.7,573.7,573.7,12
1786081380,573.2,573.2,573.2,573.2,45
1786081440,573.2,573.7,573.15,573.15,221
1786081500,573.55,573.55,573.55,573.55,1
1786081560,573.55,573.55,573.0,573.5,32
1786081620,573.5,573.5,573.5,573.5,18
1786081680,573.5,573.55,573.0,573.5,123
1786081740,573.55,573.85,572.95,573.75,81
1786081800,573.75,573.9,573.75,573.9,235
1786081860,573.85,573.9,573.8,573.85,201
1786081920,573.85,573.85,573.45,573.45,146
1786081980,573.55,573.75,573.0,573.75,239
1786082040,573.75,573.75,573.7,573.75,10
1786082100,573.7,573.9,573.7,573.85,250
1786082160,573.95,574.0,573.6,574.0,45
1786082220,573.65,573.95,573.65,573.95,31
1786082280,573.95,573.95,573.95,573.95,235
1786082340,573.95,573.95,573.95,573.95,187
1786082400,573.95,573.95,573.95,573.95,12
1786082460,573.95,573.95,573.95,573.95,3
1786082520,573.9,574.0,573.9,573.95,168
1786082580,574.0,574.0,574.0,574.0,30
1786082640,574.0,574.0,573.95,573.95,22
1786082700,573.95,574.1,573.95,574.1,1272
1786082760,574.1,574.1,574.1,574.1,130
1786082820,573.85,574.0,573.85,574.0,81
1786082880,573.95,574.0,573.65,573.65,55
1786083000,573.65,574.0,573.2,573.2,255
1786083060,573.55,573.7,573.1,573.1,66
1786083120,573.55,573.85,573.55,573.85,168
1786083180,573.7,573.7,573.5,573.5,138
1786083240,573.5,573.85,573.0,573.85,915
1786083300,573.9,573.9,573.4,573.8,425
1786083360,573.8,573.85,573.8,573.85,5
1786083420,573.8,573.8,573.15,573.6,180
1786083480,573.6,573.6,573.5,573.5,5
1786083540,573.5,573.5,573.4,573.45,143
1786083600,573.5,573.55,573.05,573.5,99
1786083660,573.45,573.45,573.45,573.45,2
1786083720,573.0,573.0,573.0,573.0,125
1786083780,573.45,573.45,573.35,573.45,84
1786083900,573.4,573.75,573.4,573.75,442
1786083960,573.8,573.85,573.7,573.7,162
1786084020,573.6,573.75,573.6,573.65,301
1786084080,573.65,573.65,573.0,573.0,106
1786084140,573.3,573.4,573.3,573.4,28
1786084200,573.4,573.65,573.35,573.5,340
1786084260,573.6,573.65,573.6,573.65,38
1786084320,573.4,573.4,573.4,573.4,239
1786084380,573.35,573.35,572.85,572.85,18
1786084440,573.15,573.15,573.15,573.15,42
1786084500,572.65,573.15,572.45,572.85,80
1786084560,572.85,572.9,572.85,572.9,4
1786084620,572.85,572.85,572.85,572.85,7
1786084680,573.25,573.55,573.25,573.5,1465
1786084740,573.45,573.5,573.4,573.45,112
1786084800,573.5,573.5,573.45,573.45,5
1786084860,573.45,573.45,573.05,573.45,155
1786084920,573.45,574.0,573.45,573.85,1812
1786084980,573.8,573.85,573.8,573.8,13
1786085040,573.8,573.8,573.2,573.65,70
1786085100,573.65,573.65,573.65,573.65,11
1786085160,573.65,573.65,572.9,573.5,302
1786085220,573.55,573.55,573.1,573.5,12
1786085280,573.0,573.45,573.0,573.45,23
1786085340,573.4,573.5,573.4,573.45,58
1786085400,573.5,573.5,573.5,573.5,1
1786085460,573.1,573.5,573.1,573.5,3
1786085520,573.55,573.85,573.25,573.85,198
1786085580,573.8,573.85,573.4,573.8,148
1786085640,573.85,574.0,573.3,574.0,219
1786085700,574.0,574.0,574.0,574.0,3
1786085760,574.0,574.1,574.0,574.1,583
1786085880,574.1,574.1,574.1,574.1,4
1786085940,574.0,574.05,573.9,574.0,297
1786086000,574.0,574.0,574.0,574.0,3
1786086060,574.0,574.0,574.0,574.0,2
1786086180,573.55,573.85,573.55,573.85,4
1786086240,573.55,573.95,573.55,573.85,296
1786086300,573.85,573.85,573.3,573.65,136
1786086360,573.65,574.0,573.65,573.85,63
1786086420,573.85,573.85,573.85,573.85,312
1786086480,573.85,573.85,573.85,573.85,20
1786086540,573.5,573.8,573.5,573.8,14
