time,open,high,low,close,volume
1786074300,5609.5,5609.5,5520.5,5602.5,70792
1786074360,5601.5,5645.0,5601.5,5634.0,48682
1786074420,5632.0,5640.5,5617.0,5625.0,30272
1786074480,5622.5,5649.0,5622.0,5642.5,39137
1786074540,5643.0,5650.0,5633.5,5646.0,38686
1786074600,5646.5,5655.0,5642.5,5643.5,23275
1786074660,5641.5,5643.5,5606.0,5614.5,21698
1786074720,5611.5,5615.0,5593.0,5601.5,15792
1786074780,5605.0,5645.0,5601.0,5643.5,24975
1786074840,5642.5,5643.0,5633.5,5634.0,7398
1786074900,5634.5,5635.0,5609.0,5610.0,17152
1786074960,5610.0,5616.5,5606.0,5616.5,13648
1786075020,5619.0,5637.5,5612.0,5637.5,13954
1786075080,5635.0,5645.0,5631.5,5639.0,11628
1786075140,5636.0,5637.5,5626.0,5637.5,8209
1786075200,5637.0,5648.5,5625.5,5626.0,14569
1786075260,5627.0,5630.0,5622.5,5624.5,7505
1786075320,5625.0,5625.0,5620.0,5620.0,5304
1786075380,5621.0,5625.0,5621.0,5622.5,5850
1786075440,5626.5,5636.5,5626.0,5626.5,7946
1786075500,5626.5,5638.0,5624.5,5635.0,6946
1786075560,5638.0,5638.0,5631.5,5636.0,2932
1786075620,5632.5,5632.5,5627.0,5627.0,4036
1786075680,5629.0,5630.5,5627.0,5630.0,2437
1786075740,5630.0,5634.0,5630.0,5634.0,2016
1786075800,5631.5,5637.5,5631.5,5635.5,4967
1786075860,5632.5,5632.5,5624.5,5626.0,10892
1786075920,5625.5,5627.0,5621.5,5625.0,3136
1786075980,5627.5,5638.0,5627.5,5638.0,4624
1786076040,5638.5,5644.0,5635.5,5642.5,6808
1786076100,5642.5,5645.0,5636.5,5640.0,3186
1786076160,5635.5,5645.0,5634.0,5638.0,42838
1786076220,5636.0,5637.5,5627.0,5627.5,2174
1786076280,5630.0,5630.0,5625.0,5625.0,2164
1786076340,5625.0,5648.0,5625.0,5648.0,5863
1786076400,5647.0,5660.0,5645.0,5655.5,38852
1786076460,5655.0,5657.5,5642.0,5646.0,8517
1786076520,5646.0,5646.5,5642.0,5642.0,1969
1786076580,5642.0,5650.0,5640.0,5646.5,4233
1786076640,5650.0,5650.5,5646.0,5648.5,2332
