time,open,high,low,close,volume
1786074300,130.83,131.27,130.43,131.12,777738
1786074360,131.12,131.38,131.06,131.06,356188
1786074420,131.18,131.27,131.11,131.11,217590
1786074480,131.13,131.13,131.06,131.09,130101
1786074540,131.19,131.29,131.17,131.17,167519
1786074600,131.16,131.26,131.13,131.15,298845
1786074660,131.19,131.2,131.11,131.2,73875
1786074720,131.22,131.25,131.2,131.2,81844
1786074780,131.18,131.2,131.14,131.2,54231
1786074840,131.17,131.25,131.17,131.17,179164
1786074900,131.2,131.33,131.15,131.33,187098
1786074960,131.28,131.28,131.2,131.2,52972
1786075020,131.21,131.3,131.21,131.3,71014
1786075080,131.22,131.29,131.22,131.26,31048
1786075140,131.25,131.32,131.25,131.32,78071
1786075200,131.39,131.39,131.35,131.35,68802
1786075260,131.4,131.4,131.14,131.14,327113
1786075320,131.23,131.33,131.23,131.26,158902
1786075380,131.25,131.26,131.16,131.2,53426
1786075440,131.16,131.2,131.13,131.13,150922
1786075500,131.17,131.2,131.16,131.19,53109
1786075560,131.16,131.2,131.15,131.2,43827
1786075620,131.2,131.25,131.2,131.21,39736
1786075680,131.22,131.22,131.15,131.15,20585
1786075740,131.18,131.23,131.18,131.18,45967
1786075800,131.2,131.21,131.18,131.21,25562
1786075860,131.21,131.21,131.18,131.2,20609
1786075920,131.2,131.22,131.16,131.22,25131
1786075980,131.21,131.21,131.2,131.2,47128
1786076040,131.17,131.25,131.17,131.25,42477
1786076100,131.28,131.28,131.19,131.2,43093
1786076160,131.22,131.23,131.2,131.22,19933
1786076220,131.19,131.2,131.15,131.15,165265
1786076280,131.15,131.15,131.05,131.05,305589
1786076340,131.1,131.14,131.05,131.14,76550
1786076400,131.18,131.3,131.18,131.3,73807
1786076460,131.3,131.59,131.3,131.55,340965
1786076520,131.55,131.6,131.52,131.59,84821
1786076580,131.59,131.65,131.58,131.6,109837
1786076640,131.7,131.76,131.68,131.73,231010
1786076700,131.74,131.95,131.72,131.87,600506
1786076760,131.9,131.94,131.81,131.9,102168
1786076820,131.94,132.17,131.89,132.14,344748
1786076880,132.11,132.11,131.98,132.08,198191
1786076940,132.05,132.08,131.99,132.06,137734
1786077000,132.06,132.1,132.03,132.03,82417
1786077060,132.06,132.1,132.04,132.1,144650
1786077120,132.1,132.21,132.1,132.19,274852
1786077180,132.2,132.27,132.2,132.27,141189
1786077240,132.2,132.2,132.06,132.06,302444
1786077300,132.06,132.07,131.75,131.81,526464
1786077360,131.8,131.95,131.78,131.93,228532
1786077420,131.92,131.98,131.92,131.95,172321
1786077480,131.95,131.97,131.91,131.96,58348
1786077540,132.0,132.0,131.85,131.95,175074
1786077600,131.95,131.99,131.92,131.94,27656
1786077660,131.96,132.08,131.94,132.08,87058
1786077720,132.01,132.09,131.94,131.94,59371
1786077780,131.94,131.95,131.8,131.83,55209
1786077840,131.9,131.9,131.83,131.87,210435
1786077900,131.87,131.92,131.8,131.82,110315
1786077960,131.87,131.89,131.82,131.82,23049
1786078020,131.82,131.84,131.65,131.65,139790
1786078080,131.66,131.66,131.5,131.53,191224
1786078140,131.53,131.53,131.5,131.52,42449
