time,open,high,low,close,volume
1786074300,1333.0,1333.0,1328.2,1330.7,9189
1786074360,1329.8,1333.1,1329.8,1331.4,13280
1786074420,1330.4,1332.5,1330.4,1331.5,7700
1786074480,1332.4,1332.6,1331.7,1332.6,2244
1786074540,1332.5,1334.4,1332.5,1332.8,7783
1786074600,1332.9,1332.9,1332.0,1332.6,4201
1786074660,1332.0,1333.2,1331.7,1333.0,5216
1786074720,1333.0,1333.5,1333.0,1333.5,3678
1786074780,1333.5,1333.7,1332.3,1333.1,6383
1786074840,1332.3,1333.5,1332.3,1333.3,3031
1786074900,1332.9,1332.9,1331.3,1331.5,3880
1786074960,1331.4,1331.5,1330.8,1330.8,4088
1786075020,1330.7,1330.7,1329.6,1330.2,3489
1786075080,1329.7,1330.1,1328.8,1329.3,3473
1786075140,1328.5,1328.5,1327.5,1328.5,10203
1786075200,1328.4,1328.7,1328.4,1328.7,2099
1786075260,1329.0,1329.0,1327.6,1327.8,1595
1786075320,1327.5,1329.4,1327.2,1329.4,5079
1786075380,1329.1,1329.1,1328.2,1328.5,1425
1786075440,1328.4,1328.5,1327.7,1328.0,2549
1786075500,1328.0,1328.0,1327.7,1328.0,1715
1786075560,1328.0,1328.0,1327.6,1327.9,1570
1786075620,1327.9,1327.9,1327.5,1327.5,8788
1786075680,1327.6,1328.0,1327.1,1328.0,3415
1786075740,1328.0,1328.0,1327.3,1327.3,1795
1786075800,1327.0,1327.8,1326.8,1327.2,3793
1786075860,1326.6,1326.8,1326.0,1326.0,5268
1786075920,1326.3,1327.7,1326.3,1327.3,2235
1786075980,1327.0,1327.6,1327.0,1327.6,2225
1786076040,1326.7,1327.7,1326.7,1327.7,1235
1786076100,1328.0,1328.0,1327.6,1327.6,5013
1786076160,1327.0,1327.4,1326.5,1326.9,3944
1786076220,1327.3,1327.3,1325.6,1326.0,4647
1786076280,1325.3,1325.9,1324.8,1325.5,12537
1786076340,1325.5,1327.5,1325.5,1326.0,7102
1786076400,1326.7,1326.8,1326.0,1326.6,1345
1786076460,1327.2,1328.2,1326.9,1327.8,1095
1786076520,1327.8,1328.0,1327.1,1327.5,918
1786076580,1327.4,1327.5,1326.4,1327.5,1897
1786076640,1327.6,1328.3,1327.0,1328.1,515
1786076700,1328.2,1329.0,1328.1,1328.6,717
1786076760,1328.9,1329.8,1328.4,1328.6,1545
1786076820,1328.5,1329.0,1328.1,1328.5,1319
1786076880,1328.8,1329.0,1328.6,1328.9,1680
1786076940,1328.9,1329.8,1328.9,1329.8,240
1786077000,1329.8,1329.9,1329.0,1329.2,2121
1786077060,1329.0,1329.5,1328.8,1328.8,2820
1786077120,1329.2,1329.2,1328.4,1328.9,1448
1786077180,1328.7,1329.0,1328.5,1328.6,381
1786077240,1328.5,1328.5,1327.7,1327.7,1318
1786077300,1327.6,1328.8,1327.6,1328.5,1098
1786077360,1328.7,1328.9,1328.2,1328.9,831
1786077420,1329.0,1329.8,1328.6,1329.6,1617
1786077480,1328.7,1331.5,1328.7,1330.6,2539
1786077540,1330.3,1330.9,1330.3,1330.9,337
1786077600,1330.6,1330.6,1329.9,1330.0,3195
1786077660,1329.5,1330.4,1329.3,1329.3,692
1786077720,1329.3,1329.3,1327.7,1327.7,2532
1786077780,1328.4,1328.4,1327.0,1327.0,1082
1786077840,1327.0,1328.0,1327.0,1327.9,721
1786077900,1327.9,1328.0,1326.5,1326.5,1280
1786077960,1326.2,1326.5,1326.0,1326.0,2511
1786078020,1326.0,1326.1,1325.5,1325.9,1164
1786078080,1325.8,1325.8,1325.5,1325.5,916
1786078140,1325.5,1326.2,1325.4,1326.1,1942
1786078200,1325.9,1326.8,1325.5,1326.7,2054
1786078260,1326.1,1326.9,1326.1,1326.8,497
1786078320,1326.8,1326.8,1326.3,1326.8,382
1786078380,1326.8,1326.8,1326.1,1326.6,2111
1786078440,1326.3,1326.8,1326.3,1326.7,294
1786078500,1326.5,1326.8,1326.3,1326.3,856
1786078560,1326.7,1326.7,1326.2,1326.6,633
1786078620,1326.6,1326.6,1325.5,1325.9,2430
1786078680,1325.9,1325.9,1325.5,1325.7,537
1786078740,1325.6,1325.9,1325.5,1325.9,595
1786078800,1325.9,1325.9,1325.1,1325.5,3580
1786078860,1325.5,1326.0,1325.5,1325.5,1238
1786078920,1325.5,1325.8,1325.0,1325.4,1354
1786078980,1325.4,1326.8,1325.4,1326.8,574
1786079040,1326.8,1327.3,1326.5,1327.2,639
1786079100,1327.2,1327.2,1326.1,1326.7,1802
1786079160,1326.7,1326.7,1325.9,1326.2,314
1786079220,1326.4,1326.4,1325.7,1326.3,1511
1786079280,1326.0,1327.0,1326.0,1327.0,630
1786079340,1327.0,1327.0,1326.1,1326.6,1378
1786079400,1326.6,1326.7,1326.0,1326.1,382
1786079460,1326.7,1326.7,1326.0,1326.0,215
1786079520,1326.4,1326.6,1325.7,1326.4,626
1786079580,1326.6,1326.7,1326.6,1326.6,354
1786079640,1326.6,1326.7,1326.6,1326.6,476
1786079700,1326.6,1326.7,1326.3,1326.7,3412
1786079760,1326.7,1326.7,1326.5,1326.7,129
1786079820,1326.7,1327.0,1326.7,1326.8,412
1786079880,1326.7,1327.3,1326.7,1327.3,486
1786079940,1327.3,1327.3,1327.0,1327.3,336
1786080000,1327.3,1327.3,1326.8,1327.0,866
1786080060,1326.8,1327.0,1326.8,1326.9,728
1786080120,1326.9,1326.9,1326.1,1326.9,340
1786080180,1326.9,1327.9,1326.6,1327.0,4552
1786080240,1327.0,1327.0,1326.4,1326.4,716
1786080300,1327.2,1327.2,1326.5,1326.9,203
1786080360,1327.4,1327.5,1326.8,1327.4,405
1786080420,1327.0,1329.0,1327.0,1327.5,3288
1786080480,1328.3,1328.7,1327.5,1328.7,1171
1786080540,1327.5,1328.4,1327.0,1327.7,2416
1786080600,1327.5,1328.0,1327.3,1328.0,815
1786080660,1328.3,1328.3,1327.5,1327.6,444
1786080720,1327.6,1327.9,1327.0,1327.9,529
1786080780,1327.9,1327.9,1326.7,1327.2,569
1786080840,1327.1,1327.5,1327.0,1327.4,1149
1786080900,1327.4,1327.4,1326.8,1327.2,160
1786080960,1327.2,1327.4,1326.8,1327.1,232
1786081020,1327.2,1327.5,1326.7,1327.5,230
1786081080,1326.9,1327.7,1326.9,1327.7,251
1786081140,1327.5,1328.2,1327.5,1327.7,457
1786081200,1328.1,1328.6,1328.0,1328.0,4048
1786081260,1328.4,1328.4,1327.5,1328.0,1487
1786081320,1328.0,1328.0,1327.4,1327.8,275
1786081380,1327.2,1327.7,1327.0,1327.6,1175
1786081440,1327.2,1327.7,1327.1,1327.6,464
1786081500,1327.0,1327.6,1327.0,1327.6,430
1786081560,1327.6,1327.8,1326.6,1327.8,807
1786081620,1327.6,1327.7,1327.3,1327.6,105
1786081680,1327.6,1327.7,1327.0,1327.7,213
1786081740,1327.5,1327.9,1327.5,1327.7,470
1786081800,1327.6,1327.9,1327.6,1327.7,189
1786081860,1327.5,1327.7,1327.0,1327.7,532
1786081920,1327.7,1327.7,1327.0,1327.4,215
1786081980,1327.4,1327.5,1326.9,1327.0,587
1786082040,1327.0,1327.6,1326.8,1327.6,613
1786082100,1327.6,1328.0,1327.6,1328.0,893
1786082160,1328.0,1328.4,1327.8,1328.0,582
1786082220,1328.4,1328.4,1327.5,1328.4,1096
1786082280,1328.4,1328.5,1328.0,1328.0,551
1786082340,1327.9,1328.0,1327.9,1328.0,472
1786082400,1327.8,1328.0,1327.6,1327.8,347
1786082460,1327.3,1327.9,1327.3,1327.8,210
1786082520,1327.3,1327.9,1327.3,1327.9,320
1786082580,1327.8,1327.9,1327.0,1327.0,883
1786082640,1327.5,1327.5,1327.5,1327.5,382
1786082700,1327.5,1327.5,1326.9,1327.5,182
1786082760,1327.5,1327.5,1326.9,1327.0,1457
1786082820,1327.0,1327.3,1327.0,1327.0,192
1786082880,1327.3,1327.4,1327.3,1327.3,85
1786082940,1327.3,1327.3,1327.0,1327.3,320
1786083000,1327.1,1327.3,1327.0,1327.3,417
1786083060,1327.0,1327.4,1327.0,1327.4,1278
1786083120,1327.3,1327.9,1327.0,1327.9,538
1786083180,1327.4,1328.9,1327.4,1328.3,1318
1786083240,1328.5,1328.8,1327.8,1328.5,882
1786083300,1328.8,1328.9,1328.4,1328.9,503
1786083360,1328.9,1329.2,1328.5,1329.0,1025
1786083420,1329.0,1329.3,1328.7,1328.7,1681
1786083480,1328.6,1328.6,1328.0,1328.0,618
1786083540,1328.3,1328.3,1327.0,1327.0,1169
1786083600,1327.3,1327.5,1326.2,1326.9,3176
1786083660,1326.5,1326.5,1325.0,1325.0,1375
1786083720,1325.0,1325.6,1325.0,1325.2,473
1786083780,1325.6,1325.6,1325.1,1325.6,1239
1786083840,1325.6,1326.2,1325.6,1326.0,847
1786083900,1326.0,1326.1,1325.7,1325.7,482
1786083960,1326.1,1326.3,1325.8,1326.3,197
1786084020,1326.3,1327.0,1326.3,1326.3,1337
1786084080,1326.3,1326.4,1326.3,1326.4,859
1786084140,1325.1,1326.4,1325.1,1326.3,3798
1786084200,1326.3,1326.4,1326.0,1326.4,168
1786084260,1326.4,1327.1,1326.0,1326.0,942
1786084320,1326.2,1326.2,1326.0,1326.0,91
1786084380,1326.0,1326.0,1325.2,1325.5,609
1786084440,1325.5,1326.0,1325.5,1326.0,141
