time,open,high,low,close,volume
1786074300,162.77,163.11,162.29,163.1,79837
1786074360,163.34,163.35,162.77,163.12,26820
1786074420,163.12,163.12,162.89,163.05,14209
1786074480,162.8,162.8,162.6,162.72,9095
1786074540,162.86,162.86,162.71,162.8,4891
1786074600,162.71,162.79,162.71,162.79,13815
1786074660,162.91,162.97,162.77,162.9,3880
1786074720,162.9,162.96,162.8,162.85,21789
1786074780,162.89,162.9,162.77,162.8,10812
1786074840,162.75,162.87,162.75,162.83,4965
1786074900,162.8,162.85,162.79,162.8,4440
1786074960,162.8,162.93,162.8,162.85,2983
1786075020,162.8,162.8,162.56,162.56,5542
1786075080,162.63,162.63,162.51,162.59,3737
1786075140,162.59,162.59,162.38,162.47,12805
1786075200,162.47,162.57,162.3,162.57,6321
1786075260,162.6,162.65,162.57,162.61,11683
1786075320,162.61,162.81,162.61,162.81,6367
1786075380,162.83,162.83,162.58,162.6,14713
1786075440,162.58,162.6,162.58,162.58,6362
1786075500,162.58,162.59,162.58,162.58,4761
1786075560,162.54,162.6,162.5,162.53,2718
1786075620,162.58,162.59,162.5,162.5,1606
1786075680,162.54,162.6,162.51,162.6,903
1786075740,162.6,162.6,162.4,162.4,1878
1786075800,162.43,162.52,162.43,162.51,1545
1786075860,162.57,162.57,162.57,162.57,329
1786075920,162.53,162.53,162.53,162.53,405
1786075980,162.57,162.57,162.55,162.55,838
1786076040,162.59,162.7,162.59,162.66,3131
1786076100,163.05,163.18,163.05,163.18,9564
1786076160,163.15,163.18,163.05,163.17,1008
1786076220,163.18,163.18,163.04,163.04,2632
1786076280,163.05,163.05,163.0,163.05,5448
1786076340,163.05,163.05,162.79,162.88,3432
1786076400,162.93,163.0,162.93,163.0,1875
1786076460,163.0,163.25,163.0,163.25,3987
1786076520,163.2,163.25,163.18,163.18,2045
1786076580,163.18,163.25,163.18,163.24,3107
1786076640,163.22,163.22,163.18,163.18,1151
1786076700,163.18,163.3,163.18,163.3,7088
1786076760,163.3,163.3,163.1,163.1,4266
1786076820,163.1,163.19,163.1,163.19,667
1786076880,163.2,163.29,163.18,163.26,4501
1786076940,163.18,163.25,163.16,163.25,789
1786077000,163.25,163.25,163.2,163.25,238
1786077060,163.2,163.2,163.11,163.19,1106
1786077120,163.19,163.19,163.19,163.19,20
1786077180,163.25,163.29,163.2,163.26,2824
1786077240,163.19,163.19,163.05,163.05,12732
1786077300,163.13,163.15,163.06,163.06,13498
1786077360,163.06,163.07,163.0,163.07,5304
1786077420,163.07,163.17,163.01,163.05,2788
1786077480,163.16,163.19,163.05,163.19,2567
1786077540,163.05,163.1,163.05,163.05,218
1786077600,163.05,163.05,162.98,162.98,2221
1786077660,162.82,162.98,162.76,162.98,5419
1786077720,162.83,162.86,162.83,162.86,57
1786077780,162.83,162.83,162.83,162.83,1048
1786077840,162.8,162.86,162.8,162.86,2342
1786077900,162.89,162.97,162.89,162.89,1221
1786077960,162.89,162.89,162.87,162.89,734
1786078020,162.89,162.89,162.84,162.89,893
1786078080,162.89,162.89,162.82,162.86,1541
1786078140,162.81,162.86,162.65,162.65,3412
1786078200,162.81,162.81,162.74,162.74,611
1786078260,162.83,162.9,162.83,162.9,3045
1786078320,162.91,162.91,162.83,162.83,10
1786078380,162.83,162.83,162.82,162.82,417
1786078440,162.81,162.81,162.81,162.81,138
1786078500,162.82,162.82,162.8,162.8,1431
1786078560,162.8,162.81,162.79,162.8,613
1786078620,162.79,162.79,162.79,162.79,316
1786078680,162.8,162.8,162.79,162.79,193
1786078740,162.8,162.8,162.74,162.74,1457
1786078800,162.77,162.77,162.72,162.76,95
1786078860,162.77,162.77,162.77,162.77,760
1786078920,162.75,162.75,162.75,162.75,123
1786078980,162.75,162.9,162.75,162.88,1487
1786079040,162.99,162.99,162.99,162.99,3107
1786079100,162.93,162.93,162.83,162.83,2641
1786079160,162.76,162.83,162.76,162.83,284
1786079220,162.89,162.89,162.89,162.89,749
1786079280,162.89,162.89,162.85,162.89,1339
1786079340,162.89,162.89,162.89,162.89,110
1786079400,162.89,162.89,162.8,162.8,1057
1786079460,162.81,162.89,162.81,162.89,32
1786079520,162.85,162.85,162.85,162.85,317
1786079580,162.85,162.99,162.85,162.99,687
1786079640,162.99,162.99,162.99,162.99,4
1786079700,162.99,162.99,162.86,162.86,10903
1786079760,162.86,162.88,162.86,162.88,934
1786079820,162.8,162.87,162.8,162.8,1066
1786079880,162.8,163.08,162.8,163.05,6637
1786079940,163.02,163.1,163.02,163.03,3504
1786080000,163.08,163.08,163.02,163.02,180
1786080060,163.08,163.08,163.0,163.0,7991
1786080120,163.0,163.0,162.89,162.89,59
1786080180,162.89,163.0,162.89,162.96,1340
1786080240,162.89,163.02,162.89,162.95,273
1786080300,162.95,163.0,162.9,162.9,28326
1786080360,162.9,162.93,162.9,162.9,608
1786080420,162.89,162.89,162.88,162.88,2132
1786080480,162.87,162.87,162.81,162.85,235
1786080540,162.85,162.85,162.7,162.7,831
1786080600,162.7,162.78,162.7,162.78,598
1786080660,162.7,162.78,162.7,162.78,231
1786080720,162.7,162.7,162.7,162.7,599
1786080780,162.7,162.78,162.6,162.6,1192
1786080840,162.63,162.63,162.51,162.63,1135
1786080900,162.6,162.6,162.57,162.57,111
1786080960,162.59,162.63,162.59,162.63,608
1786081020,162.63,162.63,162.63,162.63,18
1786081080,162.63,162.63,162.55,162.55,554
1786081140,162.6,162.6,162.55,162.55,12
1786081200,162.58,162.58,162.57,162.57,110
1786081260,162.57,162.57,162.55,162.55,731
1786081320,162.55,162.57,162.55,162.57,437
1786081380,162.57,162.72,162.55,162.72,1579
1786081440,162.72,162.72,162.72,162.72,80
1786081500,162.62,162.62,162.62,162.62,365
