time,open,high,low,close,volume
1786074300,875.0,876.45,872.4,876.0,65303
1786074360,877.0,877.7,876.85,877.0,7417
1786074420,878.0,879.3,877.1,877.1,14344
1786074480,876.85,876.85,875.95,876.55,7911
1786074540,877.05,877.45,876.6,876.75,4722
1786074600,876.25,877.2,876.25,877.2,4116
1786074660,876.8,877.2,876.15,876.75,2370
1786074720,876.65,876.8,876.1,876.55,1942
1786074780,877.25,877.25,875.75,876.2,6749
1786074840,876.0,876.8,875.7,875.7,4951
1786074900,876.25,876.25,875.0,875.25,6988
1786074960,875.25,876.0,875.0,875.05,2685
1786075020,875.3,876.2,874.5,876.2,5072
1786075080,875.85,876.0,874.6,874.6,2566
1786075140,874.5,875.8,874.5,875.8,1545
1786075200,875.8,876.6,875.55,876.6,1502
1786075260,876.6,876.6,875.55,875.55,2733
1786075320,876.2,876.85,876.2,876.85,855
1786075380,876.85,877.0,874.85,874.85,4266
1786075440,874.85,875.1,874.75,875.0,6807
1786075500,875.0,875.1,874.35,874.35,1951
1786075560,874.75,875.75,874.35,875.55,1530
1786075620,875.55,875.55,874.9,874.9,1721
1786075680,874.85,874.95,874.0,874.95,3439
1786075740,875.2,875.2,874.0,874.0,3016
1786075800,873.9,875.55,873.75,875.55,4737
1786075860,875.4,875.4,874.45,874.45,2319
1786075920,874.55,875.5,874.55,875.25,1743
1786075980,875.15,879.0,875.15,878.65,7540
1786076040,878.95,879.0,878.0,878.35,4121
1786076100,878.7,879.0,878.6,878.6,5200
1786076160,878.2,878.2,876.15,876.15,3547
1786076220,876.1,876.15,875.2,875.2,4424
1786076280,875.2,875.5,874.1,874.4,2552
1786076340,874.4,874.6,874.0,874.6,4278
1786076400,874.2,874.5,873.95,874.1,4680
1786076460,874.1,875.5,873.35,875.5,5825
1786076520,875.05,875.05,874.85,874.85,1011
1786076580,874.15,874.85,874.0,874.85,1218
1786076640,874.95,874.95,874.1,874.65,5253
1786076700,874.6,874.95,874.2,874.8,1723
1786076760,875.05,875.5,874.85,874.95,1832
1786076820,875.2,875.3,875.2,875.25,4179
1786076880,874.15,874.9,874.15,874.7,3840
1786076940,874.55,875.3,874.55,875.1,526
1786077000,875.05,875.45,874.65,874.65,1918
1786077060,874.6,875.3,874.6,874.95,1023
1786077120,874.85,874.85,874.05,874.05,2266
1786077180,874.0,874.3,874.0,874.0,1361
1786077240,874.0,874.3,873.4,873.7,6342
1786077300,873.75,874.35,873.7,874.15,2846
1786077360,874.15,874.5,873.8,874.1,1227
1786077420,874.2,874.65,874.15,874.25,3354
1786077480,873.8,874.2,873.8,873.8,845
1786077540,873.1,874.0,873.1,873.75,2917
1786077600,873.85,874.0,873.4,874.0,3050
1786077660,873.95,874.45,873.75,873.75,5068
1786077720,873.6,874.0,873.5,873.5,1294
1786077780,873.5,873.55,873.0,873.55,8972
1786077840,873.4,874.0,873.4,873.75,1575
1786077900,873.65,873.65,873.05,873.05,1297
1786077960,873.3,873.6,873.1,873.3,3793
1786078020,873.3,873.9,873.05,873.6,6852
1786078080,873.35,873.55,872.7,873.0,1009
1786078140,872.85,873.0,872.8,872.85,992
1786078200,872.8,873.55,872.8,873.2,2543
1786078260,873.4,874.1,872.6,874.0,4660
1786078320,874.45,874.45,873.5,873.5,1451
1786078380,873.8,873.8,873.15,873.15,1525
1786078440,873.1,873.75,873.0,873.75,873
1786078500,873.75,873.8,873.75,873.75,283
1786078560,873.75,873.8,873.25,873.3,672
1786078620,873.3,873.3,873.0,873.2,495
1786078680,873.05,873.2,873.0,873.0,1271
1786078740,872.7,872.95,872.6,872.8,1091
1786078800,872.85,872.85,872.65,872.85,581
1786078860,872.7,872.85,872.5,872.65,7506
1786078920,872.0,872.35,871.3,872.35,17403
1786078980,872.1,873.9,872.1,873.85,3719
1786079040,873.45,874.4,873.45,874.35,3799
1786079100,874.45,874.75,874.1,874.1,4155
1786079160,874.1,874.35,874.1,874.35,323
1786079220,874.4,874.45,874.2,874.2,878
1786079280,874.2,874.6,874.2,874.6,971
1786079340,874.65,874.65,874.15,874.45,1120
1786079400,874.2,874.4,874.1,874.4,1894
1786079460,874.05,874.4,874.05,874.1,690
1786079520,874.35,874.9,874.05,874.9,667
1786079580,874.65,874.95,874.65,874.95,1467
1786079640,874.95,874.95,874.4,874.4,4275
1786079700,874.8,875.0,874.1,874.4,8550
1786079760,874.1,874.8,874.1,874.8,3219
1786079820,874.9,875.0,874.85,874.9,4261
1786079880,874.8,875.5,874.8,875.5,2183
1786079940,875.25,875.6,874.2,874.2,4524
1786080000,874.2,874.45,874.1,874.1,405
1786080060,874.2,874.35,874.2,874.3,827
1786080120,874.4,874.4,873.3,874.2,3499
1786080180,874.45,874.5,874.0,874.0,1373
1786080240,874.0,874.3,874.0,874.25,677
1786080300,874.25,874.3,873.8,874.3,7249
1786080360,874.3,875.0,874.3,874.75,3415
1786080420,874.65,874.85,874.45,874.45,1103
1786080480,874.45,874.45,874.0,874.1,1228
1786080540,874.05,874.4,873.55,873.55,1583
1786080600,873.55,873.75,873.3,873.75,2345
1786080660,873.75,873.75,873.1,873.1,457
1786080720,873.15,873.55,873.05,873.15,1178
1786080780,873.05,873.3,872.35,872.35,3715
1786080840,872.3,872.8,872.2,872.55,483
1786080900,872.5,873.35,872.5,873.35,1095
1786080960,873.3,873.35,873.1,873.1,928
1786081020,873.5,873.8,873.35,873.55,1131
1786081080,873.55,874.1,873.55,874.1,1051
1786081140,874.0,874.25,873.55,874.0,1763
1786081200,874.05,874.45,874.05,874.45,927
1786081260,874.0,874.0,873.75,873.85,927
1786081320,873.85,873.9,872.25,872.55,8164
1786081380,872.55,872.55,872.2,872.5,912
1786081440,872.2,872.35,872.2,872.25,951
1786081500,872.45,872.45,872.0,872.2,3358
1786081560,872.2,872.25,872.2,872.2,1156
1786081620,872.2,872.25,872.0,872.0,1216
1786081680,872.0,872.0,872.0,872.0,1671
1786081740,872.0,872.75,872.0,872.25,3042
1786081800,872.25,872.5,872.25,872.3,672
1786081860,872.3,872.8,872.25,872.7,2152
1786081920,872.65,872.65,872.25,872.25,1017
1786081980,872.35,872.45,872.25,872.4,975
1786082040,872.4,872.6,872.2,872.2,961
1786082100,872.2,872.55,872.2,872.3,915
1786082160,872.3,872.7,872.3,872.6,831
1786082220,872.6,874.45,872.6,873.0,85110
1786082280,873.0,873.15,872.7,872.9,1490
1786082340,872.9,873.3,872.35,872.45,2257
1786082400,872.45,872.45,872.1,872.35,1337
1786082460,872.35,872.75,872.2,872.75,665
1786082520,872.7,873.15,872.35,873.15,994
1786082580,872.7,873.0,872.1,872.15,799
1786082640,872.15,872.2,872.1,872.1,817
1786082700,872.1,872.45,872.1,872.2,788
1786082760,872.2,872.2,872.05,872.1,445
1786082820,872.05,872.35,872.05,872.15,845
1786082880,872.15,872.4,872.05,872.4,1200
1786082940,872.2,872.5,872.0,872.1,2924
1786083000,872.0,872.3,872.0,872.05,885
1786083060,872.1,872.25,871.0,871.2,18669
1786083120,871.1,871.45,871.1,871.25,1267
1786083180,871.25,871.5,871.25,871.4,688
1786083240,871.35,871.5,871.3,871.3,1046
1786083300,871.3,871.55,871.05,871.25,1104
1786083360,871.25,871.8,871.25,871.75,583
1786083420,871.65,871.65,871.35,871.35,531
1786083480,871.35,871.5,871.35,871.35,544
1786083540,871.35,871.5,871.3,871.3,991
1786083600,871.05,871.35,871.0,871.2,1237
1786083660,871.2,871.5,870.5,870.75,11656
1786083720,870.75,870.95,870.4,870.4,6936
1786083780,870.35,870.7,870.35,870.4,3418
1786083840,870.4,870.4,870.35,870.4,1144
1786083900,870.45,871.0,870.35,870.7,4853
1786083960,870.75,870.8,870.3,870.6,7334
1786084020,870.7,870.7,870.45,870.45,922
1786084080,870.4,870.8,870.4,870.8,884
1786084140,870.95,871.05,870.95,871.0,1049
1786084200,871.1,871.15,870.6,870.6,1715
1786084260,870.65,870.95,870.65,870.85,864
1786084320,870.85,870.9,870.5,870.5,832
1786084380,870.85,870.85,870.5,870.7,646
1786084440,870.5,870.7,870.5,870.55,493
