time,open,high,low,close,volume
1786074300,1912.8,1922.0,1905.2,1909.6,46544
1786074360,1909.7,1913.0,1907.2,1910.3,12865
1786074420,1910.8,1913.4,1901.4,1907.4,16205
1786074480,1906.4,1909.5,1906.2,1909.2,5062
1786074540,1909.0,1910.5,1903.5,1903.5,8632
1786074600,1903.3,1904.7,1898.3,1903.3,7895
1786074660,1904.2,1910.8,1902.6,1910.7,14293
1786074720,1909.9,1914.0,1909.7,1912.8,8808
1786074780,1913.7,1914.1,1909.1,1914.1,9648
1786074840,1913.8,1914.3,1913.3,1913.3,5341
1786074900,1913.0,1913.0,1910.6,1911.3,2568
1786074960,1912.7,1916.6,1912.4,1915.4,9449
1786075020,1915.7,1915.7,1910.3,1910.7,5520
1786075080,1911.1,1916.0,1911.1,1911.8,6809
1786075140,1911.7,1912.5,1911.0,1911.1,1719
1786075200,1910.9,1910.9,1908.3,1908.4,7829
1786075260,1908.4,1911.0,1908.4,1909.2,3698
1786075320,1909.2,1912.4,1909.2,1909.6,3775
1786075380,1912.0,1912.7,1911.7,1912.7,2846
1786075440,1912.2,1912.7,1910.4,1911.0,4419
1786075500,1912.0,1912.7,1907.3,1911.2,13059
1786075560,1911.2,1913.0,1910.0,1911.0,3096
1786075620,1911.1,1911.1,1908.9,1910.0,4027
1786075680,1910.0,1911.7,1909.8,1911.7,2515
1786075740,1911.0,1913.3,1910.5,1910.5,2655
1786075800,1910.3,1910.3,1909.8,1909.9,659
1786075860,1909.2,1909.6,1907.8,1908.1,2101
1786075920,1907.9,1911.2,1907.6,1910.9,4250
1786075980,1910.9,1913.7,1910.4,1913.7,3156
1786076040,1912.6,1913.4,1911.9,1911.9,967
1786076100,1910.8,1910.8,1909.5,1910.0,1463
1786076160,1909.8,1909.8,1907.1,1907.1,2796
1786076220,1907.1,1908.2,1905.7,1906.4,5727
1786076280,1907.6,1909.7,1906.0,1908.8,5350
1786076340,1908.1,1909.5,1908.1,1908.6,1443
1786076400,1909.2,1910.8,1908.9,1910.8,2505
1786076460,1910.3,1911.0,1909.0,1909.5,3189
1786076520,1909.8,1910.0,1907.4,1908.0,2619
1786076580,1909.0,1909.1,1908.3,1909.1,3582
1786076640,1910.0,1912.7,1909.6,1912.7,1544
1786076700,1912.2,1913.8,1911.7,1912.0,3888
1786076760,1912.0,1914.8,1911.1,1912.8,5699
1786076820,1912.8,1916.0,1912.7,1912.7,2147
1786076880,1912.8,1913.3,1911.6,1912.2,2756
1786076940,1913.0,1913.4,1912.2,1913.4,1673
1786077000,1913.0,1913.0,1911.1,1912.1,4578
1786077060,1911.1,1911.7,1909.8,1910.8,2452
1786077120,1910.7,1910.7,1909.8,1910.3,301
1786077180,1910.6,1911.0,1910.6,1910.9,665
1786077240,1911.9,1911.9,1910.6,1910.7,535
1786077300,1911.7,1911.7,1910.6,1910.6,640
1786077360,1910.6,1911.6,1910.6,1911.2,409
1786077420,1911.6,1912.0,1911.5,1912.0,603
1786077480,1911.5,1912.7,1911.5,1912.0,735
1786077540,1911.3,1911.9,1911.3,1911.9,909
1786077600,1911.8,1913.2,1911.8,1913.2,1380
1786077660,1912.3,1913.0,1912.1,1912.1,924
1786077720,1912.1,1913.9,1912.0,1912.9,945
1786077780,1912.9,1912.9,1911.0,1911.7,1835
1786077840,1911.7,1913.0,1911.1,1912.9,603
1786077900,1912.1,1912.9,1911.3,1911.5,1780
1786077960,1911.4,1911.8,1911.0,1911.0,365
1786078020,1911.7,1911.9,1910.6,1910.6,1149
1786078080,1910.3,1910.3,1908.9,1908.9,631
1786078140,1908.8,1908.8,1908.0,1908.5,1767
1786078200,1908.5,1909.0,1902.5,1903.7,4469
1786078260,1903.2,1907.7,1902.7,1906.3,4566
1786078320,1906.7,1907.7,1906.7,1907.7,2089
1786078380,1908.7,1909.2,1906.2,1906.9,2011
1786078440,1907.0,1908.0,1906.3,1907.4,1304
1786078500,1907.4,1908.1,1906.3,1906.8,2472
1786078560,1906.9,1907.2,1905.2,1906.3,1720
1786078620,1905.5,1905.5,1904.7,1904.7,1496
1786078680,1904.7,1905.3,1904.6,1905.0,922
1786078740,1904.6,1905.6,1904.6,1905.4,1504
1786078800,1905.4,1907.4,1905.1,1907.0,2720
1786078860,1907.0,1907.0,1904.8,1905.5,2447
1786078920,1906.1,1906.1,1904.8,1905.0,1862
1786078980,1905.0,1906.6,1904.5,1905.3,1947
1786079040,1906.1,1907.3,1905.6,1906.6,1436
1786079100,1906.6,1906.6,1905.2,1905.6,857
1786079160,1905.4,1905.6,1905.4,1905.5,284
1786079220,1905.6,1906.7,1905.0,1906.7,1179
1786079280,1906.2,1907.3,1906.2,1906.9,1340
1786079340,1907.1,1908.3,1906.9,1907.9,2156
1786079400,1908.0,1908.7,1907.4,1908.0,2123
1786079460,1908.2,1908.2,1908.1,1908.1,301
1786079520,1908.2,1908.2,1907.5,1907.7,680
1786079580,1907.3,1908.1,1907.2,1907.2,2228
1786079640,1907.5,1909.8,1907.3,1909.3,6089
1786079700,1909.3,1910.0,1908.6,1908.6,407
1786079760,1908.6,1908.6,1904.6,1905.6,6973
1786079820,1906.3,1906.9,1904.6,1905.4,2396
1786079880,1905.4,1905.6,1904.5,1904.5,1093
1786079940,1905.0,1905.1,1898.9,1899.6,14748
1786080000,1899.0,1900.7,1899.0,1900.5,3843
1786080060,1900.0,1900.0,1897.2,1899.2,6760
1786080120,1899.2,1902.5,1898.8,1900.0,10003
1786080180,1904.8,1904.8,1902.9,1904.4,8209
1786080240,1904.2,1905.0,1904.2,1904.9,975
1786080300,1904.9,1904.9,1902.3,1903.0,10720
1786080360,1902.5,1902.5,1901.6,1902.0,2792
1786080420,1902.0,1903.2,1900.0,1903.0,3827
1786080480,1902.6,1903.6,1902.6,1903.1,726
1786080540,1903.1,1903.4,1902.5,1903.2,1886
1786080600,1902.9,1903.3,1902.4,1903.3,1202
1786080660,1903.4,1904.2,1901.4,1901.7,9000
1786080720,1901.9,1904.0,1901.7,1903.5,1922
1786080780,1903.9,1904.0,1902.0,1902.1,1328
1786080840,1902.1,1903.3,1901.1,1903.2,1279
1786080900,1903.0,1903.0,1902.7,1903.0,401
1786080960,1903.0,1903.0,1902.2,1902.2,1640
1786081020,1901.9,1904.1,1901.9,1904.1,1348
