time,open,high,low,close,volume
1786074300,1486.9,1505.3,1486.9,1502.1,80003
1786074360,1503.0,1504.6,1495.6,1496.9,30893
1786074420,1496.7,1500.5,1495.4,1497.5,19182
1786074480,1498.0,1500.0,1497.2,1500.0,9128
1786074540,1500.0,1501.7,1496.5,1498.2,16846
1786074600,1498.0,1501.0,1497.8,1499.6,7357
1786074660,1500.0,1501.0,1497.8,1498.4,13251
1786074720,1497.5,1497.9,1494.0,1495.0,13523
1786074780,1494.2,1495.9,1494.2,1494.8,6733
1786074840,1494.0,1495.8,1493.6,1493.6,11253
1786074900,1495.1,1495.1,1491.5,1492.0,10001
1786074960,1492.0,1492.0,1489.3,1489.3,21762
1786075020,1486.3,1487.5,1485.0,1487.0,29478
1786075080,1486.3,1486.5,1482.6,1483.7,8294
1786075140,1483.5,1488.5,1483.0,1487.4,9898
1786075200,1487.9,1488.2,1486.0,1488.2,7712
1786075260,1488.2,1489.0,1486.9,1487.8,2579
1786075320,1488.0,1489.9,1487.2,1489.0,2743
1786075380,1489.6,1489.6,1487.6,1488.0,2777
1786075440,1488.7,1488.7,1487.3,1487.9,1221
1786075500,1487.5,1487.5,1487.3,1487.3,1601
1786075560,1487.3,1488.0,1487.0,1487.0,1795
1786075620,1487.3,1488.0,1487.0,1487.0,1363
1786075680,1486.5,1494.9,1486.1,1494.9,12365
1786075740,1493.5,1493.6,1492.4,1492.5,6127
1786075800,1492.0,1500.0,1491.7,1500.0,11531
1786075860,1499.2,1499.6,1498.1,1499.0,5445
1786075920,1499.0,1499.0,1497.9,1498.0,2804
1786075980,1498.8,1500.1,1498.4,1500.1,16799
1786076040,1499.2,1500.0,1498.6,1499.8,9806
1786076100,1499.8,1506.7,1499.2,1503.7,39230
1786076160,1504.0,1504.5,1500.6,1502.1,8389
1786076220,1502.4,1502.6,1500.0,1500.9,2651
1786076280,1500.9,1500.9,1497.9,1498.4,9883
1786076340,1497.4,1498.5,1497.0,1497.6,4951
1786076400,1497.9,1497.9,1496.3,1497.0,3445
1786076460,1496.4,1498.4,1496.4,1498.4,2512
1786076520,1498.4,1498.7,1496.4,1496.4,4723
1786076580,1496.5,1497.0,1496.4,1496.6,2455
1786076640,1496.5,1496.5,1496.0,1496.3,1564
1786076700,1497.0,1498.3,1496.9,1497.9,12435
1786076760,1497.9,1497.9,1493.6,1494.6,6016
1786076820,1494.6,1495.0,1492.8,1492.9,3196
1786076880,1492.1,1493.0,1491.7,1491.7,3726
1786076940,1491.7,1492.0,1491.5,1491.5,1425
1786077000,1492.0,1492.0,1491.1,1491.5,1624
1786077060,1491.6,1493.8,1491.6,1493.7,7922
1786077120,1493.7,1495.3,1493.7,1494.2,4183
1786077180,1494.9,1494.9,1493.8,1494.4,3046
1786077240,1494.4,1494.4,1493.0,1493.7,1453
1786077300,1493.7,1493.7,1493.0,1493.7,1442
1786077360,1493.7,1494.8,1493.7,1494.5,2538
1786077420,1494.8,1495.4,1494.0,1495.0,902
1786077480,1495.0,1495.2,1493.6,1495.0,1174
1786077540,1494.2,1494.9,1493.3,1494.5,709
1786077600,1494.5,1495.0,1494.0,1495.0,1928
