time,open,high,low,close,volume
1786074300,2026.0,2029.3,2018.4,2028.3,7427
1786074360,2031.9,2037.5,2029.1,2034.8,6751
1786074420,2034.3,2036.5,2028.6,2028.6,3759
1786074480,2028.1,2030.2,2028.1,2028.1,842
1786074540,2029.4,2029.9,2028.1,2029.9,1690
1786074600,2031.6,2034.8,2031.0,2031.0,3552
1786074660,2031.6,2032.8,2031.3,2031.5,957
1786074720,2031.5,2032.3,2030.3,2031.0,1381
1786074780,2030.0,2033.6,2030.0,2032.0,2433
1786074840,2032.7,2032.8,2031.6,2032.0,142
1786074900,2032.7,2032.7,2030.0,2030.0,996
1786074960,2030.0,2030.1,2030.0,2030.1,200
1786075020,2030.9,2030.9,2027.8,2028.6,5099
1786075080,2029.3,2029.3,2028.6,2029.3,178
1786075140,2029.0,2029.2,2028.6,2028.9,180
1786075200,2029.2,2029.5,2024.0,2024.2,4079
1786075260,2024.3,2025.3,2024.0,2024.1,474
1786075320,2024.1,2026.0,2024.1,2025.1,446
1786075380,2025.0,2026.8,2025.0,2026.8,83
1786075440,2026.8,2026.9,2026.0,2026.8,213
1786075500,2027.4,2028.5,2026.3,2028.5,269
1786075560,2029.1,2029.1,2028.0,2028.9,652
1786075620,2029.0,2029.0,2027.7,2028.1,252
1786075680,2028.8,2030.0,2028.1,2029.9,230
1786075740,2028.9,2029.9,2028.9,2028.9,404
1786075800,2028.9,2030.0,2028.9,2029.4,111
1786075860,2030.0,2031.1,2030.0,2031.0,1074
1786075920,2031.0,2033.4,2031.0,2032.2,524
1786075980,2034.0,2034.0,2031.2,2031.2,933
1786076040,2031.0,2032.7,2031.0,2031.2,345
1786076100,2032.0,2034.5,2032.0,2033.1,526
1786076160,2033.0,2034.0,2030.5,2031.5,1905
1786076220,2031.0,2031.0,2029.0,2029.3,290
1786076280,2030.6,2031.9,2030.0,2030.7,144
1786076340,2030.8,2034.5,2030.8,2032.5,1403
1786076400,2033.1,2033.1,2032.3,2032.5,277
1786076460,2032.5,2033.4,2031.7,2031.9,144
1786076520,2032.8,2034.0,2032.6,2033.1,287
1786076580,2033.1,2033.1,2032.6,2033.0,587
1786076640,2033.0,2034.3,2032.7,2032.8,1009
1786076700,2032.9,2035.3,2032.9,2035.3,488
1786076760,2035.3,2035.8,2032.9,2032.9,516
1786076820,2033.0,2034.3,2032.9,2033.0,588
1786076880,2033.0,2033.8,2031.0,2031.0,1005
1786076940,2031.0,2032.2,2031.0,2032.2,324
1786077000,2032.0,2033.0,2032.0,2032.1,237
1786077060,2032.1,2032.6,2032.0,2032.1,176
1786077120,2032.0,2032.0,2030.7,2031.5,307
1786077180,2031.5,2031.8,2030.7,2031.0,316
1786077240,2032.1,2032.1,2030.9,2031.0,57
1786077300,2031.6,2032.0,2030.7,2032.0,449
1786077360,2033.0,2033.2,2032.1,2032.1,158
1786077420,2033.1,2033.1,2032.2,2032.5,247
1786077480,2033.1,2033.1,2032.4,2032.6,124
1786077540,2032.0,2032.0,2031.4,2031.4,442
1786077600,2031.4,2032.8,2031.4,2032.8,318
1786077660,2032.0,2033.8,2029.0,2029.0,2286
1786077720,2029.9,2029.9,2029.0,2029.0,277
1786077780,2029.0,2029.0,2027.0,2028.0,1170
1786077840,2027.1,2028.3,2027.0,2027.1,405
1786077900,2027.1,2028.7,2026.8,2027.0,1290
1786077960,2027.1,2028.2,2027.0,2027.0,105
1786078020,2026.0,2026.9,2025.0,2025.0,942
1786078080,2025.2,2025.2,2024.0,2024.0,891
1786078140,2024.0,2024.7,2023.4,2024.0,157
1786078200,2024.5,2026.0,2024.5,2025.2,458
1786078260,2026.1,2026.7,2025.5,2025.6,87
1786078320,2025.6,2025.6,2024.5,2024.5,243
1786078380,2024.6,2025.2,2024.1,2025.2,105
1786078440,2024.2,2025.0,2024.2,2025.0,6
1786078500,2026.1,2026.1,2024.5,2024.8,79
