time,open,high,low,close,volume
1786074300,269.95,269.95,262.1,264.35,253773
1786074360,264.0,264.25,260.3,261.0,130267
1786074420,261.0,261.65,258.55,258.75,300378
1786074480,258.45,259.85,258.45,258.85,83881
1786074540,259.15,259.35,258.65,259.1,62888
1786074600,258.5,259.0,258.15,259.0,171804
1786074660,259.1,259.3,257.35,257.5,197458
1786074720,257.65,259.05,257.45,258.35,98022
1786074780,258.55,258.55,255.65,256.2,279183
1786074840,256.15,256.25,253.65,254.4,216986
1786074900,254.35,254.45,253.3,254.1,133198
1786074960,254.2,254.85,253.7,254.85,121796
1786075020,254.75,254.75,253.6,254.15,97292
1786075080,254.25,254.25,253.0,253.25,331545
1786075140,253.35,254.1,253.15,253.6,74693
1786075200,253.6,254.5,253.35,254.45,74894
1786075260,254.5,254.5,252.2,252.45,386049
1786075320,252.5,252.55,252.05,252.05,166848
1786075380,252.0,252.45,251.55,252.25,330621
1786075440,252.4,252.7,252.0,252.0,132281
1786075500,252.0,252.05,251.15,251.55,296472
1786075560,251.6,252.7,251.4,252.65,315555
1786075620,253.25,253.9,252.8,252.9,186695
1786075680,252.55,253.4,252.45,253.2,169247
1786075740,252.85,253.3,252.5,252.75,68264
1786075800,252.5,252.65,251.7,252.5,188093
1786075860,252.65,252.95,250.75,250.9,282766
1786075920,250.65,251.5,250.65,250.9,141265
1786075980,250.9,251.35,250.5,251.3,171244
1786076040,251.3,251.55,251.2,251.4,46436
1786076100,251.9,251.9,250.8,250.95,296516
1786076160,250.95,251.3,250.75,251.3,56986
1786076220,251.15,252.6,250.9,252.6,183889
1786076280,252.5,253.35,252.3,253.05,225855
1786076340,253.3,253.3,252.9,253.0,195667
1786076400,253.05,253.2,250.05,250.6,464314
1786076460,250.85,251.45,250.75,250.95,129922
1786076520,250.9,251.6,250.9,251.6,73089
1786076580,251.6,252.6,251.6,252.5,96796
1786076640,252.5,253.3,252.4,253.2,200439
1786076700,253.0,254.95,253.0,254.95,469507
1786076760,254.75,255.15,253.6,253.95,213808
1786076820,254.1,254.25,253.8,254.0,61004
1786076880,254.05,255.45,254.05,255.2,318199
1786076940,255.15,255.3,255.0,255.3,59491
1786077000,255.3,255.45,254.65,254.85,109983
1786077060,254.85,255.0,254.05,254.45,105496
1786077120,254.5,254.85,254.45,254.7,53136
1786077180,254.95,255.05,254.7,255.05,141768
1786077240,255.0,255.15,254.2,254.2,208116
1786077300,254.25,254.5,254.15,254.25,53458
1786077360,254.3,254.7,254.3,254.5,19079
1786077420,254.5,254.7,254.5,254.6,7956
1786077480,254.5,254.5,253.6,253.8,95102
1786077540,253.6,254.1,253.6,253.9,37277
1786077600,253.85,253.9,253.7,253.9,15236
1786077660,253.85,253.9,253.6,253.8,52650
1786077720,253.9,254.25,253.7,253.8,178717
1786077780,253.85,253.9,253.2,253.45,58441
1786077840,253.45,253.7,253.4,253.6,46126
1786077900,253.6,253.6,252.65,253.05,98588
1786077960,252.75,253.35,252.6,252.6,67130
1786078020,252.6,253.0,252.6,253.0,38422
1786078080,252.9,253.0,251.6,251.6,143053
1786078140,251.75,251.75,251.1,251.1,251966
1786078200,251.1,251.1,250.3,251.1,228755
1786078260,251.1,251.95,251.05,251.85,79533
1786078320,251.75,251.9,251.5,251.8,51654
1786078380,251.65,251.75,251.5,251.55,51689
1786078440,251.5,251.7,251.4,251.6,59282
1786078500,251.4,251.8,251.4,251.8,22704
1786078560,251.8,252.45,251.7,252.15,73176
1786078620,252.15,252.3,252.15,252.25,21636
1786078680,252.0,252.25,252.0,252.2,20480
1786078740,252.15,252.2,251.9,252.15,32588
1786078800,252.15,252.15,251.9,252.05,20905
1786078860,252.05,252.05,251.0,251.1,100140
1786078920,251.2,251.3,251.05,251.1,36559
1786078980,251.1,252.35,251.1,252.2,126152
1786079040,252.25,252.3,251.95,252.1,26721
1786079100,252.1,252.15,251.7,251.85,40857
1786079160,251.75,252.95,251.75,252.95,84137
1786079220,252.95,253.25,252.7,252.8,116973
1786079280,252.6,252.95,252.6,252.9,31649
1786079340,252.75,253.65,252.75,253.35,103952
1786079400,253.4,253.6,253.3,253.4,43160
1786079460,253.4,253.5,253.2,253.35,22283
1786079520,253.35,253.5,253.2,253.5,37787
1786079580,253.5,253.5,253.2,253.3,14915
1786079640,253.35,253.35,252.9,253.1,23644
1786079700,253.1,253.3,253.0,253.3,17385
1786079760,253.4,253.9,253.25,253.9,61519
1786079820,253.95,254.15,253.05,253.7,148301
1786079880,253.7,253.7,253.3,253.4,84040
1786079940,253.45,253.7,253.4,253.6,44155
1786080000,253.6,253.65,252.7,252.7,81259
1786080060,252.9,252.95,252.8,252.85,39371
1786080120,253.0,253.25,252.8,253.1,43261
1786080180,253.2,253.6,253.05,253.4,12792
1786080240,253.35,253.5,253.35,253.35,12071
1786080300,253.35,253.6,253.3,253.5,41313
1786080360,253.5,253.55,253.3,253.35,14639
1786080420,253.0,253.2,253.0,253.2,54952
1786080480,253.1,253.4,253.0,253.4,33787
1786080540,253.05,253.2,253.0,253.0,39603
1786080600,253.0,253.1,252.65,252.65,79978
1786080660,252.7,252.85,252.0,252.25,78031
1786080720,252.25,252.5,252.1,252.3,17373
1786080780,252.25,252.25,251.35,251.35,146294
1786080840,251.35,251.6,251.35,251.55,50741
1786080900,251.45,251.55,251.3,251.55,46912
1786080960,251.5,251.55,251.2,251.3,88239
1786081020,251.35,251.65,251.3,251.65,32415
1786081080,251.65,252.3,251.4,251.95,382893
1786081140,251.8,252.0,251.65,251.8,37209
1786081200,251.8,251.8,251.6,251.65,21114
1786081260,251.7,252.0,251.7,251.85,42305
1786081320,251.85,251.9,251.3,251.4,58736
1786081380,251.4,251.55,251.35,251.35,38704
1786081440,251.35,251.6,251.25,251.6,43768
1786081500,251.6,251.75,251.35,251.5,21501
1786081560,251.5,251.85,251.3,251.8,73396
1786081620,251.8,252.25,251.7,252.05,61788
1786081680,252.05,252.7,252.0,252.7,108523
1786081740,252.5,252.65,252.25,252.5,250797
1786081800,252.55,252.8,252.5,252.6,189262
1786081860,252.6,253.1,252.6,253.1,69782
1786081920,253.1,253.7,253.0,253.7,81124
1786081980,253.6,253.7,253.45,253.55,37090
1786082040,253.4,253.55,253.15,253.3,15568
1786082100,253.15,253.45,253.15,253.4,14554
1786082160,253.4,253.5,253.35,253.35,18574
1786082220,253.45,253.45,253.3,253.35,7820
1786082280,253.35,253.4,253.25,253.35,5481
1786082340,253.4,253.4,253.25,253.35,15067
