time,open,high,low,close,volume
1786074300,324.55,325.1,323.0,323.5,5532
1786074360,323.55,324.0,323.55,324.0,266
1786074420,325.15,325.15,324.05,324.05,2521
1786074480,324.0,324.4,323.95,323.95,1318
1786074540,324.15,324.15,323.95,323.95,669
1786074600,324.0,324.0,324.0,324.0,1368
1786074660,324.05,324.5,324.05,324.5,366
1786074720,324.5,324.6,324.5,324.6,900
1786074780,324.5,325.2,324.25,324.55,1851
1786074840,324.7,325.8,324.7,325.4,974
1786074900,325.05,325.05,322.55,323.0,22254
1786074960,323.3,323.3,323.0,323.0,173
1786075020,322.6,323.2,322.6,323.2,1475
1786075080,323.1,323.25,322.8,322.8,1860
1786075140,322.75,323.35,322.75,322.8,702
1786075200,323.2,323.2,322.8,322.8,75
1786075260,322.8,323.0,322.15,322.2,3032
1786075320,322.35,322.7,322.35,322.7,7
1786075380,322.5,322.5,322.35,322.35,1166
1786075440,322.4,322.4,322.4,322.4,105
1786075560,322.5,322.5,322.5,322.5,500
1786075620,322.5,322.5,322.5,322.5,88
1786075680,322.4,322.65,322.4,322.6,84
1786075740,322.4,322.4,322.35,322.35,779
1786075800,322.65,322.65,322.35,322.35,1559
1786075860,322.35,322.35,322.35,322.35,39
1786075920,322.25,322.45,322.25,322.25,485
1786075980,322.25,322.35,322.25,322.25,196
1786076040,322.25,322.3,322.25,322.3,681
1786076100,322.55,322.65,322.3,322.4,483
1786076160,322.4,322.5,322.4,322.5,105
1786076220,322.5,322.7,322.5,322.55,831
1786076280,322.75,322.75,322.55,322.7,63
1786076340,322.55,322.55,322.4,322.4,3456
1786076400,322.6,322.6,322.6,322.6,28
1786076460,322.6,322.6,322.4,322.4,2480
1786076520,322.75,322.75,322.45,322.45,109
1786076580,322.75,322.75,322.7,322.7,136
1786076640,322.5,322.5,322.5,322.5,127
1786076700,322.5,322.55,322.5,322.55,152
1786076760,322.6,322.6,322.6,322.6,35
1786076820,322.6,322.6,322.5,322.5,449
1786076880,322.5,322.5,322.5,322.5,149
1786076940,322.8,322.8,322.55,322.7,608
1786077000,322.5,322.5,322.5,322.5,62
1786077060,322.7,322.8,322.5,322.5,77
1786077120,322.5,322.7,322.5,322.55,823
1786077180,322.35,322.65,322.3,322.4,840
1786077240,322.7,322.75,322.7,322.75,9
1786077300,321.75,322.6,321.75,322.6,12367
1786077360,322.3,322.3,322.3,322.3,26
1786077420,322.4,322.4,322.4,322.4,6
1786077600,322.5,322.7,322.5,322.55,135
1786077720,322.6,322.7,322.4,322.7,118
1786077780,322.4,322.4,322.4,322.4,125
1786077840,322.45,322.65,322.4,322.65,364
1786077900,322.4,322.4,322.4,322.4,298
1786077960,322.4,322.4,322.4,322.4,32
1786078020,322.4,322.4,322.4,322.4,106
1786078080,322.3,322.3,322.0,322.05,1348
1786078140,322.15,322.15,322.15,322.15,62
1786078200,322.45,322.45,322.15,322.15,585
1786078260,322.4,322.4,322.35,322.35,2107
1786078320,322.35,322.65,322.3,322.3,272
1786078380,322.35,322.35,322.35,322.35,53
1786078500,322.3,322.55,322.3,322.3,154
1786078560,322.35,322.35,322.35,322.35,83
1786078620,322.3,322.3,322.3,322.3,137
1786078680,322.3,322.3,322.3,322.3,194
1786078740,322.6,322.6,322.4,322.4,152
1786078800,322.5,322.85,322.5,322.85,563
1786078860,322.5,322.6,322.5,322.6,658
1786078920,322.6,322.6,322.6,322.6,11
1786078980,322.5,322.8,322.5,322.8,694
1786079040,322.55,322.55,322.55,322.55,221
1786079100,322.85,322.85,322.85,322.85,1
1786079280,322.6,322.8,322.6,322.6,86
1786079340,322.85,322.85,322.85,322.85,1
1786079400,322.85,322.85,322.6,322.6,31
1786079520,322.65,322.65,322.55,322.55,662
1786079580,322.55,322.55,322.5,322.5,8
1786079640,322.7,322.7,322.5,322.5,8
1786079700,322.75,322.75,322.75,322.75,1
1786079760,322.5,322.5,322.5,322.5,15
1786079820,322.7,322.7,322.55,322.55,110
1786079880,322.8,322.85,322.55,322.85,32
1786079940,322.55,322.55,322.55,322.55,21
1786080240,322.55,322.8,322.55,322.8,54
1786080300,322.55,322.55,322.55,322.55,3
1786080360,322.65,322.85,322.65,322.85,210
1786080420,322.8,322.8,322.7,322.7,8
1786080540,322.55,322.6,322.55,322.6,976
1786080600,322.6,322.8,322.6,322.8,5
1786080720,322.65,322.65,322.6,322.6,20
1786080780,322.6,322.6,322.6,322.6,31
1786080840,322.6,322.8,322.6,322.8,3
1786080900,322.85,322.85,322.6,322.8,67
1786080960,322.8,322.85,322.8,322.85,9
1786081020,322.65,322.65,322.65,322.65,70
1786081140,322.7,322.7,322.7,322.7,105
1786081260,322.7,322.7,322.7,322.7,49
1786081320,322.7,322.7,322.7,322.7,21
1786081380,322.7,322.7,322.7,322.7,134
1786081440,322.5,322.5,322.5,322.5,1346
1786081500,322.7,322.7,322.7,322.7,2
1786081560,322.7,322.7,322.45,322.45,1350
1786081620,322.4,322.4,322.4,322.4,432
1786081680,322.7,322.7,322.4,322.4,20
1786081800,322.45,322.45,322.45,322.45,31
1786081860,322.6,322.6,322.6,322.6,54
1786081920,322.45,322.45,322.45,322.45,474
1786081980,322.75,322.75,322.75,322.75,1
1786082100,322.5,322.5,322.5,322.5,62
1786082160,322.45,322.45,322.45,322.45,462
