time,open,high,low,close,volume
1786074300,5419.5,5419.5,5362.0,5400.5,16530
1786074360,5400.0,5403.5,5353.5,5367.0,3896
1786074420,5367.0,5380.0,5366.0,5370.0,3583
1786074480,5367.5,5369.0,5348.5,5355.5,9201
1786074540,5360.0,5370.0,5358.0,5367.5,1291
1786074600,5367.5,5369.0,5359.0,5368.0,1443
1786074660,5369.0,5383.0,5368.0,5380.0,4657
1786074720,5383.0,5384.5,5372.5,5376.0,1615
1786074780,5378.0,5378.0,5372.5,5377.0,5366
1786074840,5375.0,5385.5,5375.0,5378.5,2988
1786074900,5378.5,5378.5,5370.5,5378.0,1512
1786074960,5380.0,5387.5,5378.0,5387.0,2157
1786075020,5383.0,5389.5,5377.5,5388.0,1020
1786075080,5385.0,5388.0,5377.0,5380.0,870
1786075140,5380.0,5380.0,5374.0,5378.0,689
1786075200,5377.0,5381.5,5377.0,5381.0,857
1786075260,5381.0,5381.0,5378.5,5379.5,1255
1786075320,5380.0,5383.0,5380.0,5382.0,807
1786075380,5388.5,5392.5,5387.0,5388.5,2070
1786075440,5386.5,5395.5,5386.5,5393.0,1458
1786075500,5393.0,5393.0,5388.0,5389.0,534
1786075560,5389.0,5389.5,5387.0,5389.5,88
1786075620,5390.0,5393.5,5390.0,5393.0,378
1786075680,5392.0,5398.5,5390.5,5396.0,1585
1786075740,5399.0,5404.5,5397.5,5404.5,2940
1786075800,5406.5,5431.0,5406.5,5427.5,7241
1786075860,5425.0,5427.0,5417.0,5418.5,1430
1786075920,5420.0,5436.5,5420.0,5433.5,1613
1786075980,5432.5,5442.0,5431.0,5435.0,1100
1786076040,5434.5,5453.0,5434.5,5447.0,5816
1786076100,5446.0,5449.0,5442.0,5444.0,1657
1786076160,5444.5,5448.0,5441.0,5445.0,2078
1786076220,5445.0,5445.0,5442.0,5442.0,872
1786076280,5441.0,5444.5,5441.0,5443.5,565
1786076340,5443.5,5448.0,5441.0,5441.5,2767
1786076400,5441.0,5443.0,5438.0,5439.0,685
1786076460,5440.0,5445.0,5438.0,5442.5,1257
1786076520,5447.0,5447.0,5440.5,5440.5,518
1786076580,5440.5,5443.0,5440.0,5442.0,749
1786076640,5441.5,5448.0,5441.5,5444.5,639
1786076700,5445.5,5445.5,5439.5,5442.5,821
1786076760,5445.0,5448.5,5436.0,5437.5,1271
1786076820,5437.5,5438.0,5433.5,5438.0,932
1786076880,5438.0,5438.0,5435.0,5437.5,437
1786076940,5438.5,5443.0,5438.5,5443.0,348
1786077000,5443.0,5443.0,5436.5,5436.5,280
1786077060,5435.0,5436.5,5432.0,5435.0,609
1786077120,5432.5,5434.5,5431.5,5431.5,480
1786077180,5431.5,5431.5,5427.0,5429.0,216
1786077240,5429.0,5436.0,5429.0,5436.0,901
1786077300,5436.5,5458.0,5436.5,5453.0,3839
1786077360,5454.5,5454.5,5445.0,5447.0,1007
1786077420,5448.0,5452.5,5446.0,5449.5,1032
1786077480,5448.0,5449.0,5445.0,5445.0,276
1786077540,5440.5,5446.0,5440.5,5443.0,466
1786077600,5443.0,5444.0,5442.5,5444.0,396
1786077660,5444.0,5444.5,5444.0,5444.0,558
1786077720,5444.0,5444.0,5438.0,5442.0,1640
1786077780,5436.5,5444.5,5436.5,5444.0,483
1786077840,5441.5,5447.5,5441.5,5447.0,605
1786077900,5444.0,5448.0,5444.0,5446.5,340
1786077960,5447.5,5448.5,5445.0,5448.0,86
1786078020,5445.5,5445.5,5444.0,5445.0,210
1786078080,5442.0,5442.0,5440.0,5440.0,242
1786078140,5441.5,5441.5,5438.0,5438.0,96
1786078200,5439.0,5440.5,5438.5,5439.0,189
1786078260,5438.5,5442.5,5438.0,5442.5,413
1786078320,5444.5,5444.5,5441.0,5441.0,208
1786078380,5442.0,5442.0,5437.5,5437.5,12
1786078440,5439.5,5443.0,5437.0,5442.0,886
1786078500,5442.0,5442.5,5438.0,5439.0,110
1786078560,5441.5,5442.0,5439.5,5441.5,56
1786078620,5438.5,5440.5,5438.5,5440.0,11
1786078680,5439.0,5440.5,5431.0,5436.0,1230
1786078740,5433.5,5437.0,5433.5,5433.5,76
1786078800,5435.5,5435.5,5432.0,5433.5,216
1786078860,5435.5,5441.5,5435.5,5438.5,1073
1786078920,5439.0,5439.0,5434.5,5435.0,306
1786078980,5436.0,5444.0,5436.0,5442.0,275
1786079040,5442.0,5444.0,5438.0,5444.0,497
1786079100,5444.5,5444.5,5441.5,5441.5,81
1786079160,5444.0,5444.0,5441.0,5441.0,121
