time,open,high,low,close,volume
1786074300,853.0,858.2,852.1,855.7,6747
1786074360,857.2,861.65,856.55,857.55,3942
1786074420,858.55,858.55,855.0,855.4,1347
1786074480,855.5,858.45,854.45,858.45,1812
1786074540,860.0,860.0,857.85,857.85,587
1786074600,858.5,859.2,857.9,858.5,765
1786074660,858.5,861.0,858.5,861.0,1029
1786074720,860.2,862.9,860.2,861.85,3621
1786074780,860.5,861.35,859.2,859.95,1620
1786074840,860.1,861.1,860.1,860.35,752
1786074900,860.95,860.95,858.7,858.85,1537
1786074960,858.35,858.35,857.7,858.3,906
1786075020,858.75,858.75,857.0,858.3,998
1786075080,858.75,860.3,857.95,860.3,970
1786075140,859.45,859.45,857.45,857.45,1181
1786075200,857.8,857.8,857.2,857.2,333
1786075260,857.45,858.85,857.05,858.85,746
1786075320,859.85,860.95,859.35,860.95,1422
1786075380,860.75,860.75,859.7,860.25,751
1786075440,860.2,860.2,858.7,858.7,286
1786075500,859.85,859.95,859.6,859.6,184
1786075560,859.85,859.85,859.4,859.8,187
1786075620,860.9,860.9,859.0,859.0,3441
1786075680,859.0,859.6,858.9,859.6,502
1786075740,859.6,859.75,858.4,859.75,504
1786075800,859.85,859.85,859.1,859.1,684
1786075860,858.95,860.0,858.95,859.6,526
1786075920,860.4,861.8,859.95,861.8,1796
1786075980,861.55,861.55,859.75,859.75,824
1786076040,859.85,860.35,859.6,860.15,94
1786076100,860.35,861.5,860.2,861.5,1457
1786076160,861.3,861.95,860.7,860.95,250
1786076220,861.45,861.45,860.7,861.35,156
1786076280,861.35,863.45,860.75,863.45,804
1786076340,863.55,863.55,861.45,861.9,578
1786076400,861.35,861.9,861.35,861.9,162
1786076460,862.15,862.7,862.05,862.5,1016
1786076520,862.7,862.95,862.25,862.95,769
1786076580,862.95,863.65,862.7,862.7,1403
1786076640,862.7,862.7,860.15,860.15,1013
1786076700,860.15,860.25,858.15,858.5,1929
1786076760,858.45,858.45,857.75,857.75,69
1786076820,857.75,858.0,857.3,857.55,213
1786076880,857.05,857.7,857.05,857.3,716
1786076940,858.25,858.85,858.15,858.3,143
1786077000,858.2,859.1,858.2,858.3,96
1786077060,858.3,859.1,858.3,859.0,77
1786077120,858.45,859.0,858.45,858.45,316
1786077180,858.4,858.9,855.9,855.9,3058
1786077240,856.55,857.6,856.55,857.6,875
1786077300,857.6,857.6,856.95,856.95,66
1786077360,857.45,857.95,857.15,857.15,692
1786077420,857.05,857.45,856.55,857.4,315
1786077480,856.9,857.6,856.9,857.6,66
1786077540,857.65,858.1,857.25,858.1,70
1786077600,858.2,858.2,857.3,857.85,117
1786077660,857.3,857.85,856.9,857.65,1054
1786077720,857.65,857.65,857.15,857.65,435
1786077780,857.15,858.0,856.1,856.5,1526
1786077840,857.15,857.2,857.15,857.2,4
1786077900,856.7,857.35,856.7,857.35,66
1786077960,857.25,857.85,857.25,857.85,12
1786078020,857.85,857.85,857.5,857.5,29
1786078080,857.4,857.75,857.25,857.4,223
1786078140,856.75,856.85,856.1,856.1,531
1786078200,856.5,856.5,856.1,856.1,108
1786078260,856.5,857.15,856.2,856.45,132
1786078320,857.1,857.1,856.45,857.1,11
1786078380,857.1,857.3,856.3,856.45,162
1786078440,856.55,857.2,856.55,857.15,89
1786078500,857.4,857.4,855.2,855.2,820
1786078560,855.15,855.15,854.1,854.5,1670
1786078620,854.5,854.5,854.1,854.5,109
1786078680,854.5,854.5,854.1,854.5,241
1786078740,854.5,855.15,854.35,855.1,602
1786078800,855.05,855.5,854.45,855.5,230
1786078860,856.55,857.5,856.55,856.7,662
1786078920,857.25,857.25,856.3,856.3,46
1786078980,856.5,857.0,855.9,856.6,867
1786079040,856.15,856.75,856.15,856.75,47
1786079100,856.9,856.9,856.0,856.75,186
1786079160,856.7,856.9,856.1,856.9,142
1786079220,856.95,856.95,855.95,855.95,253
1786079280,856.05,856.45,855.25,856.45,199
1786079340,856.0,857.0,855.7,857.0,330
1786079400,857.0,857.0,856.15,856.15,26
1786079460,856.35,856.35,855.75,855.75,599
1786079520,856.0,856.4,855.7,856.3,76
1786079580,855.7,857.0,855.7,856.5,1273
1786079640,856.0,856.9,855.9,856.7,189
1786079700,856.05,856.5,855.75,856.4,324
1786079760,856.4,856.95,856.4,856.95,83
1786079820,856.6,857.05,856.2,857.05,249
1786079880,856.35,856.8,856.15,856.8,469
1786079940,857.4,857.4,856.85,856.85,11
1786080000,857.25,857.25,856.2,856.8,557
1786080060,856.85,857.15,855.7,856.15,389
1786080120,856.8,857.15,856.8,857.0,30
1786080180,857.0,857.0,856.65,856.85,425
1786080240,857.0,857.25,857.0,857.0,134
1786080300,856.75,856.95,856.4,856.95,67
1786080360,856.75,857.0,856.75,857.0,23
1786080420,857.0,857.0,856.25,856.25,204
1786080480,856.8,856.9,855.7,855.7,1008
1786080540,856.15,856.95,855.55,856.2,175
1786080600,856.9,856.9,856.2,856.6,33
1786080660,856.2,856.5,856.2,856.5,64
1786080720,856.05,856.2,855.55,855.7,70
1786080780,856.35,856.35,855.5,855.95,77
1786080840,856.15,856.3,855.5,856.3,176
1786080900,856.25,856.6,856.15,856.15,466
1786080960,856.6,856.6,855.55,856.2,162
1786081020,855.55,856.05,855.35,856.0,347
1786081080,856.0,856.3,855.95,856.0,125
1786081140,855.9,856.35,855.9,856.0,147
1786081200,856.0,856.0,855.4,856.0,212
1786081260,855.8,856.0,855.8,856.0,45
1786081320,856.15,856.15,855.75,856.0,93
1786081380,856.0,856.0,855.5,856.0,187
1786081440,856.0,856.0,856.0,856.0,93
1786081500,856.0,856.0,855.65,856.0,532
1786081560,856.0,856.25,855.65,855.8,238
1786081620,856.0,856.45,856.0,856.45,57
1786081680,856.0,856.0,855.45,855.95,205
1786081740,855.45,856.25,855.35,856.25,135
1786081800,856.0,856.2,855.6,856.2,76
1786081860,856.0,856.3,855.85,856.0,156
1786081920,856.35,856.35,855.7,855.7,268
1786081980,856.0,856.0,855.65,855.65,73
1786082040,856.0,856.3,855.75,855.75,89
1786082100,856.0,856.0,855.75,856.0,238
1786082160,856.0,856.55,855.95,856.0,416
