time,open,high,low,close,volume
1786074300,409.8,411.3,409.6,411.3,84333
1786074360,411.2,412.7,411.2,412.7,37314
1786074420,412.6,413.0,411.9,411.95,25569
1786074480,411.9,411.9,411.35,411.35,5938
1786074540,411.55,411.8,411.45,411.8,8121
1786074600,412.55,413.0,412.3,412.3,16094
1786074660,412.25,412.3,412.1,412.3,2300
1786074720,412.5,412.5,412.0,412.0,5262
1786074780,411.85,413.3,411.85,413.3,12051
1786074840,413.05,413.05,412.8,412.85,4766
1786074900,412.8,412.8,412.55,412.75,2631
1786074960,412.55,412.75,412.55,412.75,2765
1786075020,412.7,412.7,412.2,412.4,2266
1786075080,412.25,412.65,412.05,412.2,4010
1786075140,412.2,412.2,411.6,411.6,6144
1786075200,412.2,412.2,411.8,411.8,6051
1786075260,411.8,411.85,411.65,411.75,1930
1786075320,411.75,411.8,411.6,411.8,1391
1786075380,411.8,412.0,411.65,411.9,2189
1786075440,412.0,412.2,411.9,412.2,2465
1786075500,412.25,412.25,412.05,412.2,2482
1786075560,412.35,412.35,411.9,411.9,7364
1786075620,411.55,411.7,411.4,411.55,6480
1786075680,411.8,412.15,411.75,412.0,1738
1786075740,412.1,412.15,412.05,412.15,1234
1786075800,412.15,412.4,412.1,412.4,4517
1786075860,412.35,412.35,412.3,412.3,653
1786075920,412.3,412.3,412.15,412.15,1914
1786075980,412.2,412.35,412.05,412.2,1263
1786076040,412.2,412.2,412.05,412.05,1427
1786076100,412.2,412.65,412.15,412.65,3119
1786076160,412.55,412.55,412.3,412.45,1773
1786076220,412.3,412.45,412.05,412.15,3811
1786076280,412.1,412.4,412.1,412.3,1608
1786076340,412.3,412.55,412.3,412.55,1603
1786076400,412.55,412.55,412.45,412.55,1393
1786076460,412.45,412.5,412.2,412.5,4373
1786076520,412.5,412.5,412.5,412.5,528
1786076580,412.35,412.65,412.35,412.65,3304
1786076640,412.75,413.45,412.75,412.9,13296
1786076700,413.0,413.1,412.85,413.1,1898
