time,open,high,low,close,volume
1786074300,1830.1,1830.1,1823.2,1827.6,1423
1786074360,1828.5,1830.5,1820.8,1823.4,675
1786074420,1824.0,1824.8,1824.0,1824.8,34
1786074480,1824.8,1825.8,1824.0,1824.7,175
1786074540,1823.2,1824.8,1823.2,1823.6,106
1786074600,1823.2,1825.1,1821.6,1821.6,662
1786074660,1820.8,1820.8,1820.1,1820.1,53
1786074720,1821.1,1821.9,1821.0,1821.9,135
1786074780,1825.2,1827.0,1825.2,1827.0,225
1786074840,1826.7,1826.9,1824.5,1824.5,113
1786074900,1823.3,1824.7,1823.1,1823.1,322
1786074960,1824.3,1824.3,1824.0,1824.0,135
1786075020,1823.9,1823.9,1816.8,1819.2,704
1786075080,1815.8,1818.0,1801.9,1805.0,13133
1786075140,1804.1,1804.5,1794.0,1802.9,7362
1786075200,1802.0,1806.5,1802.0,1806.5,299
1786075260,1806.5,1806.5,1805.5,1806.4,426
1786075320,1806.4,1807.3,1806.4,1807.3,101
1786075380,1806.4,1807.2,1806.1,1806.1,53
1786075440,1806.9,1806.9,1806.9,1806.9,1
1786075500,1807.8,1807.8,1807.8,1807.8,70
1786075620,1807.0,1807.8,1807.0,1807.0,87
1786075680,1806.0,1806.0,1806.0,1806.0,411
1786075740,1806.7,1807.6,1806.1,1806.7,272
1786075800,1806.7,1806.7,1806.7,1806.7,318
1786075920,1806.8,1807.7,1806.8,1807.5,120
1786076040,1807.2,1807.2,1807.2,1807.2,5
1786076100,1807.4,1808.4,1807.4,1808.4,30
1786076160,1807.7,1807.7,1807.7,1807.7,102
1786076220,1808.4,1808.4,1807.7,1807.7,2
1786076280,1807.7,1808.5,1807.7,1808.5,62
1786076340,1809.6,1809.6,1809.6,1809.6,205
1786076400,1809.5,1809.5,1809.5,1809.5,2
1786076460,1810.0,1810.6,1810.0,1810.6,59
1786076520,1809.0,1809.0,1809.0,1809.0,1
1786076580,1809.4,1809.4,1809.4,1809.4,5
1786076640,1808.7,1809.8,1808.5,1809.3,68
1786076700,1809.4,1809.4,1809.4,1809.4,1
1786076760,1808.5,1809.0,1808.5,1809.0,316
1786076820,1810.9,1816.0,1810.9,1815.3,4306
1786076880,1811.7,1813.4,1811.7,1813.3,187
1786076940,1811.8,1812.8,1811.8,1812.8,3
1786077000,1814.9,1815.0,1814.1,1815.0,615
1786077060,1815.0,1815.0,1814.4,1814.4,54
1786077120,1814.0,1814.1,1813.0,1813.9,34
1786077180,1813.9,1813.9,1813.9,1813.9,11
1786077240,1814.6,1814.6,1814.5,1814.5,222
1786077300,1812.8,1813.8,1811.7,1813.8,1232
1786077360,1814.0,1814.0,1812.7,1812.7,11
1786077420,1813.4,1813.4,1813.4,1813.4,22
1786077480,1813.5,1813.5,1813.5,1813.5,2
1786077540,1813.5,1813.5,1813.5,1813.5,51
1786077600,1814.4,1814.7,1814.1,1814.7,25
1786077660,1814.3,1814.9,1814.3,1814.9,62
1786077720,1814.8,1814.8,1814.3,1814.7,79
1786077780,1814.1,1814.1,1813.7,1813.7,5
1786077840,1813.7,1813.7,1813.7,1813.7,3
1786077960,1813.4,1813.4,1813.4,1813.4,11
1786078020,1813.4,1813.4,1813.4,1813.4,60
1786078080,1813.6,1813.6,1812.3,1812.8,41
