time,open,high,low,close,volume
1786074300,1775.0,1779.2,1762.0,1774.9,63361
1786074360,1773.3,1789.9,1770.0,1774.9,45317
1786074420,1774.9,1784.9,1772.6,1781.1,29178
1786074480,1779.5,1799.0,1779.5,1797.4,60349
1786074540,1795.8,1814.0,1793.0,1807.0,84871
1786074600,1814.8,1822.9,1807.1,1812.8,71880
1786074660,1812.8,1812.8,1804.3,1807.5,21525
1786074720,1808.4,1819.0,1807.3,1815.3,54070
1786074780,1816.9,1816.9,1805.1,1812.0,8938
1786074840,1812.8,1819.0,1812.0,1813.0,23749
1786074900,1813.9,1818.6,1808.0,1813.8,17555
1786074960,1812.6,1818.0,1810.0,1814.6,7351
1786075020,1817.4,1824.0,1813.4,1818.1,29712
1786075080,1818.0,1828.6,1815.0,1826.3,61668
1786075140,1825.0,1830.0,1822.8,1828.4,32186
1786075200,1829.0,1835.0,1823.0,1824.0,48029
1786075260,1824.0,1827.0,1821.0,1821.0,11121
1786075320,1821.0,1821.7,1814.1,1815.1,13566
1786075380,1814.6,1814.6,1808.6,1810.1,20183
1786075440,1810.1,1814.1,1810.0,1812.5,5994
1786075500,1812.1,1815.8,1805.8,1810.8,22338
1786075560,1810.5,1811.2,1806.5,1811.2,9615
1786075620,1811.2,1811.9,1801.0,1801.9,13957
1786075680,1801.4,1802.9,1797.5,1798.9,16052
1786075740,1798.5,1798.9,1795.4,1798.3,10531
1786075800,1796.6,1800.0,1795.0,1799.8,9560
1786075860,1799.8,1802.9,1797.4,1801.4,6848
1786075920,1801.0,1804.9,1798.9,1800.4,14758
1786075980,1800.6,1802.2,1800.0,1800.0,2686
1786076040,1799.3,1801.2,1798.7,1800.2,6543
1786076100,1800.1,1801.8,1791.8,1793.9,8421
1786076160,1795.1,1795.5,1791.0,1793.1,4424
1786076220,1793.1,1793.7,1791.1,1792.0,3027
1786076280,1788.5,1790.0,1787.8,1789.2,15079
1786076340,1788.1,1791.0,1788.1,1790.6,2417
1786076400,1790.0,1790.8,1790.0,1790.1,2082
1786076460,1791.0,1792.8,1791.0,1792.8,1457
1786076520,1793.2,1793.2,1787.8,1788.3,4143
1786076580,1788.4,1791.8,1788.4,1789.8,1371
1786076640,1789.7,1791.4,1789.1,1789.1,493
1786076700,1789.0,1789.0,1787.0,1787.8,2525
1786076760,1796.7,1798.2,1792.6,1792.6,12338
1786076820,1791.7,1793.4,1788.0,1788.8,3300
1786076880,1788.0,1789.0,1783.2,1784.0,7750
1786076940,1784.0,1786.7,1783.0,1783.0,10075
1786077000,1782.9,1783.6,1780.1,1781.4,3728
1786077060,1782.9,1783.8,1780.8,1781.4,1435
1786077120,1781.3,1784.0,1781.3,1782.2,1197
1786077180,1782.2,1784.5,1778.0,1778.0,7598
1786077240,1780.5,1780.5,1778.0,1779.0,772
1786077300,1779.0,1781.7,1778.4,1781.6,7828
1786077360,1780.7,1782.1,1779.5,1781.0,1706
1786077420,1781.0,1782.0,1779.4,1782.0,4300
1786077480,1783.3,1783.3,1780.0,1781.8,2487
1786077540,1781.5,1782.4,1780.6,1781.8,1778
1786077600,1782.7,1782.7,1780.8,1782.4,716
1786077660,1782.7,1782.7,1781.1,1781.1,389
1786077720,1782.0,1782.7,1782.0,1782.0,623
1786077780,1782.0,1782.0,1781.1,1781.1,520
1786077840,1781.1,1782.0,1781.1,1782.0,431
1786077900,1782.0,1782.7,1782.0,1782.0,1271
1786077960,1782.3,1782.4,1780.0,1780.0,2171
1786078020,1780.1,1780.1,1779.0,1779.0,1463
1786078080,1779.8,1781.0,1779.2,1780.0,1302
1786078140,1779.8,1780.0,1779.0,1779.5,396
1786078200,1779.8,1780.2,1777.0,1778.8,2411
1786078260,1778.8,1780.2,1778.7,1779.6,936
1786078320,1782.0,1782.2,1780.1,1780.1,831
1786078380,1780.0,1780.5,1779.6,1779.7,247
1786078440,1779.2,1779.2,1778.0,1778.0,251
1786078500,1778.1,1781.0,1778.1,1781.0,1030
1786078560,1781.6,1781.6,1778.5,1778.5,555
1786078620,1778.5,1780.2,1778.5,1780.1,366
1786078680,1778.6,1781.3,1777.2,1780.2,9790
1786078740,1780.1,1783.1,1779.5,1782.0,5005
1786078800,1781.1,1782.1,1780.5,1782.1,454
1786078860,1782.4,1782.4,1781.2,1781.3,1589
1786078920,1782.0,1785.1,1779.6,1780.9,7328
1786078980,1780.1,1782.3,1780.0,1781.1,755
1786079040,1781.5,1781.5,1773.4,1773.4,4132
1786079100,1773.5,1775.7,1773.5,1774.0,823
1786079160,1774.9,1777.2,1774.0,1774.9,2883
