time,open,high,low,close,volume
1786074300,14220.0,14220.0,14168.0,14180.0,2091
1786074360,14177.0,14182.0,14165.0,14171.0,2232
1786074420,14177.0,14209.0,14177.0,14191.0,1816
1786074480,14186.0,14192.0,14184.0,14184.0,858
1786074540,14185.0,14189.0,14168.0,14175.0,847
1786074600,14183.0,14216.0,14180.0,14216.0,1361
1786074660,14232.0,14245.0,14224.0,14224.0,4177
1786074720,14218.0,14271.0,14215.0,14255.0,3972
1786074780,14255.0,14265.0,14240.0,14265.0,1590
1786074840,14264.0,14280.0,14260.0,14275.0,3750
1786074900,14273.0,14277.0,14260.0,14260.0,913
1786074960,14265.0,14266.0,14250.0,14253.0,915
1786075020,14246.0,14246.0,14222.0,14225.0,1803
1786075080,14226.0,14226.0,14184.0,14185.0,1546
1786075140,14180.0,14198.0,14180.0,14193.0,688
1786075200,14189.0,14189.0,14177.0,14184.0,1315
1786075260,14198.0,14198.0,14182.0,14193.0,336
1786075320,14192.0,14208.0,14189.0,14204.0,450
1786075380,14201.0,14215.0,14201.0,14215.0,913
1786075440,14215.0,14215.0,14195.0,14201.0,1100
1786075500,14209.0,14216.0,14197.0,14214.0,373
1786075560,14207.0,14211.0,14200.0,14210.0,575
1786075620,14215.0,14222.0,14201.0,14209.0,587
1786075680,14204.0,14220.0,14204.0,14220.0,415
1786075740,14220.0,14220.0,14206.0,14206.0,171
1786075800,14210.0,14210.0,14204.0,14210.0,255
1786075860,14210.0,14210.0,14205.0,14205.0,128
1786075920,14205.0,14219.0,14205.0,14215.0,202
1786075980,14215.0,14219.0,14209.0,14214.0,369
1786076040,14217.0,14219.0,14211.0,14219.0,176
1786076100,14225.0,14225.0,14214.0,14214.0,1442
1786076160,14213.0,14219.0,14207.0,14209.0,375
1786076220,14209.0,14209.0,14203.0,14208.0,395
1786076280,14208.0,14225.0,14208.0,14225.0,464
1786076340,14230.0,14250.0,14230.0,14240.0,2680
1786076400,14218.0,14218.0,14205.0,14213.0,2338
1786076460,14212.0,14220.0,14209.0,14214.0,363
1786076520,14214.0,14224.0,14214.0,14220.0,207
1786076580,14217.0,14228.0,14217.0,14228.0,184
1786076640,14228.0,14228.0,14218.0,14218.0,391
1786076700,14225.0,14225.0,14217.0,14221.0,85
1786076760,14218.0,14233.0,14217.0,14225.0,577
1786076820,14223.0,14225.0,14211.0,14221.0,1872
1786076880,14221.0,14239.0,14218.0,14239.0,239
1786076940,14240.0,14250.0,14240.0,14250.0,468
1786077000,14250.0,14265.0,14250.0,14265.0,797
1786077060,14265.0,14294.0,14265.0,14280.0,7960
1786077120,14279.0,14280.0,14255.0,14256.0,577
1786077180,14256.0,14256.0,14240.0,14242.0,566
1786077240,14233.0,14233.0,14211.0,14211.0,468
1786077300,14224.0,14224.0,14212.0,14212.0,292
1786077360,14215.0,14228.0,14215.0,14224.0,406
