time,open,high,low,close,volume
1786074300,637.85,641.65,635.05,640.5,208015
1786074360,640.4,640.8,639.65,640.75,39310
1786074420,641.25,642.4,641.05,642.4,44752
1786074480,642.6,642.95,642.5,642.5,16784
1786074540,642.45,642.5,641.95,641.95,12852
1786074600,642.1,642.7,642.1,642.7,9742
1786074660,642.9,644.0,642.65,644.0,12891
1786074720,644.2,644.2,643.45,644.15,28743
1786074780,645.0,645.0,643.2,643.45,22914
1786074840,643.35,643.35,642.15,642.15,12512
1786074900,642.4,642.65,642.25,642.65,3404
1786074960,642.4,642.5,642.15,642.5,23490
1786075020,642.5,642.5,642.0,642.2,5880
1786075080,642.5,642.5,641.35,641.6,11426
1786075140,641.2,641.2,640.8,641.0,11938
1786075200,641.0,641.0,640.1,640.1,4377
1786075260,640.1,640.35,639.4,639.5,12232
1786075320,639.75,641.05,639.75,641.05,15856
1786075380,640.75,640.8,640.25,640.8,3131
1786075440,640.55,642.1,640.55,642.1,5784
1786075500,642.1,642.85,642.0,642.3,13501
1786075560,642.0,642.8,642.0,642.8,13443
1786075620,642.55,642.75,642.1,642.35,12284
1786075680,642.5,642.5,642.2,642.4,2051
1786075740,642.8,642.8,642.3,642.4,2592
1786075800,642.45,642.45,640.55,640.55,13065
1786075860,640.5,640.5,640.3,640.5,4532
1786075920,640.9,643.2,640.6,642.65,28075
1786075980,642.65,642.65,642.15,642.3,1526
1786076040,642.4,643.3,642.4,643.3,3470
1786076100,643.5,644.3,643.5,643.5,10337
1786076160,643.5,643.5,642.3,642.5,5138
1786076220,642.5,642.65,642.3,642.6,1952
1786076280,642.35,642.6,642.2,642.55,13712
1786076340,642.55,642.75,642.0,642.6,16552
1786076400,642.9,643.1,642.55,643.1,7457
1786076460,643.0,643.2,642.8,643.15,1227
1786076520,643.0,643.15,642.55,642.8,7515
1786076580,642.85,643.5,642.8,643.35,3115
1786076640,643.25,645.7,643.25,645.65,29117
1786076700,645.65,646.5,645.2,646.1,35023
1786076760,646.1,647.0,645.55,646.1,24320
1786076820,646.1,646.2,645.6,645.6,6220
1786076880,645.75,646.0,645.45,646.0,4210
1786076940,645.9,645.9,645.5,645.5,7071
1786077000,645.5,645.5,644.8,645.3,6287
1786077060,645.0,645.7,644.6,645.1,5824
1786077120,645.35,645.35,644.4,644.4,1271
1786077180,644.4,644.9,644.4,644.7,630
1786077240,644.8,644.8,644.4,644.8,649
1786077300,644.8,644.8,644.2,644.2,2111
1786077360,644.2,644.7,644.2,644.5,3984
1786077420,644.7,644.7,644.5,644.5,1737
1786077480,644.55,644.85,644.5,644.85,4984
1786077540,644.75,644.75,644.55,644.75,863
1786077600,644.75,644.75,644.5,644.55,1517
1786077660,644.6,644.6,644.3,644.5,588
1786077720,644.45,644.45,643.55,643.55,4214
1786077780,643.6,643.85,643.6,643.8,1748
1786077840,643.6,644.3,643.6,644.0,2588
1786077900,644.25,644.25,643.9,643.9,1179
1786077960,643.85,643.85,643.45,643.6,9394
1786078020,643.65,643.9,643.5,643.6,3066
1786078080,643.6,643.85,643.4,643.5,20012
1786078140,643.6,643.75,643.4,643.7,2239
1786078200,643.7,643.95,643.45,643.95,1645
1786078260,643.9,644.3,643.9,644.3,5315
1786078320,644.55,644.75,644.0,644.0,4582
1786078380,644.15,644.4,643.55,643.55,2836
1786078440,643.75,643.9,643.6,643.85,3609
1786078500,643.85,643.95,643.85,643.95,1807
1786078560,643.9,643.9,643.2,643.25,3098
1786078620,643.2,643.35,643.05,643.35,70416
1786078680,643.4,643.45,643.05,643.25,8722
1786078740,643.4,643.5,643.05,643.05,10467
1786078800,643.15,643.15,642.55,642.8,45295
1786078860,642.45,642.5,642.05,642.4,10747
1786078920,642.8,643.3,642.8,643.2,6453
1786078980,643.25,644.35,643.25,644.35,5257
1786079040,644.3,644.3,643.5,643.5,2301
1786079100,643.5,643.5,643.1,643.1,1887
1786079160,643.0,643.2,642.9,642.9,3678
1786079220,643.0,643.4,643.0,643.2,2227
1786079280,643.0,643.55,643.0,643.55,1895
1786079340,643.85,643.85,643.5,643.7,2404
1786079400,643.7,643.7,643.25,643.45,1687
1786079460,643.45,643.45,643.3,643.3,880
1786079520,643.2,643.95,643.2,643.85,16444
1786079580,644.15,644.2,643.8,644.0,1113
1786079640,643.65,644.0,643.65,643.75,1505
1786079700,643.75,643.75,643.3,643.5,2190
1786079760,643.4,643.9,643.4,643.75,775
1786079820,643.9,644.0,643.5,644.0,2300
1786079880,643.95,644.2,643.95,644.1,1613
1786079940,644.4,644.65,644.4,644.5,7089
1786080000,644.1,644.35,643.6,643.6,4209
1786080060,643.8,643.9,643.3,643.9,4017
1786080120,643.95,643.95,643.4,643.7,1911
1786080180,643.65,644.4,643.65,644.3,1895
1786080240,644.25,644.4,644.15,644.3,1571
1786080300,644.3,644.3,643.75,643.95,790
1786080360,643.9,643.9,643.75,643.75,524
1786080420,643.75,643.75,643.55,643.6,533
1786080480,643.6,643.75,643.5,643.7,1405
1786080540,643.7,643.7,643.0,643.0,4422
1786080600,643.0,643.0,642.5,643.0,6318
1786080660,643.0,643.45,642.55,642.55,632
1786080720,642.85,642.95,642.8,642.95,656
1786080780,643.4,643.4,642.7,642.95,8797
1786080840,642.95,642.95,642.5,642.6,3306
1786080900,642.6,643.6,642.6,643.4,3460
1786080960,643.5,643.5,643.35,643.45,331
1786081020,643.4,643.4,642.95,643.25,1605
1786081080,643.25,643.55,643.25,643.25,1436
1786081140,643.3,643.3,642.8,643.0,336
1786081200,643.0,643.5,642.7,643.45,2719
1786081260,643.45,643.45,643.4,643.4,1745
1786081320,643.35,643.35,643.25,643.3,533
1786081380,643.3,643.3,643.15,643.3,1241
1786081440,643.2,643.3,643.15,643.3,1657
1786081500,643.3,643.3,643.2,643.2,1135
1786081560,643.05,643.15,643.0,643.0,615
1786081620,643.05,643.55,643.05,643.55,2423
1786081680,643.55,643.55,642.8,643.4,1422
1786081740,643.4,644.25,643.4,644.25,6894
1786081800,644.1,644.2,643.9,644.2,2399
1786081860,644.3,644.6,644.3,644.6,2655
1786081920,644.6,644.6,644.25,644.3,3423
1786081980,644.3,644.45,644.3,644.4,1569
1786082040,644.4,644.6,644.4,644.6,1534
1786082100,644.6,644.85,644.5,644.7,8616
1786082160,644.8,645.1,644.8,645.1,4375
1786082220,645.1,645.2,645.1,645.2,3266
1786082280,645.15,645.25,645.15,645.25,744
1786082340,645.2,645.2,645.0,645.2,4134
1786082400,645.2,645.2,645.0,645.0,4308
1786082460,645.1,645.15,644.95,645.0,4030
1786082520,645.0,645.0,644.7,644.95,688
1786082580,644.9,645.0,644.9,644.95,711
1786082640,644.95,645.0,644.75,645.0,1613
1786082700,645.0,645.15,645.0,645.15,4692
1786082760,645.15,645.15,645.0,645.0,951
1786082820,645.1,645.1,645.05,645.1,418
1786082880,645.1,645.1,645.0,645.1,2023
1786082940,645.1,645.1,645.0,645.0,1859
1786083000,645.1,645.2,645.0,645.2,3793
1786083060,645.1,645.3,645.0,645.3,1427
1786083120,645.3,645.3,645.05,645.2,1072
1786083180,645.3,645.3,645.3,645.3,783
1786083240,645.3,645.3,645.2,645.2,998
1786083300,645.2,645.25,645.0,645.2,1874
1786083360,645.2,645.2,645.0,645.1,1459
1786083420,645.2,645.2,644.95,645.2,673
1786083480,645.2,645.2,644.7,644.7,1074
1786083540,644.7,644.7,644.2,644.3,692
1786083600,644.3,644.3,644.05,644.05,2833
1786083660,644.0,644.3,644.0,644.1,1976
1786083720,644.1,644.3,643.95,644.1,450
1786083780,644.3,644.3,644.25,644.25,2819
1786083840,644.25,644.25,644.0,644.0,827
1786083900,644.0,644.5,644.0,644.5,2229
1786083960,644.5,644.85,644.5,644.65,679
1786084020,644.85,644.85,644.45,644.7,1063
1786084080,644.65,644.7,644.5,644.65,371
1786084140,644.65,644.95,644.4,644.95,1447
1786084200,645.1,645.3,645.05,645.3,8204
1786084260,645.3,645.4,644.4,644.4,6423
1786084320,644.65,644.65,643.85,643.9,911
1786084380,643.85,644.35,643.85,644.35,1448
1786084440,644.35,644.7,644.35,644.35,2115
1786084500,644.35,644.7,644.35,644.5,1402
1786084560,644.5,644.9,644.5,644.9,1278
1786084620,644.7,644.7,644.4,644.4,852
1786084680,644.25,644.6,644.25,644.45,779
1786084740,644.5,644.6,644.25,644.6,1517
1786084800,644.45,644.55,644.25,644.5,1246
