time,open,high,low,close,volume
1786074300,3937.7,3948.4,3931.2,3931.2,3452
1786074360,3935.9,3944.9,3935.9,3944.9,2593
1786074420,3936.5,3940.7,3936.5,3936.7,1249
1786074480,3935.9,3939.7,3935.9,3939.7,590
1786074540,3939.7,3942.4,3937.8,3937.8,1425
1786074600,3939.1,3944.1,3939.1,3941.5,320
1786074660,3941.5,3943.7,3940.0,3940.7,2017
1786074720,3942.0,3942.5,3937.1,3937.1,1520
1786074780,3935.5,3942.5,3935.5,3939.6,859
1786074840,3940.9,3942.5,3939.1,3940.8,783
1786074900,3940.1,3942.0,3937.1,3940.5,3066
1786074960,3941.7,3944.9,3940.8,3940.9,983
1786075020,3944.2,3944.6,3941.2,3943.0,1024
1786075080,3943.4,3943.7,3940.7,3941.2,991
1786075140,3941.2,3942.4,3937.1,3939.1,3085
1786075200,3940.8,3940.8,3937.1,3939.7,565
1786075260,3940.2,3940.9,3939.3,3939.4,603
1786075320,3938.2,3940.5,3938.2,3940.2,133
1786075380,3939.1,3940.9,3939.1,3940.2,194
1786075440,3938.8,3940.1,3938.0,3939.1,550
1786075500,3938.2,3940.3,3938.0,3938.1,104
1786075560,3939.4,3939.5,3939.3,3939.5,485
1786075620,3938.0,3938.5,3937.1,3938.0,540
1786075680,3936.6,3937.5,3936.2,3937.3,438
1786075740,3936.3,3937.3,3936.3,3936.4,116
1786075800,3936.1,3936.6,3936.0,3936.0,166
1786075860,3936.6,3938.0,3936.4,3938.0,305
1786075920,3936.6,3938.5,3936.6,3936.8,215
1786075980,3938.5,3938.6,3936.7,3936.7,286
1786076040,3936.7,3938.4,3936.7,3936.7,342
1786076100,3938.5,3943.0,3938.5,3940.6,1448
1786076160,3940.6,3942.0,3939.4,3940.2,208
1786076220,3940.1,3941.5,3940.1,3941.3,183
1786076280,3940.5,3941.7,3940.2,3940.2,123
1786076340,3940.6,3940.6,3936.0,3936.3,1168
1786076400,3938.4,3940.2,3937.0,3937.0,780
1786076460,3938.3,3939.7,3938.0,3939.7,224
1786076520,3938.1,3939.7,3938.0,3938.0,234
1786076580,3939.3,3939.3,3938.0,3938.0,195
1786076640,3939.3,3939.3,3937.2,3937.4,89
1786076700,3937.2,3939.6,3937.2,3938.0,390
1786076760,3939.0,3939.3,3939.0,3939.3,126
1786076820,3939.1,3939.4,3938.5,3939.0,211
1786076880,3939.2,3939.4,3937.5,3938.0,258
1786076940,3939.3,3939.4,3937.5,3939.4,182
1786077000,3937.5,3939.4,3937.5,3938.0,301
1786077060,3937.1,3939.8,3937.0,3939.3,377
1786077120,3937.0,3938.4,3937.0,3937.1,303
1786077180,3935.0,3935.4,3932.7,3933.6,1966
1786077240,3933.1,3933.5,3928.0,3929.6,4889
1786077300,3929.6,3930.0,3929.4,3930.0,289
1786077360,3929.6,3929.9,3929.3,3929.5,122
1786077420,3929.5,3929.9,3929.3,3929.9,219
1786077480,3929.9,3929.9,3929.3,3929.3,24
1786077540,3929.1,3930.0,3929.1,3930.0,194
1786077600,3930.0,3930.5,3929.4,3929.5,276
1786077660,3929.1,3933.9,3929.1,3930.9,1813
1786077720,3932.8,3933.0,3931.3,3931.5,436
1786077780,3931.0,3933.6,3931.0,3932.5,295
1786077840,3932.5,3933.4,3931.1,3931.4,527
1786077900,3931.4,3931.8,3929.9,3929.9,665
1786077960,3931.4,3931.4,3929.5,3930.0,487
1786078020,3930.0,3930.0,3929.6,3929.6,823
1786078080,3929.7,3929.7,3927.3,3928.2,2424
1786078140,3928.1,3928.1,3925.1,3925.9,427
1786078200,3926.0,3926.4,3925.1,3925.1,192
1786078260,3925.2,3925.2,3920.0,3923.9,7964
1786078320,3923.4,3924.1,3922.1,3922.5,419
1786078380,3922.5,3925.0,3921.2,3924.0,310
1786078440,3925.0,3927.0,3922.7,3924.1,3761
1786078500,3922.5,3924.1,3922.2,3923.7,618
1786078560,3923.1,3923.6,3922.5,3923.6,219
1786078620,3922.5,3923.4,3920.7,3922.2,270
1786078680,3922.2,3922.4,3920.5,3922.4,626
1786078740,3920.0,3921.6,3920.0,3920.2,227
1786078800,3921.1,3921.1,3920.5,3920.9,424
1786078860,3920.3,3921.1,3919.5,3919.9,1428
1786078920,3919.9,3920.2,3919.7,3920.0,712
