time,open,high,low,close,volume
1786074300,1170.0,1170.0,1165.0,1168.1,20417
1786074360,1167.8,1167.8,1166.7,1167.3,7235
1786074420,1166.5,1169.2,1166.3,1169.2,6628
1786074480,1169.2,1169.2,1167.1,1168.0,1985
1786074540,1168.7,1169.0,1167.8,1167.8,4120
1786074600,1168.2,1169.2,1167.6,1169.2,1997
1786074660,1168.6,1169.0,1168.6,1168.7,692
1786074720,1168.6,1168.6,1167.0,1167.0,2464
1786074780,1166.9,1167.4,1166.9,1167.1,3865
1786074840,1167.3,1167.8,1167.0,1167.1,2612
1786074900,1167.0,1167.2,1166.5,1166.9,1687
1786074960,1166.9,1172.0,1166.9,1171.1,6821
1786075020,1171.3,1171.7,1169.2,1170.6,3305
1786075080,1171.0,1171.9,1170.5,1171.5,2634
1786075140,1171.4,1171.6,1171.0,1171.5,1392
1786075200,1171.5,1171.5,1170.5,1170.5,1878
1786075260,1169.5,1170.3,1169.5,1169.6,1735
1786075320,1170.0,1170.0,1169.0,1169.0,1126
1786075380,1169.3,1169.3,1168.5,1168.5,2104
1786075440,1168.5,1168.9,1168.3,1168.9,1314
1786075500,1168.9,1169.0,1168.8,1168.9,1375
1786075560,1168.0,1168.9,1168.0,1168.8,798
1786075620,1168.8,1169.9,1168.1,1168.9,7271
1786075680,1168.9,1169.4,1168.9,1169.4,159
1786075740,1169.4,1169.4,1168.3,1168.4,361
1786075800,1168.4,1168.6,1168.3,1168.5,853
1786075860,1168.5,1168.5,1168.2,1168.2,318
1786075920,1168.2,1168.5,1168.2,1168.4,1587
1786075980,1168.4,1169.3,1168.4,1168.6,1284
1786076040,1168.8,1168.8,1168.1,1168.7,1694
1786076100,1169.5,1169.6,1169.1,1169.4,801
1786076160,1169.2,1169.6,1168.8,1169.6,402
1786076220,1169.6,1169.7,1169.4,1169.7,2356
1786076280,1169.6,1170.9,1169.6,1169.7,9284
1786076340,1169.7,1169.8,1168.2,1168.2,3936
1786076400,1168.2,1168.8,1168.2,1168.6,1600
1786076460,1168.6,1168.6,1168.3,1168.6,138
1786076520,1168.5,1168.5,1167.8,1167.8,1624
1786076580,1167.7,1167.7,1167.3,1167.6,306
1786076640,1167.4,1167.6,1167.3,1167.5,964
1786076700,1167.5,1167.5,1167.2,1167.2,279
1786076760,1167.3,1167.3,1167.0,1167.0,1110
1786076820,1166.9,1168.3,1166.9,1167.9,1428
1786076880,1168.2,1168.2,1167.9,1168.2,437
1786076940,1168.4,1168.8,1168.2,1168.3,22966
1786077000,1167.7,1167.9,1166.6,1166.6,7249
1786077060,1167.1,1167.1,1166.9,1167.0,1104
1786077120,1166.8,1167.0,1166.8,1166.8,1479
1786077180,1166.5,1166.5,1166.1,1166.5,2079
1786077240,1166.5,1166.5,1166.3,1166.3,622
1786077300,1166.8,1166.8,1166.3,1166.3,777
1786077360,1166.7,1166.9,1166.2,1166.8,982
1786077420,1166.8,1167.0,1166.2,1167.0,795
1786077480,1167.5,1167.5,1167.0,1167.1,347
1786077540,1167.4,1167.6,1166.8,1167.2,906
1786077600,1167.3,1167.3,1166.4,1166.6,927
1786077660,1167.0,1167.0,1166.3,1166.5,941
1786077720,1166.3,1166.9,1166.2,1166.2,1962
1786077780,1166.2,1166.2,1165.2,1165.3,2134
1786077840,1165.8,1165.8,1165.2,1165.7,602
1786077900,1165.7,1165.7,1165.5,1165.5,904
1786077960,1165.5,1165.5,1164.3,1164.3,15978
1786078020,1164.5,1164.5,1163.5,1164.3,2108
