time,open,high,low,close,volume
1786074300,409.0,410.1,407.4,408.95,8856
1786074360,408.95,408.95,408.6,408.8,615
1786074420,409.2,409.45,409.2,409.2,798
1786074480,409.2,409.7,409.05,409.7,3420
1786074540,409.7,410.25,409.7,410.25,2197
1786074600,410.3,410.5,410.0,410.0,1014
1786074660,409.9,410.0,409.15,410.0,4156
1786074720,410.0,410.0,409.75,409.75,1062
1786074780,409.55,409.55,408.8,409.55,280
1786074840,409.25,409.65,409.25,409.45,428
1786074900,408.6,408.6,408.25,408.4,3269
1786075020,408.9,409.25,408.9,409.25,586
1786075080,409.0,409.0,408.1,408.1,3016
1786075140,407.9,407.9,406.55,406.55,9433
1786075200,406.7,406.7,406.65,406.65,282
1786075260,406.5,406.5,405.4,405.45,9952
1786075320,405.95,405.95,405.85,405.95,114
1786075380,406.0,406.45,405.75,405.75,3753
1786075440,405.7,405.7,405.45,405.7,13
1786075500,405.5,406.35,405.3,406.3,1182
1786075560,406.25,406.25,405.95,406.1,1024
1786075620,406.15,406.15,405.3,405.5,3953
1786075680,405.45,405.85,405.3,405.85,1586
1786075740,406.2,406.45,406.2,406.45,392
1786075800,406.5,406.5,406.5,406.5,448
1786075860,406.45,406.5,406.45,406.5,94
1786075920,406.25,406.5,406.25,406.4,375
1786075980,406.9,407.05,406.85,407.05,603
1786076040,407.4,407.4,407.4,407.4,1
1786076100,408.1,408.6,408.1,408.2,1425
1786076160,408.4,408.95,408.4,408.7,2082
1786076220,409.2,409.2,409.0,409.0,431
1786076280,408.85,408.85,408.45,408.45,155
1786076340,407.75,408.6,407.75,408.0,10164
1786076400,408.8,408.8,408.8,408.8,1
1786076460,409.0,409.4,409.0,409.1,662
1786076520,409.7,409.7,409.7,409.7,747
1786076580,409.95,409.95,409.9,409.9,1382
1786076640,409.7,409.95,409.7,409.75,188
1786076700,409.85,409.9,409.5,409.65,462
1786076760,409.7,409.7,409.7,409.7,124
1786076820,409.65,409.65,409.35,409.35,37
1786076880,409.7,409.7,409.4,409.7,300
1786076940,409.7,409.7,409.7,409.7,5
1786077000,409.7,409.7,409.7,409.7,150
1786077060,409.7,409.7,409.0,409.0,2642
1786077120,409.3,409.3,409.2,409.2,600
1786077180,409.2,409.35,409.1,409.1,190
1786077240,409.15,409.15,409.15,409.15,120
1786077300,409.0,409.0,408.5,408.5,1414
1786077360,408.0,408.05,408.0,408.0,3432
1786077420,408.0,408.0,407.6,407.7,1947
1786077480,407.6,407.6,407.6,407.6,694
1786077540,407.6,407.6,407.35,407.35,2
1786077600,407.6,407.6,407.35,407.6,54
1786077660,407.6,407.6,407.6,407.6,1641
1786077720,407.6,407.85,407.6,407.85,101
1786077780,407.85,407.85,407.55,407.55,1099
1786077840,407.8,407.8,407.8,407.8,6
1786077900,407.6,407.9,407.6,407.9,436
1786077960,407.95,407.95,407.75,407.75,432
1786078020,407.85,407.85,407.75,407.85,63
1786078080,407.7,407.7,407.55,407.55,223
1786078140,407.55,407.6,407.55,407.6,80
1786078260,407.6,407.9,407.6,407.9,455
1786078320,407.7,408.35,407.7,407.9,687
1786078380,407.8,407.8,407.8,407.8,56
1786078440,408.0,408.0,408.0,408.0,26
1786078500,407.85,407.85,407.85,407.85,1
1786078560,407.75,408.0,407.75,408.0,69
1786078620,408.0,408.0,408.0,408.0,100
1786078680,408.0,408.0,408.0,408.0,2
1786078740,408.0,408.0,408.0,408.0,53
1786078800,408.0,408.0,408.0,408.0,742
1786078860,408.0,408.0,406.75,406.75,3472
1786078920,406.45,407.15,406.25,407.15,2173
1786078980,406.45,406.85,406.45,406.6,2528
1786079040,406.6,406.65,406.0,406.6,2063
1786079100,406.6,406.6,406.55,406.55,4
