time,open,high,low,close,volume
1786074300,75.51,75.87,75.21,75.3,12623
1786074360,75.3,75.49,75.24,75.45,3340
1786074420,75.49,75.53,75.39,75.43,5855
1786074480,75.44,75.44,75.3,75.43,12109
1786074540,75.43,75.66,75.43,75.6,3154
1786074600,75.6,75.68,75.5,75.5,11524
1786074660,75.5,75.62,75.5,75.56,1081
1786074720,75.64,75.65,75.57,75.64,1771
1786074780,75.69,75.71,75.65,75.71,2968
1786074840,75.75,75.79,75.67,75.73,5624
1786074900,75.66,75.91,75.6,75.88,37785
1786074960,75.89,76.0,75.89,75.94,2537
1786075020,75.94,75.97,75.83,75.96,2721
1786075080,76.0,76.0,75.92,75.92,1938
1786075140,75.98,76.03,75.98,76.0,7867
1786075200,76.0,76.0,75.88,75.97,3148
1786075260,75.97,75.97,75.85,75.85,4339
1786075320,75.93,75.94,75.85,75.94,1743
1786075380,75.94,75.94,75.89,75.92,2015
1786075440,75.92,75.93,75.9,75.9,78
1786075500,75.83,75.9,75.83,75.9,1287
1786075560,75.9,75.9,75.8,75.9,1718
1786075620,75.9,75.9,75.9,75.9,501
1786075680,75.9,75.95,75.83,75.95,1867
1786075740,76.0,76.0,75.92,75.99,1086
1786075800,75.93,76.05,75.9,76.05,9501
1786075860,75.96,76.0,75.91,75.98,3366
1786075920,75.98,75.98,75.98,75.98,503
1786075980,75.98,75.98,75.91,75.91,1321
1786076040,75.91,75.91,75.87,75.89,1344
1786076100,75.89,75.89,75.84,75.89,1342
1786076160,75.89,75.89,75.89,75.89,555
1786076220,75.85,75.89,75.85,75.89,387
1786076280,75.89,75.89,75.85,75.89,509
1786076340,75.89,75.93,75.89,75.93,869
1786076400,75.93,75.93,75.85,75.87,1689
1786076460,75.94,75.98,75.94,75.98,814
1786076520,75.97,75.97,75.97,75.97,1826
1786076580,75.97,75.98,75.97,75.98,2291
1786076640,75.98,76.03,75.98,76.0,2658
1786076700,76.0,76.0,76.0,76.0,341
1786076760,76.0,76.02,76.0,76.0,179
1786076820,75.99,75.99,75.97,75.97,337
1786076880,75.97,75.99,75.97,75.99,149
1786076940,75.99,75.99,75.97,75.97,1301
1786077000,75.94,75.96,75.9,75.95,1372
1786077060,75.95,75.95,75.84,75.84,2095
1786077120,75.83,75.96,75.83,75.9,4828
1786077180,75.95,75.95,75.9,75.9,332
1786077240,75.95,75.95,75.95,75.95,747
1786077300,75.96,75.97,75.95,75.95,1021
1786077360,75.9,75.95,75.9,75.95,659
1786077420,75.95,75.96,75.95,75.96,194
1786077480,75.93,75.97,75.92,75.92,463
1786077540,75.96,75.97,75.96,75.97,2062
1786077600,75.97,75.98,75.9,75.98,3008
1786077660,75.91,75.98,75.91,75.96,560
1786077720,75.96,75.98,75.96,75.98,218
1786077780,75.97,75.97,75.91,75.92,6873
1786077840,75.92,75.99,75.92,75.92,1674
1786077900,75.98,75.99,75.98,75.98,255
1786077960,75.95,75.95,75.95,75.95,327
1786078020,75.95,75.95,75.91,75.94,231
1786078080,75.94,75.94,75.89,75.9,1508
1786078140,75.9,75.9,75.82,75.9,1816
1786078200,75.82,75.9,75.78,75.9,3222
1786078260,75.9,75.9,75.9,75.9,303
1786078320,75.9,75.9,75.9,75.9,10
1786078380,75.93,75.93,75.87,75.87,2952
1786078440,75.87,75.88,75.78,75.78,41760
1786078500,75.68,75.73,75.64,75.73,2065
