time,open,high,low,close,volume
1786074300,3087.0,3087.0,3074.5,3080.1,718
1786074360,3084.7,3084.7,3074.0,3074.0,155
1786074420,3079.4,3079.4,3072.5,3075.0,79
1786074480,3075.0,3075.0,3072.5,3075.0,28
1786074540,3073.2,3075.0,3072.5,3072.5,78
1786074600,3072.6,3074.6,3072.5,3072.5,33
1786074660,3072.5,3075.0,3072.5,3075.0,55
1786074720,3074.7,3074.7,3072.5,3072.5,59
1786074780,3074.4,3075.0,3072.5,3074.9,608
1786074840,3072.9,3072.9,3071.0,3071.0,182
1786074900,3072.3,3072.3,3060.1,3064.5,924
1786074960,3067.3,3067.3,3064.5,3064.5,340
1786075020,3063.0,3064.5,3063.0,3064.2,74
1786075080,3062.4,3064.1,3060.6,3060.6,87
1786075140,3057.6,3061.7,3057.1,3059.0,1083
1786075200,3057.0,3059.0,3056.0,3059.0,141
1786075260,3059.3,3059.5,3059.3,3059.5,22
1786075320,3062.5,3064.8,3061.4,3064.8,596
1786075380,3065.7,3065.7,3062.7,3062.7,109
1786075440,3064.2,3064.2,3061.3,3063.2,68
1786075500,3061.0,3064.4,3061.0,3062.0,73
1786075560,3064.2,3064.2,3059.5,3063.4,270
1786075620,3063.2,3064.9,3062.6,3063.0,102
1786075680,3062.0,3062.0,3060.5,3061.6,14
1786075740,3062.0,3062.9,3062.0,3062.8,117
1786075800,3063.2,3063.2,3057.0,3057.0,428
1786075860,3053.0,3053.6,3052.9,3052.9,1739
1786075920,3054.2,3055.9,3053.2,3055.9,221
1786075980,3055.9,3055.9,3053.8,3053.8,152
1786076040,3052.4,3055.0,3050.1,3055.0,514
1786076100,3056.9,3057.1,3054.5,3054.5,224
1786076160,3053.7,3053.9,3050.1,3050.8,153
1786076220,3050.8,3051.5,3047.3,3051.5,1644
1786076280,3051.5,3054.4,3051.5,3052.5,25
1786076340,3052.9,3052.9,3050.2,3051.8,130
1786076400,3050.2,3052.2,3050.2,3052.2,14
1786076460,3052.2,3057.2,3052.2,3057.2,296
1786076520,3057.7,3058.3,3054.9,3054.9,88
1786076580,3055.4,3055.4,3055.4,3055.4,1
1786076640,3054.9,3057.7,3054.9,3057.7,78
1786076700,3055.2,3055.2,3055.0,3055.0,389
1786076760,3055.0,3057.2,3055.0,3056.7,23
1786076820,3056.5,3056.5,3051.7,3051.7,120
1786076880,3052.6,3055.0,3052.6,3055.0,351
