time,open,high,low,close,volume
1786074300,472.0,477.25,470.65,477.25,37972
1786074360,477.5,480.8,476.75,479.75,141501
1786074420,480.15,481.85,477.9,478.0,113712
1786074480,477.75,478.8,477.55,478.6,17274
1786074540,478.4,478.4,476.45,476.65,22601
1786074600,476.7,476.95,475.7,476.45,26827
1786074660,476.0,477.05,476.0,477.05,16785
1786074720,477.05,478.5,477.05,477.35,20176
1786074780,477.9,477.9,476.9,477.2,8846
1786074840,477.2,477.75,476.85,476.95,10199
1786074900,477.3,477.3,477.25,477.3,4489
1786074960,477.7,477.95,477.25,477.45,12049
1786075020,477.1,477.5,476.75,477.45,12557
1786075080,477.1,477.55,477.1,477.25,6924
1786075140,477.0,477.35,476.8,476.9,10709
1786075200,476.75,481.0,476.75,481.0,141015
1786075260,480.9,481.35,480.5,480.5,37805
1786075320,480.75,480.75,479.85,480.05,72734
1786075380,480.25,480.75,479.5,479.7,28919
1786075440,479.95,480.0,479.45,479.45,20341
1786075500,479.5,479.5,479.1,479.25,14083
1786075560,479.25,479.25,478.65,479.15,19247
1786075620,479.2,479.7,479.2,479.7,21202
1786075680,479.7,479.7,479.0,479.25,21420
1786075740,479.2,479.65,479.2,479.65,11652
1786075800,479.5,479.6,479.05,479.5,9716
1786075860,479.6,479.65,479.15,479.25,15287
1786075920,479.4,479.5,479.0,479.45,9919
1786075980,479.4,479.4,479.0,479.2,10148
1786076040,479.3,479.8,479.25,479.25,17768
1786076100,479.85,482.5,479.85,481.8,146777
1786076160,482.1,483.0,480.85,482.8,128541
1786076220,482.9,483.8,482.8,483.3,67931
1786076280,483.35,484.0,483.05,483.7,43325
1786076340,483.95,484.0,483.2,483.75,82053
1786076400,483.75,483.95,483.25,483.9,41818
1786076460,483.65,484.0,483.65,483.85,36758
1786076520,483.65,483.8,483.55,483.8,68065
1786076580,483.45,484.5,483.45,484.25,124642
1786076640,484.5,484.7,484.15,484.5,32025
1786076700,484.5,484.7,484.0,484.25,30587
1786076760,484.45,484.5,484.1,484.4,18724
1786076820,484.4,484.75,483.8,483.8,56233
1786076880,484.05,484.35,483.95,484.35,17079
1786076940,484.65,484.9,484.45,484.7,36478
1786077000,484.75,484.75,483.95,483.95,40451
1786077060,484.0,484.0,482.35,483.2,46164
1786077120,483.2,483.55,482.55,482.9,23763
1786077180,483.0,483.3,482.1,482.15,40416
1786077240,482.05,482.35,481.6,482.0,16790
1786077300,482.0,483.35,481.9,483.3,21125
1786077360,483.3,483.3,482.9,483.15,12616
1786077420,483.0,483.1,483.0,483.05,11204
1786077480,483.1,483.15,482.7,482.75,11256
1786077540,482.5,483.0,482.5,482.85,7661
1786077600,482.95,482.95,482.25,482.25,11430
1786077660,482.1,482.25,481.8,482.0,13513
1786077720,481.8,482.55,481.8,481.9,40656
1786077780,482.05,482.6,481.9,482.0,17781
1786077840,482.0,482.25,481.95,482.25,7098
1786077900,482.25,482.25,481.95,481.95,8868
1786077960,481.8,481.85,481.1,481.5,23311
1786078020,481.5,481.6,481.2,481.4,8786
1786078080,481.45,482.0,481.45,482.0,14429
1786078140,482.0,482.0,481.8,481.85,10709
1786078200,481.95,482.0,481.75,481.75,7319
1786078260,482.0,482.45,481.9,482.15,8697
1786078320,482.15,482.15,482.0,482.0,5154
1786078380,481.95,482.0,481.85,482.0,6542
1786078440,482.0,482.0,481.6,481.95,11434
1786078500,481.95,482.65,481.95,482.45,41686
1786078560,482.35,482.8,482.35,482.5,8289
1786078620,482.5,482.55,482.25,482.25,8792
1786078680,482.25,482.5,482.25,482.4,6917
1786078740,482.5,482.5,482.2,482.4,3807
1786078800,482.4,482.4,482.15,482.15,6000
1786078860,482.2,482.2,482.15,482.2,3988
1786078920,482.2,482.45,482.15,482.15,7436
1786078980,482.2,482.5,482.2,482.35,4504
1786079040,482.5,482.5,482.25,482.35,11287
1786079100,482.35,482.5,482.35,482.35,4942
1786079160,482.55,485.0,482.35,484.8,111744
1786079220,485.0,485.0,484.45,484.6,20555
1786079280,484.6,486.5,484.6,486.2,373332
1786079340,486.2,486.7,486.0,486.6,65167
