time,open,high,low,close,volume
1786074300,351.6,352.0,351.6,351.9,50367
1786074360,351.85,351.85,351.4,351.6,24945
1786074420,351.6,352.05,351.5,351.5,46945
1786074480,351.4,351.8,351.3,351.8,11609
1786074540,351.75,352.1,351.0,351.2,45917
1786074600,350.85,351.05,350.85,351.0,28327
1786074660,351.15,351.3,351.0,351.3,5983
1786074720,351.15,351.4,351.15,351.25,19208
1786074780,351.4,351.4,351.15,351.15,10291
1786074840,351.1,351.2,351.05,351.2,25843
1786074900,351.1,351.65,351.1,351.4,17818
1786074960,351.3,351.45,351.25,351.4,5874
1786075020,351.45,351.75,351.3,351.75,7298
1786075080,351.6,351.6,351.4,351.6,9420
1786075140,351.6,351.75,351.5,351.55,6317
1786075200,351.55,351.6,351.5,351.55,2493
1786075260,351.5,351.6,351.5,351.55,7097
1786075320,351.55,351.95,351.55,351.9,8169
1786075380,351.75,351.75,351.6,351.75,7797
1786075440,351.75,351.75,351.6,351.6,5652
1786075500,351.6,351.85,351.6,351.8,3767
1786075560,351.8,351.9,351.75,351.85,3779
1786075620,351.7,351.9,351.7,351.85,3825
1786075680,351.8,351.9,351.75,351.85,4557
1786075740,351.85,351.95,351.85,351.95,39797
1786075800,352.0,352.0,351.6,351.6,13698
1786075860,351.6,351.75,351.6,351.75,1838
1786075920,351.6,351.9,351.6,351.9,3034
1786075980,351.85,351.85,351.7,351.8,1011
1786076040,351.75,351.9,351.7,351.9,9315
1786076100,352.2,352.2,351.95,351.95,4706
1786076160,351.95,352.15,351.95,352.15,6003
1786076220,352.0,352.1,351.9,351.9,3582
1786076280,351.9,352.0,351.6,351.6,3267
1786076340,351.6,351.75,351.55,351.75,2411
1786076400,351.55,351.75,351.55,351.65,5648
1786076460,351.6,351.6,351.55,351.55,6412
1786076520,351.55,351.7,351.5,351.65,10821
1786076580,351.6,351.7,351.6,351.65,1642
1786076640,351.65,351.8,351.65,351.8,12663
1786076700,351.65,351.8,351.65,351.7,3733
1786076760,351.8,351.95,351.7,351.75,4749
1786076820,351.9,351.9,351.85,351.85,1071
1786076880,351.8,351.9,351.75,351.8,1796
1786076940,351.75,351.8,351.75,351.75,1644
1786077000,351.8,351.85,351.6,351.75,5415
1786077060,351.6,351.9,351.6,351.9,6354
