time,open,high,low,close,volume
1786074300,921.0,921.0,903.35,917.65,229584
1786074360,916.7,922.05,914.2,916.8,69868
1786074420,916.65,927.0,916.65,925.0,85806
1786074480,925.0,927.3,924.15,926.1,22008
1786074540,926.1,926.1,921.5,922.15,22433
1786074600,922.7,925.55,922.2,922.3,51859
1786074660,921.85,929.7,921.6,927.5,47287
1786074720,927.5,931.65,926.45,930.7,60074
1786074780,931.05,931.05,928.0,928.05,24736
1786074840,928.0,929.05,927.4,929.05,23105
1786074900,932.05,932.05,928.8,929.4,44783
1786074960,929.0,931.95,929.0,931.95,18110
1786075020,931.45,933.1,931.45,932.55,25624
1786075080,932.55,932.65,930.65,930.8,33293
1786075140,930.8,931.0,929.1,930.9,30782
1786075200,930.9,931.1,930.05,930.9,20872
1786075260,931.1,931.7,930.1,930.15,12880
1786075320,930.6,931.0,930.55,930.6,8743
1786075380,930.8,930.8,930.2,930.25,3898
1786075440,930.6,930.8,928.55,930.65,18530
1786075500,930.65,930.8,930.05,930.05,2442
1786075560,930.3,931.0,929.95,931.0,22546
1786075620,931.0,931.0,930.6,930.65,2356
1786075680,930.7,930.95,930.0,930.35,3126
1786075740,930.65,931.75,929.55,931.15,41908
1786075800,931.45,932.95,931.1,932.85,23634
1786075860,932.75,933.0,932.3,933.0,26402
1786075920,933.1,937.65,933.1,937.25,47659
1786075980,937.0,937.0,934.65,935.6,13697
1786076040,935.25,936.45,933.55,936.4,20690
1786076100,937.0,939.8,936.2,939.8,46998
1786076160,939.35,939.85,937.5,939.4,50639
1786076220,939.4,942.7,938.6,942.5,67301
1786076280,942.8,946.15,941.8,944.4,90424
1786076340,944.4,944.7,941.45,941.9,33886
1786076400,941.9,944.05,941.5,943.9,11565
1786076460,943.55,943.85,942.25,943.2,8278
1786076520,943.1,943.3,942.0,942.1,6181
1786076580,941.7,942.9,941.4,942.45,13274
1786076640,942.45,942.9,940.5,940.95,10250
1786076700,940.95,943.25,940.5,941.85,15903
1786076760,941.85,942.7,941.5,942.65,4401
1786076820,942.35,943.35,942.25,943.05,6189
1786076880,942.4,943.05,942.25,942.7,4523
1786076940,942.5,943.1,942.1,942.95,4662
1786077000,942.85,944.35,942.1,943.3,12541
1786077060,943.45,943.85,942.05,942.3,13574
1786077120,942.6,942.85,939.55,939.7,7017
1786077180,939.6,940.15,939.35,940.0,13167
1786077240,940.05,940.5,939.4,939.95,6284
1786077300,940.3,940.9,940.0,940.7,1486
1786077360,940.65,942.0,940.25,942.0,1710
1786077420,942.0,942.9,942.0,942.55,5090
1786077480,942.25,942.55,941.4,941.4,2711
1786077540,940.95,941.2,940.25,940.25,3545
1786077600,940.25,940.6,940.25,940.3,1427
1786077660,940.35,940.5,940.2,940.2,2831
1786077720,940.15,940.5,940.15,940.5,1244
1786077780,940.5,940.7,940.05,940.1,3990
1786077840,940.35,940.75,940.05,940.1,5106
1786077900,940.3,942.05,940.3,942.05,18445
1786077960,942.15,942.15,941.8,941.95,1846
1786078020,941.95,941.95,940.5,940.5,2452
1786078080,940.4,940.5,940.0,940.2,3380
1786078140,940.2,941.05,940.05,940.4,3658
1786078200,940.8,941.25,940.25,940.35,1722
1786078260,940.35,940.5,940.2,940.5,2373
1786078320,940.0,940.3,939.9,939.9,5541
1786078380,939.95,940.05,938.6,938.6,11241
1786078440,938.6,939.2,938.6,939.15,3627
1786078500,939.15,941.7,939.0,941.1,17973
1786078560,941.7,941.7,940.45,940.65,5707
1786078620,940.3,940.35,939.3,940.15,4092
1786078680,940.15,940.3,939.8,940.0,5379
1786078740,940.0,940.85,939.95,940.75,1957
1786078800,940.65,941.0,940.25,940.25,4644
1786078860,940.25,941.0,940.25,941.0,4914
1786078920,940.4,940.9,940.25,940.25,5649
1786078980,940.25,940.65,940.2,940.6,4733
1786079040,940.3,940.55,940.1,940.55,2392
1786079100,940.3,942.75,940.25,942.2,7851
1786079160,941.85,943.5,941.4,942.55,18083
1786079220,942.35,942.8,942.05,942.3,2140
1786079280,942.25,943.6,942.05,943.05,6090
1786079340,943.55,948.0,943.5,947.0,59646
1786079400,947.0,950.1,944.7,945.5,127036
1786079460,945.25,946.35,945.25,946.05,8583
1786079520,946.2,946.95,945.5,945.55,9728
1786079580,945.6,947.0,945.3,946.4,11561
1786079640,946.4,946.4,945.3,945.8,8213
1786079700,945.6,946.2,945.55,945.65,2983
1786079760,945.75,946.2,945.6,946.1,2972
1786079820,945.85,946.1,945.7,946.0,5735
1786079880,946.0,946.15,945.6,945.6,5845
1786079940,945.6,945.95,945.3,945.55,3305
1786080000,946.0,946.15,945.55,946.15,6053
1786080060,946.15,946.4,945.55,945.95,5569
1786080120,945.95,946.0,944.3,944.6,6532
1786080180,944.6,946.0,944.1,945.55,8683
1786080240,945.55,945.95,945.55,945.85,2279
1786080300,945.85,946.0,945.35,945.35,1558
1786080360,945.35,948.0,945.0,947.65,18777
1786080420,947.8,948.0,946.15,946.85,6374
1786080480,946.95,946.95,944.55,945.3,7521
1786080540,945.25,946.0,944.5,945.7,1137
1786080600,945.7,946.0,945.0,945.0,3336
1786080660,945.15,945.4,943.85,944.0,9442
1786080720,944.0,944.05,943.25,943.95,4352
1786080780,943.4,943.75,941.05,942.0,12939
1786080840,941.85,941.85,940.1,940.25,3327
1786080900,940.1,940.55,938.9,939.4,4285
1786080960,939.4,940.0,939.0,939.0,2316
1786081020,939.0,939.0,935.35,936.25,17512
1786081080,936.25,937.3,936.15,937.3,5258
1786081140,937.15,937.25,936.35,936.35,4126
1786081200,936.35,936.95,936.0,936.4,2463
1786081260,936.4,936.4,934.75,935.55,5505
