time,open,high,low,close,volume
1786074300,176.28,176.28,175.03,175.12,122449
1786074360,175.12,175.22,174.9,175.22,72804
1786074420,175.11,175.11,174.84,174.95,67936
1786074480,174.66,174.88,174.61,174.88,51537
1786074540,175.05,175.05,174.87,174.87,22745
1786074600,174.8,174.83,174.55,174.76,56410
1786074660,174.76,174.99,174.76,174.89,12817
1786074720,174.9,174.96,174.8,174.81,11503
1786074780,174.9,174.99,174.75,174.81,27855
1786074840,174.85,174.85,174.71,174.71,22294
1786074900,174.67,174.67,174.51,174.6,37434
1786074960,174.64,174.64,174.6,174.63,27118
1786075020,174.58,174.58,174.12,174.3,202242
1786075080,174.31,174.31,174.05,174.23,38687
1786075140,174.22,174.24,174.15,174.2,13490
1786075200,174.23,174.39,174.23,174.38,24479
1786075260,174.37,174.4,174.15,174.15,8710
1786075320,173.88,174.13,173.86,174.03,145358
1786075380,174.03,174.03,173.82,173.99,39004
1786075440,174.02,174.11,174.0,174.11,7892
1786075500,174.1,174.1,174.05,174.05,19056
1786075560,174.07,174.07,173.75,173.92,54059
1786075620,173.85,173.99,173.85,173.85,11939
1786075680,173.6,173.86,173.53,173.85,123960
1786075740,173.88,173.88,173.76,173.76,7177
1786075800,173.78,173.84,173.78,173.84,6831
1786075860,173.84,173.84,173.82,173.83,4090
1786075920,173.84,173.89,173.79,173.86,10497
1786075980,173.99,173.99,173.91,173.91,4595
1786076040,173.91,173.95,173.91,173.95,9392
1786076100,173.95,173.96,173.91,173.91,13088
1786076160,173.9,174.04,173.72,173.72,44102
1786076220,173.7,173.73,173.7,173.72,7848
1786076280,173.73,173.76,173.73,173.75,16071
1786076340,173.76,173.76,173.6,173.6,32186
1786076400,173.52,173.66,173.52,173.66,17917
1786076460,173.76,173.8,173.73,173.73,26653
1786076520,173.75,173.78,173.75,173.78,10546
1786076580,173.71,173.76,173.71,173.73,11686
1786076640,173.73,173.73,173.69,173.69,8863
1786076700,173.76,173.79,173.57,173.76,22906
1786076760,173.76,173.84,173.76,173.81,10031
1786076820,173.81,173.84,173.69,173.69,9552
1786076880,173.65,173.74,173.65,173.73,16932
1786076940,173.74,173.79,173.69,173.69,9548
1786077000,173.74,173.78,173.7,173.78,11865
1786077060,173.7,173.7,173.61,173.68,11390
1786077120,173.66,173.69,173.64,173.65,8322
1786077180,173.66,173.85,173.66,173.85,15630
1786077240,173.85,173.97,173.85,173.92,27866
1786077300,173.92,174.14,173.92,174.14,36155
1786077360,174.12,174.23,174.12,174.21,3928
1786077420,174.21,174.25,174.11,174.2,7544
1786077480,174.15,174.2,174.08,174.2,4577
1786077540,174.19,174.21,174.16,174.18,7281
1786077600,174.1,174.17,174.1,174.1,4252
1786077660,174.17,174.18,174.11,174.18,2558
1786077720,174.18,174.18,173.97,173.97,5771
1786077780,173.97,173.97,173.74,173.76,39472
1786077840,173.76,173.9,173.76,173.85,5665
1786077900,173.85,173.91,173.84,173.84,5691
1786077960,173.84,173.86,173.8,173.81,7121
1786078020,173.8,173.84,173.8,173.84,1764
1786078080,173.8,173.86,173.5,173.5,40598
1786078140,173.48,173.59,173.45,173.5,52935
1786078200,173.5,173.6,173.45,173.6,6478
1786078260,173.53,173.65,173.53,173.58,11017
1786078320,173.6,173.67,173.58,173.65,35808
1786078380,173.64,173.66,173.58,173.61,2372
1786078440,173.61,173.66,173.58,173.65,2115
1786078500,173.58,173.65,173.58,173.59,27964
1786078560,173.59,173.67,173.59,173.62,8140
1786078620,173.63,173.66,172.81,172.9,264628
1786078680,172.9,173.0,172.9,173.0,24753
1786078740,173.0,173.0,172.97,173.0,30459
1786078800,173.0,173.0,172.97,173.0,20893
1786078860,172.99,173.0,172.98,173.0,36080
1786078920,173.0,173.0,172.96,172.96,14658
1786078980,173.0,173.0,172.95,172.99,16061
1786079040,172.99,173.0,172.96,173.0,7005
1786079100,173.0,173.0,172.98,173.0,189139
1786079160,173.0,173.0,172.99,172.99,50952
1786079220,173.0,173.0,172.99,173.0,9613
1786079280,173.0,173.0,172.99,173.0,24473
1786079340,173.0,173.0,172.99,173.0,14762
1786079400,172.99,173.44,172.99,173.44,260819
1786079460,173.38,173.48,173.38,173.45,14478
1786079520,173.38,173.6,173.38,173.58,29800
1786079580,173.59,173.79,173.51,173.67,16554
1786079640,173.57,173.69,173.56,173.65,9039
1786079700,173.65,173.74,173.6,173.7,5551
1786079760,173.65,173.78,173.65,173.75,9182
1786079820,173.75,173.85,173.73,173.8,18565
1786079880,173.8,173.87,173.8,173.83,4944
1786079940,173.84,173.9,173.8,173.83,2814
1786080000,173.8,173.87,173.8,173.87,9557
1786080060,173.88,173.88,173.81,173.87,1277
1786080120,173.81,173.87,173.81,173.82,3512
1786080180,173.81,173.87,173.81,173.86,2654
1786080240,173.87,173.87,173.75,173.75,11029
1786080300,173.75,173.78,173.7,173.75,3293
1786080360,173.75,173.75,173.65,173.73,7366
1786080420,173.33,173.33,173.11,173.15,46971
1786080480,173.15,173.16,173.05,173.16,9707
1786080540,173.06,173.13,173.06,173.07,6776
1786080600,173.06,173.17,173.06,173.16,9747
1786080660,173.16,173.16,173.06,173.1,7308
1786080720,173.14,173.14,172.95,172.95,45680
1786080780,172.95,173.03,172.91,172.92,10795
