time,open,high,low,close,volume
1786074300,2260.3,2267.8,2260.3,2267.5,5857
1786074360,2267.6,2267.6,2256.9,2260.1,5297
1786074420,2260.0,2263.1,2259.4,2263.1,1307
1786074480,2263.1,2263.1,2257.6,2262.2,2495
1786074540,2261.0,2261.0,2258.1,2258.7,2005
1786074600,2258.9,2264.4,2256.0,2264.4,6410
1786074660,2261.8,2264.8,2261.8,2264.6,1504
1786074720,2263.8,2263.8,2260.9,2262.0,546
1786074780,2260.0,2264.8,2260.0,2263.4,14521
1786074840,2264.6,2267.7,2263.8,2265.5,15083
1786074900,2266.0,2266.3,2263.3,2264.7,1696
1786074960,2264.7,2266.3,2264.0,2266.3,485
1786075020,2265.2,2265.2,2262.4,2263.8,628
1786075080,2264.5,2268.9,2263.7,2268.5,938
1786075140,2267.9,2271.3,2266.8,2270.3,4169
1786075200,2270.5,2273.3,2269.7,2272.8,2909
1786075260,2273.0,2273.3,2270.9,2272.0,683
1786075320,2272.0,2272.1,2270.3,2272.1,602
1786075380,2270.0,2272.2,2270.0,2271.2,441
1786075440,2271.1,2274.5,2271.1,2274.5,2714
1786075500,2274.5,2277.0,2273.7,2275.5,6354
1786075560,2276.2,2278.9,2276.2,2278.9,2070
1786075620,2278.4,2278.9,2277.7,2278.0,1909
1786075680,2278.8,2278.9,2278.0,2278.9,1953
1786075740,2278.6,2279.0,2273.0,2274.0,5124
1786075800,2274.0,2283.5,2274.0,2281.5,6788
1786075860,2282.1,2282.4,2279.0,2280.4,5766
1786075920,2279.7,2280.8,2279.1,2280.8,2413
1786075980,2280.8,2281.6,2279.4,2279.4,4223
1786076040,2279.1,2279.4,2276.0,2278.6,874
1786076100,2280.0,2280.8,2278.0,2279.9,5835
1786076160,2279.7,2279.7,2276.6,2277.7,874
1786076220,2278.4,2278.4,2277.7,2278.4,397
1786076280,2278.3,2281.4,2278.3,2281.0,1950
1786076340,2281.4,2281.4,2279.7,2279.7,780
1786076400,2279.1,2279.1,2275.1,2276.0,1660
1786076460,2276.7,2276.7,2275.6,2275.6,680
1786076520,2275.1,2275.6,2275.1,2275.6,957
1786076580,2276.3,2276.3,2275.1,2275.1,527
1786076640,2275.9,2276.0,2275.0,2275.0,635
1786076700,2274.9,2275.3,2273.8,2275.3,1631
1786076760,2276.4,2276.4,2273.2,2274.7,1762
1786076820,2273.6,2275.0,2273.6,2274.1,720
1786076880,2276.3,2277.4,2276.0,2277.4,5067
1786076940,2278.9,2279.9,2278.0,2278.6,1605
1786077000,2277.7,2278.2,2276.8,2278.1,320
1786077060,2278.1,2279.4,2278.1,2278.8,589
1786077120,2279.6,2280.0,2278.7,2279.2,295
1786077180,2278.7,2278.7,2275.5,2275.5,783
1786077240,2276.5,2277.9,2276.5,2277.3,736
1786077300,2279.8,2279.9,2279.3,2279.3,810
1786077360,2279.8,2279.8,2278.1,2278.1,668
1786077420,2279.3,2279.3,2278.5,2279.3,663
1786077480,2279.3,2279.8,2279.0,2279.0,118
1786077540,2279.2,2279.4,2278.2,2279.4,647
1786077600,2279.4,2279.4,2279.4,2279.4,74
1786077660,2278.5,2278.6,2278.1,2278.2,237
1786077720,2278.8,2279.0,2278.0,2278.0,231
1786077780,2278.8,2278.8,2277.1,2278.4,173
1786077840,2278.4,2278.4,2276.9,2278.0,326
1786077900,2277.9,2277.9,2277.1,2277.5,104
1786077960,2277.4,2277.4,2276.0,2276.0,343
1786078020,2276.8,2276.8,2275.8,2275.8,172
1786078080,2276.2,2276.2,2273.7,2274.3,1291
1786078140,2273.9,2275.1,2273.9,2275.1,813
1786078200,2275.4,2276.0,2275.4,2276.0,640
1786078260,2276.0,2276.0,2275.7,2276.0,134
1786078320,2276.0,2276.1,2274.4,2274.4,417
1786078380,2275.6,2275.6,2274.8,2274.8,56
1786078440,2275.9,2276.0,2274.6,2276.0,396
1786078500,2275.0,2275.0,2274.0,2275.0,1637
1786078560,2275.0,2275.0,2273.0,2273.0,496
1786078620,2274.8,2274.8,2272.8,2273.3,436
1786078680,2274.0,2274.4,2272.0,2274.4,1250
1786078740,2274.6,2274.6,2272.7,2274.0,151
1786078800,2274.8,2274.9,2273.8,2274.9,236
1786078860,2274.9,2278.3,2274.9,2277.1,2426
1786078920,2276.7,2276.7,2275.2,2275.8,988
1786078980,2276.7,2276.7,2275.3,2275.5,126
1786079040,2276.5,2276.5,2275.5,2275.5,1030
1786079100,2275.9,2275.9,2275.3,2275.3,165
1786079160,2275.5,2275.5,2273.8,2275.3,391
1786079220,2275.4,2275.4,2273.4,2273.4,518
1786079280,2273.1,2273.9,2273.1,2273.2,132
1786079340,2274.6,2276.9,2274.3,2276.9,275
1786079400,2276.8,2277.1,2276.3,2276.3,178
1786079460,2277.0,2277.0,2274.9,2274.9,423
1786079520,2276.7,2276.7,2275.8,2276.0,132
1786079580,2276.0,2277.5,2276.0,2277.0,890
1786079640,2278.0,2278.6,2276.8,2277.2,188
1786079700,2277.2,2278.4,2277.0,2277.0,124
1786079760,2277.5,2277.5,2275.4,2275.5,210
1786079820,2276.7,2276.7,2275.4,2275.5,82
1786079880,2276.3,2277.0,2275.5,2276.7,157
1786079940,2276.6,2276.6,2275.4,2275.4,165
1786080000,2275.9,2276.5,2275.4,2275.4,254
1786080060,2275.9,2275.9,2273.5,2273.9,595
1786080120,2275.0,2275.0,2273.8,2273.8,84
1786080180,2274.6,2274.8,2273.1,2273.9,228
1786080240,2274.6,2274.6,2273.3,2273.4,205
1786080300,2273.9,2273.9,2273.4,2273.4,118
1786080360,2274.0,2274.0,2273.4,2273.5,77
1786080420,2273.8,2276.0,2273.4,2273.4,974
1786080480,2272.9,2273.2,2272.0,2272.7,434
1786080540,2273.7,2273.7,2271.5,2272.3,104
