time,open,high,low,close,volume
1786074300,540.45,543.85,539.1,541.95,13283
1786074360,543.35,545.25,543.35,544.4,9751
1786074420,545.05,545.2,544.5,545.0,6579
1786074480,544.5,546.0,544.5,546.0,2990
1786074540,546.3,546.95,544.25,544.25,7151
1786074600,544.3,544.8,544.1,544.3,1109
1786074660,544.25,545.0,544.15,544.7,3370
1786074720,544.9,545.95,544.9,545.35,2016
1786074780,545.0,545.0,543.85,543.85,2664
1786074840,543.85,544.3,543.3,543.3,1290
1786074900,543.6,543.6,543.15,543.15,241
1786074960,543.25,543.25,542.0,542.45,4898
1786075020,542.0,542.25,541.5,542.25,1194
1786075080,541.75,542.05,541.0,541.5,1764
1786075140,541.45,541.65,541.0,541.55,5252
1786075200,541.25,541.5,541.25,541.4,1020
1786075260,541.4,541.4,541.4,541.4,1166
1786075320,541.9,542.0,541.5,542.0,578
1786075380,542.45,542.45,541.1,541.1,1756
1786075440,541.5,541.6,541.25,541.5,522
1786075500,541.75,541.75,541.2,541.4,1121
1786075560,541.4,541.85,541.15,541.85,934
1786075620,541.6,542.0,541.6,542.0,575
1786075680,542.25,542.25,542.0,542.25,133
1786075740,542.45,542.95,542.1,542.1,792
1786075800,542.0,542.1,541.6,542.1,821
1786075860,542.05,542.05,541.5,541.85,2384
1786075920,541.85,541.85,541.6,541.6,162
1786075980,541.6,541.85,541.6,541.85,210
1786076040,541.85,542.0,541.75,541.85,1270
1786076100,542.25,543.0,542.2,543.0,2741
1786076160,543.0,543.0,542.65,542.75,1047
1786076220,542.3,542.3,542.0,542.0,226
1786076280,542.0,542.5,542.0,542.5,225
1786076340,542.5,542.5,542.25,542.25,101
1786076400,542.25,542.25,542.25,542.25,261
1786076460,542.25,542.7,542.25,542.7,146
1786076520,542.25,542.7,542.2,542.2,878
1786076580,542.0,542.0,541.55,541.55,385
1786076640,542.0,542.2,542.0,542.2,516
1786076700,542.5,542.75,542.5,542.6,327
1786076760,542.55,542.7,542.5,542.7,361
1786076820,542.2,542.7,542.2,542.7,200
1786076880,542.0,542.25,542.0,542.25,679
1786076940,542.25,542.25,542.25,542.25,18
1786077000,542.5,542.65,542.5,542.5,470
1786077060,542.5,542.5,542.3,542.3,525
1786077120,542.0,542.0,542.0,542.0,157
1786077180,542.4,542.4,542.35,542.35,791
1786077240,542.3,542.3,541.5,541.8,1514
1786077300,541.5,541.5,541.5,541.5,455
1786077360,541.5,542.0,541.5,541.5,702
1786077420,541.65,542.25,541.65,542.25,308
1786077480,542.2,542.2,541.75,542.2,161
1786077540,541.8,542.15,541.8,542.15,42
1786077600,541.85,541.85,541.8,541.8,535
1786077660,541.9,541.9,541.8,541.85,161
1786077720,541.8,541.85,541.65,541.65,664
1786077780,541.5,541.5,541.5,541.5,1140
1786077840,541.75,541.85,541.2,541.8,2874
1786077900,541.2,541.2,541.2,541.2,405
1786077960,541.6,541.75,541.3,541.3,700
1786078020,541.3,541.75,541.3,541.75,238
1786078080,541.75,541.75,541.2,541.2,723
1786078140,541.0,541.0,541.0,541.0,853
1786078200,541.0,541.4,541.0,541.4,57
1786078260,541.0,541.15,541.0,541.0,169
1786078320,541.0,541.3,541.0,541.0,1047
1786078380,540.8,540.8,540.3,540.3,9145
1786078440,540.05,540.5,540.05,540.1,964
1786078500,540.2,540.5,540.1,540.5,436
1786078560,540.4,540.45,540.4,540.45,418
1786078620,540.4,540.8,540.4,540.8,230
1786078680,540.8,540.8,540.4,540.75,79
1786078740,540.5,540.8,540.5,540.8,350
1786078800,540.85,540.85,540.85,540.85,55
1786078860,540.85,540.9,540.85,540.9,539
1786078920,541.0,541.0,540.5,540.85,1788
1786078980,540.5,540.85,540.5,540.85,614
1786079040,540.85,541.65,540.85,541.6,1166
1786079100,541.5,541.5,541.5,541.5,2
1786079160,541.15,541.5,541.15,541.5,70
1786079220,541.2,541.2,541.0,541.15,102
1786079280,541.2,541.2,541.2,541.2,50
1786079340,541.2,541.5,541.15,541.5,377
1786079400,541.15,541.15,541.1,541.1,201
1786079460,541.1,541.1,541.1,541.1,2
1786079520,541.15,541.15,541.0,541.0,57
1786079580,541.0,541.15,541.0,541.15,344
1786079640,541.0,541.15,541.0,541.15,274
1786079700,541.15,541.15,541.15,541.15,515
1786079820,541.2,541.7,541.2,541.7,138
1786079880,541.5,541.5,541.5,541.5,40
1786079940,541.5,541.8,541.5,541.8,211
1786080000,541.5,541.5,541.25,541.25,405
1786080060,542.25,542.25,542.25,542.25,2700
1786080120,541.7,542.1,541.55,542.05,28
1786080180,542.05,542.05,541.85,541.85,501
1786080240,541.8,541.85,541.35,541.35,447
1786080300,541.35,542.15,541.35,542.15,103
1786080360,542.15,542.15,541.5,542.1,479
1786080420,542.1,542.1,542.1,542.1,21
1786080480,541.55,541.75,541.55,541.75,1041
1786080540,541.55,541.55,541.25,541.5,455
1786080600,541.5,541.5,541.0,541.0,428
1786080660,541.0,541.4,540.9,541.4,242
1786080720,541.35,541.35,540.9,540.9,1075
1786080780,541.2,541.2,540.4,540.75,514
1786080840,540.75,540.75,540.55,540.55,248
1786080960,540.8,540.8,540.6,540.6,23
1786081020,540.7,541.25,540.7,541.25,205
1786081080,541.25,541.25,541.25,541.25,70
1786081140,541.25,541.5,541.25,541.5,150
1786081260,541.45,541.45,540.85,540.85,586
1786081320,540.85,540.85,540.8,540.8,100
1786081380,541.0,541.0,541.0,541.0,39
1786081440,541.0,541.0,540.8,540.8,32
1786081500,540.8,540.8,540.8,540.8,5
1786081560,540.8,540.8,540.75,540.75,650
1786081620,540.7,541.0,540.7,541.0,53
1786081680,541.0,541.0,541.0,541.0,50
1786081740,541.0,541.0,540.7,540.7,268
1786081800,541.0,541.0,541.0,541.0,5
1786081860,540.7,541.0,540.7,541.0,38
1786081920,541.0,541.2,541.0,541.2,719
1786082040,541.35,541.35,541.0,541.0,350
1786082100,541.0,541.0,541.0,541.0,1600
1786082160,540.95,541.5,540.95,541.5,328
1786082220,541.5,541.5,541.5,541.5,1
1786082280,541.0,541.05,541.0,541.05,176
1786082340,541.05,541.05,541.05,541.05,129
1786082400,541.0,541.0,541.0,541.0,230
1786082460,541.0,541.5,541.0,541.5,501
1786082520,541.05,541.5,541.05,541.45,87
1786082580,541.05,541.6,541.05,541.6,941
1786082640,541.6,541.6,541.6,541.6,1
1786082700,541.55,541.8,541.55,541.8,29
1786082760,541.6,541.6,541.55,541.55,32
1786082820,541.55,541.55,541.55,541.55,174
1786082880,541.6,542.0,541.6,542.0,207
1786082940,542.1,542.1,541.65,541.65,207
1786083000,541.65,541.95,541.6,541.6,223
1786083060,542.1,542.1,542.05,542.1,155
1786083120,542.1,542.1,541.6,541.6,197
1786083180,542.05,542.05,541.6,541.6,58
1786083240,541.65,541.65,541.6,541.6,268
1786083300,542.0,542.0,541.65,541.65,2
1786083360,542.05,542.05,541.6,541.6,48
1786083420,541.95,541.95,541.95,541.95,6
1786083480,541.5,541.5,541.5,541.5,740
1786083540,541.75,541.75,541.75,541.75,57
1786083600,541.3,541.3,541.3,541.3,537
1786083660,541.35,541.35,541.0,541.0,644
1786083720,541.35,541.35,541.0,541.0,150
1786083780,541.35,541.35,541.05,541.05,151
1786083900,541.0,541.0,541.0,541.0,140
1786083960,541.35,541.35,541.0,541.0,22
1786084020,541.3,541.3,541.0,541.0,101
1786084080,541.0,541.3,541.0,541.3,148
1786084140,541.05,541.05,541.05,541.05,3
1786084200,541.0,541.35,541.0,541.0,1096
1786084260,541.0,541.0,541.0,541.0,150
1786084320,541.35,541.35,541.35,541.35,100
1786084380,541.3,541.3,541.0,541.0,40
1786084500,541.0,541.25,540.9,540.9,209
1786084560,540.05,540.5,540.05,540.4,8123
1786084620,540.2,540.65,540.0,540.0,1509
1786084680,540.0,540.45,540.0,540.0,612
1786084740,540.0,540.0,540.0,540.0,50
1786084800,540.05,540.05,538.0,538.7,22902
1786084860,538.85,539.0,538.3,538.75,579
1786084920,538.75,538.8,538.75,538.8,102
1786084980,539.05,539.05,539.05,539.05,6
1786085040,539.05,539.45,539.05,539.45,325
1786085100,539.1,539.45,538.95,538.95,2818
1786085160,539.3,539.3,538.1,538.1,2355
1786085220,538.15,538.15,538.15,538.15,88
1786085280,538.4,538.4,538.35,538.35,29
1786085340,538.35,538.35,538.0,538.0,1472
1786085460,538.35,538.35,538.35,538.35,62
1786085520,538.45,538.5,538.35,538.5,8
1786085580,538.2,538.2,538.2,538.2,150
1786085640,538.55,538.55,538.5,538.5,26
1786085700,538.1,538.1,537.4,537.55,2378
1786085760,538.05,538.15,537.75,538.15,11
1786085820,538.15,538.5,538.15,538.5,400
1786085940,538.45,538.5,537.85,537.95,1374
1786086000,537.95,537.95,537.95,537.95,20
1786086060,537.85,537.85,537.85,537.85,26
1786086120,537.55,538.45,537.55,538.45,532
1786086180,538.35,538.35,538.3,538.3,5
