time,open,high,low,close,volume
1786074300,2075.0,2088.5,2074.1,2088.5,6816
1786074360,2088.6,2088.6,2084.7,2086.2,2711
1786074420,2089.0,2092.1,2088.0,2089.8,4489
1786074480,2088.8,2093.2,2088.6,2093.2,1397
1786074540,2092.1,2094.4,2088.6,2088.6,4256
1786074600,2089.8,2092.7,2088.5,2092.7,1235
1786074660,2091.3,2099.3,2091.3,2099.3,4461
1786074720,2099.2,2099.3,2096.1,2099.1,2344
1786074780,2098.6,2100.8,2094.5,2096.3,3611
1786074840,2096.1,2097.7,2093.2,2094.5,1835
1786074900,2094.2,2099.2,2094.2,2098.0,1026
1786074960,2097.7,2103.6,2096.6,2100.5,5681
1786075020,2096.3,2099.9,2096.3,2099.5,2132
1786075080,2098.4,2098.4,2093.2,2093.2,1954
1786075140,2092.3,2095.5,2090.0,2092.7,2060
1786075200,2092.7,2094.0,2092.7,2092.7,557
1786075260,2092.7,2092.7,2091.0,2091.0,263
1786075320,2090.0,2096.2,2090.0,2095.2,484
1786075380,2095.6,2095.6,2093.9,2094.0,221
1786075440,2094.2,2097.4,2094.0,2097.4,120
1786075500,2097.4,2099.0,2097.4,2098.0,540
1786075560,2098.9,2099.4,2098.0,2099.4,296
1786075620,2100.0,2102.2,2098.2,2098.5,1411
1786075680,2098.2,2099.6,2098.2,2099.3,1370
1786075740,2099.1,2100.1,2097.3,2097.3,3968
1786075800,2096.0,2096.4,2093.2,2093.2,1473
1786075860,2093.1,2098.5,2092.0,2098.5,1969
1786075920,2099.4,2104.9,2098.5,2101.8,4082
1786075980,2103.6,2103.6,2100.9,2101.2,585
1786076040,2101.2,2104.6,2100.5,2104.0,854
1786076100,2106.1,2108.6,2105.0,2105.0,3497
1786076160,2106.0,2106.0,2098.4,2099.1,2076
1786076220,2098.8,2100.3,2098.8,2098.8,951
1786076280,2098.2,2099.0,2097.5,2099.0,592
1786076340,2098.2,2099.4,2097.7,2098.4,272
1786076400,2099.5,2099.5,2098.5,2098.7,110
1786076460,2099.4,2099.5,2098.7,2099.1,331
1786076520,2100.0,2100.7,2100.0,2100.1,490
1786076580,2100.0,2100.1,2100.0,2100.0,251
1786076640,2100.8,2104.4,2100.8,2104.4,104
1786076700,2105.0,2105.9,2104.4,2104.5,279
1786076760,2105.5,2105.5,2103.3,2103.3,400
1786076820,2104.5,2105.0,2103.8,2104.6,983
1786076880,2104.0,2104.0,2102.9,2103.0,410
1786076940,2103.2,2104.0,2103.1,2103.1,150
1786077000,2103.2,2103.2,2102.0,2102.0,835
1786077060,2102.0,2102.0,2100.6,2102.0,1034
1786077120,2101.0,2101.0,2097.0,2097.8,971
1786077180,2097.1,2100.0,2097.1,2099.6,708
1786077240,2099.6,2102.3,2099.2,2099.2,1897
1786077300,2099.1,2099.1,2097.2,2097.5,303
1786077360,2099.2,2099.6,2098.8,2099.6,102
1786077420,2098.5,2100.0,2097.1,2097.1,1796
1786077480,2098.8,2099.6,2098.8,2099.6,365
1786077540,2098.8,2098.8,2097.6,2098.0,128
1786077600,2098.8,2099.0,2097.4,2097.9,376
1786077660,2098.8,2099.6,2098.8,2099.6,58
1786077720,2099.6,2099.6,2096.4,2096.4,924
1786077780,2095.4,2095.4,2095.1,2095.4,459
1786077840,2096.0,2096.4,2095.6,2096.4,361
1786077900,2096.4,2096.4,2095.2,2095.2,1406
1786077960,2095.1,2095.1,2094.0,2094.3,512
1786078020,2094.5,2095.9,2093.1,2094.0,1992
1786078080,2094.2,2094.4,2093.0,2093.0,252
1786078140,2093.3,2094.4,2093.3,2094.3,29
1786078200,2095.0,2097.1,2095.0,2097.0,179
1786078260,2096.9,2097.0,2096.8,2096.8,78
1786078320,2098.4,2098.4,2096.6,2096.7,174
1786078380,2098.0,2098.0,2096.4,2096.4,106
1786078440,2096.0,2096.8,2095.6,2095.6,618
1786078500,2095.8,2096.6,2095.8,2096.6,21
