time,open,high,low,close,volume
1786074300,2589.0,2618.0,2589.0,2618.0,24077
1786074360,2616.9,2620.0,2610.0,2611.2,13782
1786074420,2611.4,2618.7,2608.6,2610.9,8767
1786074480,2609.3,2611.0,2607.0,2611.0,4530
1786074540,2611.4,2615.0,2608.4,2608.4,4893
1786074600,2626.4,2641.0,2611.5,2612.0,50920
1786074660,2611.7,2615.1,2609.4,2612.9,9382
1786074720,2613.3,2613.3,2607.0,2611.8,4597
1786074780,2611.5,2613.4,2610.9,2613.4,3495
1786074840,2614.1,2614.1,2611.3,2612.0,3511
1786074900,2611.3,2611.3,2606.1,2606.1,5119
1786074960,2609.8,2609.8,2603.3,2606.3,3642
1786075020,2605.0,2605.0,2600.0,2602.9,3058
1786075080,2602.9,2604.6,2594.4,2594.5,7034
1786075140,2593.0,2597.8,2592.2,2595.0,4670
1786075200,2595.0,2599.9,2595.0,2598.9,2530
1786075260,2600.8,2602.0,2599.3,2600.8,1924
1786075320,2600.0,2606.4,2600.0,2606.4,2868
1786075380,2606.9,2606.9,2604.0,2605.9,2255
1786075440,2605.9,2605.9,2601.0,2603.4,1200
1786075500,2602.7,2602.7,2600.1,2601.0,823
1786075560,2601.0,2602.0,2601.0,2602.0,548
1786075620,2601.7,2601.7,2599.6,2599.6,2135
1786075680,2598.0,2604.0,2597.7,2604.0,3258
1786075740,2604.8,2604.8,2600.1,2602.5,869
1786075800,2602.7,2605.0,2600.6,2605.0,870
1786075860,2603.8,2604.0,2602.0,2604.0,632
1786075920,2602.5,2605.0,2602.3,2602.9,1084
1786075980,2603.0,2605.0,2602.1,2603.7,2398
1786076040,2605.0,2605.9,2603.0,2605.8,944
1786076100,2607.7,2608.4,2607.0,2607.4,827
1786076160,2607.9,2607.9,2601.0,2601.5,4175
1786076220,2600.1,2601.9,2597.0,2599.1,1875
1786076280,2596.9,2597.0,2596.0,2596.9,1028
1786076340,2596.5,2599.0,2596.5,2599.0,247
1786076400,2599.0,2599.0,2595.2,2597.5,2291
1786076460,2600.0,2601.2,2598.5,2601.2,716
1786076520,2601.2,2601.2,2599.1,2600.0,731
1786076580,2599.0,2600.1,2598.7,2598.8,635
1786076640,2598.9,2601.6,2598.9,2600.7,505
1786076700,2600.8,2602.0,2600.1,2602.0,563
1786076760,2602.0,2602.0,2599.7,2599.7,411
1786076820,2601.5,2602.0,2601.5,2602.0,426
