time,open,high,low,close,volume
1786074300,4945.0,4975.0,4939.0,4971.9,66816
1786074360,4969.9,4970.0,4938.1,4943.4,27620
1786074420,4945.4,4960.6,4940.0,4953.4,10724
1786074480,4951.7,4955.0,4942.4,4949.6,9999
1786074540,4948.9,4959.8,4948.4,4956.0,7949
1786074600,4954.5,4956.0,4950.0,4951.6,7200
1786074660,4952.4,4954.4,4946.0,4947.7,8977
1786074720,4947.5,4950.0,4947.0,4949.0,4962
1786074780,4961.0,4962.0,4956.0,4958.3,13016
1786074840,4957.4,4961.4,4955.6,4959.9,5400
1786074900,4959.3,4960.0,4936.6,4937.6,26314
1786074960,4935.5,4947.9,4932.8,4944.9,27758
1786075020,4940.9,4944.6,4936.9,4943.8,5355
1786075080,4943.4,4943.6,4925.4,4925.4,8770
1786075140,4926.6,4930.0,4920.0,4925.8,11656
1786075200,4923.3,4932.1,4922.7,4924.8,22069
1786075260,4924.2,4926.9,4922.5,4923.0,7362
1786075320,4923.0,4934.9,4923.0,4933.6,5770
1786075380,4933.8,4933.8,4928.0,4929.5,2297
1786075440,4929.2,4931.0,4921.0,4921.0,5521
1786075500,4915.0,4917.3,4911.1,4914.5,19841
1786075560,4914.0,4917.0,4911.0,4915.0,9068
1786075620,4913.5,4915.0,4908.0,4908.0,11129
1786075680,4908.5,4918.4,4904.3,4912.0,12496
1786075740,4910.9,4913.0,4905.3,4905.5,5356
1786075800,4905.5,4913.2,4895.4,4905.8,48336
1786075860,4907.8,4907.8,4904.8,4905.0,5969
1786075920,4905.1,4909.2,4905.0,4906.9,20347
1786075980,4906.1,4910.0,4895.2,4899.1,12336
1786076040,4898.1,4901.1,4898.1,4900.0,9415
1786076100,4899.5,4907.3,4899.5,4903.0,5231
1786076160,4903.0,4903.1,4898.9,4902.6,3533
1786076220,4902.1,4904.1,4900.0,4902.2,2189
1786076280,4901.0,4901.0,4897.0,4897.0,3658
1786076340,4896.0,4904.1,4895.0,4902.0,5776
1786076400,4899.8,4903.0,4899.8,4900.1,2082
1786076460,4900.6,4904.0,4900.6,4903.1,2669
1786076520,4903.1,4907.6,4894.7,4894.7,12941
1786076580,4898.7,4901.2,4894.2,4894.7,4136
1786076640,4894.9,4897.0,4890.0,4894.5,6976
1786076700,4894.4,4903.8,4894.3,4901.9,6352
1786076760,4902.0,4905.0,4901.3,4904.5,3646
1786076820,4904.5,4908.0,4896.0,4896.0,4859
1786076880,4895.2,4900.5,4895.2,4897.8,2515
1786076940,4897.8,4900.8,4894.0,4897.4,3059
1786077000,4897.4,4903.0,4897.4,4902.3,1824
1786077060,4900.6,4905.0,4899.8,4903.3,1888
1786077120,4902.0,4902.0,4896.0,4896.4,3397
1786077180,4896.4,4899.9,4896.4,4899.5,1878
1786077240,4899.6,4899.6,4895.1,4896.4,1678
1786077300,4898.0,4898.6,4896.0,4896.9,875
1786077360,4896.9,4898.0,4892.5,4893.8,2831
1786077420,4894.8,4897.6,4893.2,4895.9,2066
1786077480,4896.0,4896.6,4892.9,4895.0,898
1786077540,4894.0,4897.4,4893.0,4895.5,2290
1786077600,4895.5,4898.3,4893.7,4897.7,942
1786077660,4898.4,4898.8,4894.8,4894.8,1385
1786077720,4895.2,4897.4,4893.0,4894.3,1088
1786077780,4894.3,4896.8,4893.1,4895.0,1303
1786077840,4895.0,4896.3,4894.0,4894.3,833
