time,open,high,low,close,volume
1786074300,1283.3,1288.7,1281.7,1288.6,3804
1786074360,1289.0,1289.0,1286.2,1286.2,2710
1786074420,1286.8,1287.5,1286.4,1286.4,768
1786074480,1286.1,1286.8,1285.9,1286.8,1390
1786074540,1286.8,1286.9,1286.4,1286.6,1160
1786074600,1286.1,1288.4,1286.1,1287.5,1875
1786074660,1287.7,1288.2,1287.7,1288.2,508
1786074720,1287.4,1288.0,1286.9,1286.9,1458
1786074780,1286.9,1287.4,1286.4,1287.3,653
1786074840,1286.9,1286.9,1285.9,1286.1,1810
1786074900,1285.9,1285.9,1285.2,1285.4,247
1786074960,1287.3,1287.6,1286.0,1287.6,3333
1786075020,1287.6,1287.6,1285.3,1286.0,146
1786075080,1286.0,1286.0,1285.1,1285.8,91
1786075140,1285.1,1286.7,1285.1,1286.7,345
1786075200,1286.6,1286.6,1285.1,1285.6,1319
1786075260,1285.9,1285.9,1284.5,1284.5,423
1786075320,1284.5,1284.6,1284.4,1284.5,137
1786075380,1284.4,1284.5,1284.0,1284.2,317
1786075440,1284.0,1284.4,1284.0,1284.4,85
1786075500,1283.6,1284.2,1283.6,1284.0,842
1786075560,1284.5,1284.6,1284.5,1284.6,415
1786075620,1285.3,1285.3,1282.8,1282.8,9193
1786075680,1282.4,1283.2,1282.2,1283.2,559
1786075740,1283.2,1283.4,1281.7,1281.7,1116
1786075800,1282.7,1282.7,1281.8,1282.0,1051
1786075860,1282.0,1282.5,1281.6,1281.6,808
1786075920,1281.9,1283.2,1281.7,1283.2,536
1786075980,1282.6,1283.3,1282.5,1283.2,286
1786076040,1282.4,1283.2,1282.4,1282.7,509
1786076100,1283.2,1283.6,1282.6,1283.6,334
1786076160,1283.0,1283.2,1281.7,1281.7,1580
1786076220,1282.4,1282.4,1281.7,1281.7,98
1786076280,1282.3,1282.3,1281.6,1282.2,3072
1786076340,1282.0,1282.4,1282.0,1282.4,162
1786076400,1282.4,1282.4,1278.8,1278.8,2703
1786076460,1280.0,1282.0,1280.0,1281.9,1967
1786076520,1281.6,1282.4,1281.0,1281.2,613
1786076580,1280.5,1281.2,1280.5,1281.2,77
1786076640,1280.7,1282.0,1280.7,1282.0,53
1786076700,1281.5,1284.0,1281.5,1284.0,875
1786076760,1284.0,1284.0,1282.7,1282.7,1173
1786076820,1284.7,1286.3,1284.5,1286.3,2579
1786076880,1285.5,1287.0,1285.5,1287.0,415
1786076940,1286.4,1287.3,1285.7,1286.5,446
1786077000,1287.0,1287.2,1286.4,1287.1,429
1786077060,1287.2,1287.2,1286.1,1287.1,553
1786077120,1287.5,1287.5,1286.0,1286.8,748
1786077180,1286.6,1286.6,1285.7,1285.7,22
1786077240,1285.7,1287.8,1285.5,1287.8,2732
1786077300,1288.7,1289.8,1288.4,1288.4,2172
1786077360,1288.8,1290.0,1288.8,1289.8,1415
1786077420,1289.8,1291.9,1289.8,1289.8,4832
1786077480,1291.0,1292.1,1291.0,1292.1,8480
1786077540,1291.7,1292.6,1290.4,1292.6,5511
1786077600,1292.1,1293.6,1292.1,1292.4,11051
1786077660,1293.0,1293.6,1292.4,1292.4,4927
1786077720,1292.4,1292.8,1292.1,1292.1,3348
1786077780,1290.6,1290.9,1290.0,1290.9,2112
1786077840,1290.6,1291.0,1290.2,1291.0,992
1786077900,1290.2,1291.0,1290.2,1291.0,2437
1786077960,1290.8,1291.0,1290.5,1290.5,370
1786078020,1291.0,1291.3,1290.6,1290.6,664
1786078080,1290.2,1290.8,1289.0,1289.0,2776
1786078140,1289.2,1289.2,1288.2,1288.7,1027
1786078200,1289.0,1289.4,1288.7,1289.4,641
1786078260,1289.6,1289.9,1289.0,1289.9,679
1786078320,1290.0,1290.0,1289.5,1289.6,557
1786078380,1290.0,1290.0,1289.0,1289.8,314
1786078440,1289.8,1290.0,1289.7,1289.7,1089
1786078500,1289.9,1291.8,1289.2,1291.0,3464
1786078560,1291.2,1291.2,1290.4,1290.4,129
1786078620,1291.0,1291.0,1290.0,1290.0,225
1786078680,1290.1,1290.1,1288.2,1289.7,1847
1786078740,1289.9,1290.8,1289.4,1290.5,752
1786078800,1291.0,1291.0,1290.2,1290.3,1473
1786078860,1290.2,1290.8,1289.0,1289.1,447
1786078920,1288.2,1288.2,1288.0,1288.1,488
