time,open,high,low,close,volume
1786074300,1328.0,1345.0,1328.0,1340.9,65137
1786074360,1341.7,1349.7,1341.0,1347.8,72620
1786074420,1348.1,1348.1,1343.5,1344.2,7848
1786074480,1345.8,1348.1,1345.8,1348.1,15040
1786074540,1348.1,1349.9,1346.7,1349.0,9714
1786074600,1349.4,1352.9,1348.7,1351.7,17478
1786074660,1352.1,1355.0,1351.7,1354.2,15525
1786074720,1354.9,1356.9,1354.5,1356.0,40626
1786074780,1359.0,1359.9,1356.1,1357.9,32375
1786074840,1358.5,1359.9,1357.8,1359.2,14521
1786074900,1359.2,1361.5,1357.8,1360.5,35795
1786074960,1360.8,1361.0,1359.3,1361.0,10046
1786075020,1360.3,1362.8,1360.0,1361.9,21971
1786075080,1361.3,1363.8,1361.1,1363.8,14799
1786075140,1364.0,1364.0,1361.7,1362.2,7161
1786075200,1362.1,1362.1,1361.1,1361.1,8011
1786075260,1360.6,1363.3,1360.6,1363.3,13449
1786075320,1363.2,1366.0,1363.2,1365.6,53788
1786075380,1365.6,1367.4,1364.8,1365.8,14807
1786075440,1366.2,1368.0,1364.2,1365.6,21412
1786075500,1365.5,1366.0,1363.4,1363.9,11836
1786075560,1363.9,1366.0,1363.9,1365.2,11853
1786075620,1365.1,1365.1,1363.3,1364.0,5565
1786075680,1364.1,1366.0,1364.1,1364.3,17817
1786075740,1364.9,1365.8,1364.1,1365.8,4843
1786075800,1365.8,1366.0,1364.5,1364.9,15602
1786075860,1365.4,1365.9,1364.5,1365.3,4090
1786075920,1365.9,1365.9,1364.9,1365.8,4681
1786075980,1366.4,1366.4,1365.4,1365.5,11519
1786076040,1366.0,1369.0,1365.5,1368.6,30091
1786076100,1368.7,1368.7,1366.9,1368.0,11965
1786076160,1368.4,1368.4,1366.5,1367.6,7735
1786076220,1367.5,1368.0,1367.0,1367.0,5021
1786076280,1367.6,1368.0,1366.6,1367.4,4493
1786076340,1368.0,1368.0,1365.4,1367.1,12311
1786076400,1366.5,1368.4,1366.5,1368.0,8750
1786076460,1368.5,1368.5,1365.5,1365.5,9683
1786076520,1366.2,1367.4,1365.5,1367.4,1927
1786076580,1366.9,1368.1,1366.9,1367.7,3752
1786076640,1367.4,1367.6,1362.4,1362.9,31813
1786076700,1362.9,1364.1,1362.0,1362.6,5897
1786076760,1362.1,1362.9,1362.1,1362.1,7201
1786076820,1362.1,1362.9,1362.1,1362.9,4036
1786076880,1363.8,1363.8,1362.4,1363.5,6078
1786076940,1363.0,1363.0,1361.4,1362.9,11156
1786077000,1362.6,1363.8,1362.6,1363.6,6536
1786077060,1363.6,1363.6,1362.8,1362.8,4415
1786077120,1363.8,1363.8,1362.4,1362.6,6332
1786077180,1362.6,1363.4,1362.0,1362.7,8530
1786077240,1362.7,1362.7,1361.5,1362.2,5531
1786077300,1362.1,1362.7,1362.1,1362.1,5809
1786077360,1361.4,1361.8,1361.0,1361.0,9874
1786077420,1361.5,1361.8,1359.8,1360.1,15013
1786077480,1360.1,1361.0,1359.4,1359.9,10096
1786077540,1359.3,1360.5,1359.2,1360.5,10435
1786077600,1360.2,1360.5,1359.9,1360.2,4288
1786077660,1360.5,1360.5,1357.3,1357.7,10303
1786077720,1357.8,1357.9,1356.7,1357.2,14726
1786077780,1357.3,1357.9,1357.2,1357.9,2178
1786077840,1358.0,1358.5,1357.8,1358.4,2845
1786077900,1357.1,1357.7,1357.1,1357.1,1861
1786077960,1357.3,1357.4,1356.5,1356.5,4711
1786078020,1356.9,1356.9,1355.4,1355.4,9102
1786078080,1355.2,1355.9,1353.7,1353.7,11265
1786078140,1353.6,1353.9,1353.0,1353.3,3672
1786078200,1353.8,1353.8,1352.9,1352.9,6949
1786078260,1352.5,1353.3,1352.5,1353.0,4048
1786078320,1353.0,1353.0,1352.5,1352.5,2791
1786078380,1352.5,1352.5,1351.5,1352.3,7479
1786078440,1351.8,1352.8,1351.7,1352.1,1809
1786078500,1351.9,1352.2,1351.1,1351.3,8645
1786078560,1351.6,1351.8,1351.0,1351.0,2674
1786078620,1350.7,1351.0,1350.5,1350.8,3579
1786078680,1350.9,1351.8,1350.6,1351.4,5739
1786078740,1351.6,1351.8,1351.1,1351.7,3045
1786078800,1351.1,1351.8,1351.0,1351.2,5908
1786078860,1351.8,1351.8,1350.6,1351.1,4643
1786078920,1351.9,1352.6,1351.2,1352.0,7671
1786078980,1351.9,1351.9,1351.5,1351.7,1843
1786079040,1352.4,1352.5,1351.5,1352.3,3171
1786079100,1352.1,1352.4,1351.4,1351.5,4193
1786079160,1351.2,1351.2,1350.1,1350.3,12108
1786079220,1350.1,1350.3,1349.6,1349.6,5235
1786079280,1349.9,1349.9,1349.3,1349.6,2598
1786079340,1349.6,1350.6,1349.6,1350.6,2106
1786079400,1350.4,1350.4,1349.5,1350.0,4753
1786079460,1350.0,1350.0,1347.5,1347.9,10965
1786079520,1348.4,1348.6,1347.9,1348.1,1348
1786079580,1348.1,1349.0,1348.0,1348.8,1909
1786079640,1348.7,1349.6,1348.3,1349.6,4987
1786079700,1349.7,1350.3,1349.5,1349.8,1226
1786079760,1349.7,1349.9,1349.1,1349.6,5319
1786079820,1349.8,1349.8,1348.6,1349.3,2070
1786079880,1349.3,1349.7,1348.5,1349.0,2863
1786079940,1349.1,1349.5,1348.5,1349.5,1717
1786080000,1349.5,1349.5,1349.0,1349.5,522
1786080060,1349.0,1349.5,1348.7,1348.7,1175
1786080120,1349.6,1349.7,1348.7,1349.3,1878
1786080180,1349.4,1349.6,1348.8,1349.0,725
1786080240,1348.7,1349.5,1348.7,1349.5,1854
1786080300,1350.0,1351.1,1349.4,1351.0,8209
1786080360,1351.0,1351.7,1349.5,1350.2,5638
1786080420,1350.0,1350.0,1349.5,1349.5,1179
1786080480,1349.0,1349.8,1348.9,1349.5,1372
1786080540,1349.0,1349.9,1348.9,1349.9,584
1786080600,1350.0,1350.0,1349.4,1349.7,559
