time,open,high,low,close,volume
1786074360,157.48,157.48,157.48,157.48,354
1786074420,156.91,157.69,156.82,156.82,1256
1786074480,156.69,156.69,156.69,156.69,50
1786074600,156.69,157.19,156.69,157.19,219
1786074660,157.1,157.1,156.87,156.87,2
1786074720,157.05,157.05,157.05,157.05,17
1786074780,157.01,157.34,156.81,156.81,198
1786074840,156.92,156.96,156.72,156.96,88
1786074900,156.75,156.75,156.75,156.75,7
1786075020,156.75,156.8,156.5,156.8,336
1786075080,156.5,156.5,156.5,156.5,350
1786075140,156.59,156.59,156.5,156.5,11
1786075200,156.5,156.56,156.35,156.56,337
1786075320,156.81,156.81,156.81,156.81,106
1786075440,156.79,156.79,156.79,156.79,1
1786075560,156.79,156.87,156.79,156.87,117
1786075620,156.59,156.59,156.59,156.59,5
1786075680,156.55,156.55,156.55,156.55,124
1786075740,156.86,156.95,156.86,156.88,451
1786075920,156.57,156.57,156.57,156.57,188
1786075980,156.55,156.55,156.55,156.55,99
1786076040,156.5,156.55,156.5,156.55,1061
1786076100,156.4,156.59,156.4,156.59,143
1786076160,156.75,156.75,156.75,156.75,50
1786076220,156.59,156.59,156.59,156.59,17
1786076340,156.66,156.66,156.66,156.66,315
1786076460,156.66,156.66,156.66,156.66,11
1786076520,156.89,156.89,156.89,156.89,192
1786076640,156.8,156.8,156.8,156.8,11
1786076700,156.8,156.8,156.8,156.8,271
1786076760,156.8,156.8,156.8,156.8,100
1786076820,156.8,156.8,156.8,156.8,150
1786076880,156.8,156.8,156.8,156.8,100
1786076940,156.8,156.8,156.8,156.8,250
1786077000,156.66,156.66,156.66,156.66,3
1786077420,156.67,156.67,156.67,156.67,112
1786077480,156.67,156.8,156.67,156.8,16
1786077540,156.8,156.95,156.8,156.95,253
1786077600,156.95,157.0,156.95,157.0,267
1786077660,157.18,157.18,157.18,157.18,5
1786077780,157.16,157.16,157.16,157.16,1
1786077900,157.0,157.0,156.5,156.5,4494
1786077960,156.5,156.5,156.5,156.5,100
1786078680,156.75,156.75,156.51,156.51,3
1786078920,156.75,156.75,156.75,156.75,1
1786078980,156.75,156.75,156.75,156.75,6
1786079100,156.5,156.69,156.5,156.69,2229
1786079280,156.66,156.66,156.66,156.66,275
1786079340,156.5,156.5,156.5,156.5,360
1786080000,156.22,156.22,156.22,156.22,340
1786080120,156.52,156.52,156.23,156.23,131
1786080180,156.46,156.46,156.46,156.46,110
1786080300,156.89,156.89,156.89,156.89,610
1786080360,156.89,156.89,156.89,156.89,2637
1786080540,156.44,156.72,156.44,156.72,105
1786080600,156.65,156.65,156.65,156.65,2
1786080720,156.07,156.07,156.07,156.07,1100
1786080840,156.59,156.59,156.59,156.59,50
1786081020,156.6,156.6,156.36,156.36,75
1786081080,156.88,156.88,156.88,156.88,250
1786081260,156.6,156.6,156.6,156.6,2
1786081320,156.4,156.4,156.4,156.4,5
1786081860,156.46,156.46,156.46,156.46,148
1786081920,156.45,156.45,156.3,156.3,100
1786081980,156.46,156.46,156.46,156.46,20
1786082100,156.44,156.44,156.44,156.44,1
1786082160,156.44,156.44,156.44,156.44,1
1786082220,156.23,156.23,156.17,156.17,27
1786082280,156.37,156.37,156.37,156.37,2
1786082340,156.43,156.43,156.43,156.43,190
1786082580,156.46,156.46,156.46,156.46,6
1786082700,156.27,156.27,156.27,156.27,1
1786082760,156.45,156.45,156.45,156.45,3
1786083000,156.3,156.3,156.3,156.3,30
1786083120,156.46,156.46,156.46,156.46,1700
1786083300,156.86,156.86,156.86,156.86,1
1786083360,156.79,156.79,156.79,156.79,12
1786083480,156.79,156.79,156.79,156.79,1
1786083540,156.79,156.79,156.79,156.79,100
1786083600,156.76,156.76,156.76,156.76,1
1786083660,156.51,156.51,156.51,156.51,25
1786084140,156.79,156.79,156.79,156.79,100
1786084200,156.78,156.78,156.78,156.78,30
1786084620,156.77,156.77,156.77,156.77,50
1786084860,156.75,156.75,156.75,156.75,1
1786085160,156.66,156.66,156.66,156.66,40
1786085220,156.53,156.53,156.53,156.53,98
1786085340,156.66,156.66,156.66,156.66,10
1786085400,156.51,156.51,156.51,156.51,3
1786085700,156.4,156.4,156.4,156.4,25
1786085940,156.46,156.46,156.46,156.46,23
1786086000,156.37,156.46,156.37,156.46,230
1786086060,156.46,156.46,156.46,156.46,51
1786086180,156.46,156.46,156.46,156.46,90
1786086240,156.46,156.46,156.46,156.46,3
1786086300,156.3,156.3,156.3,156.3,2
1786086360,156.3,156.3,156.3,156.3,1746
1786086480,156.59,156.59,156.59,156.59,10
1786086540,156.54,156.54,156.54,156.54,3
1786086900,156.3,156.46,156.3,156.46,270
1786087020,156.46,156.46,156.46,156.46,27
1786087320,156.45,156.45,156.45,156.45,6
1786087500,156.35,156.35,156.35,156.35,60
1786087560,156.3,156.3,156.3,156.3,116
1786087740,156.26,156.26,156.26,156.26,5
1786087800,156.26,156.26,156.26,156.26,2
1786087980,156.59,156.59,156.59,156.59,200
1786088040,156.3,156.3,156.26,156.26,75
1786088100,156.11,156.12,156.06,156.12,1425
1786088220,156.45,156.45,156.45,156.45,10
1786088280,156.48,156.48,156.48,156.48,25
1786088340,156.56,156.56,156.56,156.56,40
1786088700,156.6,156.6,156.6,156.6,1
1786088760,156.36,156.36,156.36,156.36,54
1786088820,156.59,156.59,156.28,156.28,27
1786089000,156.52,156.52,156.05,156.45,2002
1786089360,156.45,156.45,156.45,156.45,4
1786089480,156.36,156.36,156.36,156.36,10
1786089840,156.2,156.2,156.2,156.2,25
1786090020,156.2,156.43,156.18,156.43,221
1786090260,156.45,156.45,156.45,156.45,500
1786090380,156.42,156.42,156.42,156.42,500
1786090680,156.42,156.42,156.42,156.42,55
1786091040,156.43,156.43,156.43,156.43,1140
1786091100,156.55,156.55,156.55,156.55,4
1786091280,156.58,156.58,156.58,156.58,25
1786091400,156.43,156.43,156.43,156.43,31
1786091640,156.58,156.58,156.58,156.58,7
1786091760,156.43,156.56,156.43,156.56,96
1786091940,156.13,156.13,156.13,156.13,40
1786092000,156.1,156.1,156.1,156.1,315
1786092060,156.2,156.2,156.2,156.2,90
1786092360,156.18,156.18,156.18,156.18,675
1786092420,156.2,156.89,156.2,156.89,1506
1786092480,156.58,156.58,156.58,156.58,1
1786092540,156.58,156.59,156.57,156.57,30
1786092660,156.56,156.56,156.28,156.28,2
1786092840,156.31,156.55,156.31,156.55,223
1786092900,156.53,156.54,156.53,156.54,31
1786092960,156.55,156.55,156.55,156.55,100
1786093140,156.2,156.2,156.2,156.2,600
1786093260,156.13,156.45,156.13,156.45,24
1786093320,156.43,156.43,156.43,156.43,10
1786093500,156.37,156.37,156.37,156.37,26
1786093680,156.18,156.18,156.18,156.18,128
1786093800,156.06,156.06,156.06,156.06,500
1786093860,156.05,156.25,156.05,156.2,311
1786093920,156.15,156.15,156.15,156.15,2669
1786093980,156.18,156.18,156.18,156.18,2134
1786094040,156.5,156.5,156.5,156.5,500
1786094100,156.4,156.5,156.4,156.5,11
1786094280,156.05,156.05,156.05,156.05,1000
1786094340,156.49,156.49,156.49,156.49,10
1786094400,156.19,156.19,156.19,156.19,10
1786094520,156.5,156.54,156.5,156.54,255
1786094580,156.25,156.25,156.25,156.25,10
1786094760,156.46,156.46,156.46,156.46,100
1786094880,156.44,156.46,156.25,156.25,24
1786094940,156.24,156.24,156.24,156.24,18
1786095060,156.25,156.25,156.25,156.25,1
1786095120,156.25,156.37,156.25,156.37,10
1786095180,156.38,156.38,156.25,156.25,319
1786095300,156.37,156.37,156.37,156.37,52
1786095420,156.37,156.37,156.26,156.26,91
1786095480,156.2,156.2,156.2,156.2,201
1786095600,156.37,156.37,156.37,156.37,5
1786095720,156.37,156.37,156.37,156.37,268
1786095780,156.37,156.37,156.37,156.37,1
1786095900,156.25,156.25,156.25,156.25,25
1786095960,156.34,156.34,156.34,156.34,2
1786096020,156.29,156.29,156.27,156.27,13
1786096080,156.38,156.38,156.38,156.38,100
1786096140,156.37,156.37,156.1,156.1,901
1786096200,156.37,156.37,156.37,156.37,22
1786096260,156.38,156.56,156.38,156.56,98
1786096320,156.56,156.56,156.56,156.56,2
1786096380,156.56,156.56,156.56,156.56,127
1786096440,156.56,156.56,156.56,156.56,10
1786096500,156.56,156.56,156.5,156.5,203
1786096560,156.5,156.5,156.5,156.5,27
1786096620,156.5,156.89,156.5,156.89,863
1786096680,156.4,156.81,156.4,156.81,282
1786096740,156.75,156.75,156.0,156.01,2203
1786333500,156.27,156.27,156.27,156.27,10
1786333560,155.91,155.91,155.91,155.91,1
1786333680,155.79,155.81,155.79,155.81,125
1786333860,156.11,156.11,155.99,155.99,82
1786333920,156.2,156.49,156.0,156.0,1000
1786334100,156.0,156.0,156.0,156.0,100
1786334160,156.08,156.08,156.08,156.08,1
1786334220,155.82,155.82,155.82,155.82,1
1786334340,155.84,155.91,155.84,155.91,147
1786334400,155.89,156.14,155.81,155.81,128
1786334580,155.92,155.92,155.92,155.92,71
1786334640,155.92,155.92,155.92,155.92,104
1786334700,155.6,155.6,155.6,155.6,1044
1786334760,155.91,155.91,155.91,155.91,31
1786334820,155.95,155.95,155.9,155.9,16
1786334880,156.0,156.0,156.0,156.0,300
1786334940,155.99,155.99,155.8,155.99,844
1786335000,155.99,155.99,155.99,155.99,2
1786335120,155.61,155.98,155.4,155.5,3188
1786335180,155.49,155.5,155.49,155.5,684
1786335240,155.77,155.77,155.77,155.77,21
1786335420,155.75,155.75,155.69,155.69,30
1786335480,155.5,155.64,155.5,155.64,1011
1786335540,155.64,155.64,155.64,155.64,1
1786335660,155.5,155.5,155.5,155.5,85
1786335840,155.5,155.5,155.5,155.5,108
1786336020,155.5,155.5,155.5,155.5,65
1786336080,155.5,155.5,155.5,155.5,100
1786336200,155.7,155.7,155.7,155.7,101
1786336260,155.75,155.75,155.75,155.75,1
1786336320,155.7,155.7,155.7,155.7,10
1786336440,155.7,155.7,155.7,155.7,200
1786336500,155.69,155.69,155.69,155.69,25
1786336620,155.69,155.69,155.68,155.68,60
1786336740,155.48,155.83,155.48,155.83,1419
1786336860,156.0,156.0,156.0,156.0,1
1786336980,155.9,155.9,155.63,155.63,41
1786337100,155.8,155.8,155.8,155.8,151
1786337160,156.0,156.19,156.0,156.19,500
1786337220,156.12,156.12,156.12,156.12,82
1786337340,156.27,156.35,156.27,156.35,167
1786337400,156.54,156.54,156.54,156.54,1
1786337460,156.33,156.33,156.22,156.22,96
