time,open,high,low,close,volume
1786074300,203.45,203.98,203.0,203.73,266691
1786074360,204.5,205.88,204.29,205.29,461856
1786074420,205.29,206.2,205.12,205.69,211881
1786074480,205.4,205.8,205.3,205.74,68821
1786074540,205.69,206.2,205.34,206.0,148990
1786074600,206.05,206.18,205.5,206.0,363559
1786074660,206.28,206.7,205.88,206.36,833054
1786074720,206.35,206.4,205.67,205.82,85372
1786074780,205.79,205.8,205.64,205.64,49221
1786074840,205.58,205.58,204.54,204.54,114569
1786074900,204.46,204.46,203.52,203.69,261803
1786074960,203.69,203.72,203.2,203.5,100844
1786075020,203.48,204.5,203.13,204.38,186949
1786075080,204.23,204.26,202.85,203.49,244295
1786075140,203.49,203.49,202.95,203.0,65037
1786075200,202.9,203.0,202.78,202.95,188245
1786075260,202.95,203.76,202.91,203.65,117506
1786075320,203.65,204.3,203.57,204.3,91221
1786075380,204.3,204.54,202.5,202.71,210317
1786075440,202.69,203.0,202.65,202.98,36334
1786075500,202.9,203.0,202.9,203.0,207805
1786075560,203.0,203.0,202.59,202.75,55631
1786075620,202.96,204.33,202.96,204.33,72034
1786075680,204.31,204.34,203.9,204.29,53259
1786075740,204.4,204.48,204.2,204.3,33239
1786075800,204.3,204.79,204.26,204.79,47894
1786075860,204.74,204.74,204.51,204.51,27470
1786075920,204.6,204.6,204.5,204.51,14057
1786075980,204.15,204.37,204.04,204.04,87332
1786076040,203.9,204.05,203.73,204.05,31943
1786076100,204.49,204.5,204.19,204.22,24189
1786076160,204.28,204.31,204.25,204.25,7853
1786076220,204.27,204.27,203.9,203.9,13996
1786076280,203.9,203.9,203.7,203.75,7174
1786076340,203.8,203.89,203.62,203.89,18432
1786076400,203.82,203.98,203.76,203.78,38880
1786076460,203.74,204.0,203.74,203.92,82321
1786076520,204.0,204.0,203.62,203.79,25163
1786076580,203.64,203.81,203.64,203.81,8630
1786076640,203.81,203.89,203.73,203.89,12591
1786076700,203.88,203.97,203.85,203.97,9526
1786076760,203.92,203.99,203.71,203.85,13774
1786076820,203.85,203.91,203.75,203.86,4577
1786076880,203.84,203.84,203.7,203.7,10920
1786076940,203.7,203.8,203.7,203.77,9252
1786077000,203.8,203.98,202.71,202.8,94318
1786077060,202.83,202.83,202.5,202.7,47864
1786077120,202.8,202.8,202.71,202.8,20198
1786077180,202.8,202.92,202.72,202.91,38391
1786077240,202.9,202.9,201.65,201.87,206950
1786077300,201.69,202.03,201.5,201.7,177924
1786077360,201.71,201.75,201.67,201.75,11659
1786077420,201.75,202.0,201.73,201.86,41451
1786077480,201.86,201.86,201.75,201.83,9875
