time,open,high,low,close,volume
1786074300,84.56,84.56,84.21,84.41,85123
1786074360,84.35,84.36,84.26,84.32,16799
1786074420,84.3,84.46,84.26,84.32,23858
1786074480,84.27,84.32,84.24,84.32,28588
1786074540,84.41,84.41,84.28,84.28,2287
1786074600,84.33,84.34,84.25,84.34,6170
1786074660,84.36,84.44,84.33,84.44,6770
1786074720,84.4,84.4,84.36,84.4,3308
1786074780,84.39,84.42,84.39,84.39,3449
1786074840,84.39,84.42,84.36,84.4,3989
1786074900,84.44,84.45,84.4,84.44,12992
1786074960,84.44,84.48,84.44,84.46,7832
1786075020,84.45,84.45,84.35,84.39,1602
1786075080,84.38,84.39,84.35,84.39,5290
1786075140,84.38,84.43,84.38,84.42,3801
1786075200,84.43,84.43,84.38,84.4,2049
1786075260,84.36,84.37,84.33,84.33,4103
1786075320,84.33,84.37,84.27,84.35,5894
1786075380,84.35,84.37,84.3,84.34,4636
1786075440,84.37,84.37,84.37,84.37,1150
1786075500,84.44,84.45,84.4,84.4,17739
1786075560,84.35,84.44,84.35,84.39,32144
1786075620,84.42,84.42,84.35,84.35,8948
1786075680,84.35,84.36,84.3,84.34,1580
1786075740,84.34,84.34,84.34,84.34,873
1786075800,84.3,84.31,84.28,84.28,6946
1786075860,84.35,84.38,84.31,84.38,4409
1786075920,84.35,84.35,84.31,84.31,1510
1786075980,84.34,84.34,84.31,84.31,1087
1786076040,84.29,84.38,84.29,84.32,4044
1786076100,84.33,84.35,84.32,84.32,481
1786076160,84.32,84.37,84.32,84.36,51
1786076220,84.35,84.36,84.33,84.33,808
1786076280,84.36,84.36,84.28,84.33,5169
1786076340,84.33,84.38,84.33,84.38,1721
1786076400,84.32,84.38,84.32,84.38,511
1786076460,84.43,84.43,84.43,84.43,4768
1786076520,84.45,84.45,84.43,84.43,1672
1786076580,84.45,84.45,84.44,84.45,1340
1786076640,84.48,84.48,84.37,84.41,8621
1786076700,84.4,84.5,84.4,84.5,2667
1786076760,84.45,84.5,84.45,84.5,1692
1786076820,84.5,84.5,84.45,84.49,759
1786076880,84.48,84.48,84.45,84.45,1489
1786076940,84.45,84.45,84.45,84.45,1476
1786077000,84.45,84.48,84.45,84.45,756
1786077060,84.45,84.5,84.38,84.43,13506
1786077120,84.4,84.44,84.39,84.44,701
1786077180,84.44,84.49,84.43,84.49,127
1786077240,84.44,84.49,84.42,84.43,1529
1786077300,84.45,84.45,84.41,84.42,1330
1786077360,84.4,84.48,84.4,84.47,8709
1786077420,84.42,84.48,84.42,84.43,630
1786077480,84.43,84.44,84.43,84.43,346
1786077540,84.43,84.47,84.43,84.43,1555
1786077600,84.43,84.49,84.43,84.49,2507
1786077660,84.43,84.5,84.43,84.5,6398
1786077720,84.44,84.44,84.38,84.38,13215
1786077780,84.38,84.38,84.36,84.38,6498
1786077840,84.36,84.46,84.36,84.39,11555
1786077900,84.44,84.44,84.37,84.37,850
1786077960,84.37,84.39,84.37,84.39,225
1786078020,84.38,84.4,84.37,84.37,886
1786078080,84.37,84.37,84.28,84.31,16384
1786078140,84.28,84.32,84.28,84.3,2805
1786078200,84.28,84.31,84.21,84.25,27811
1786078260,84.21,84.25,84.21,84.21,2842
1786078320,84.21,84.22,84.18,84.2,17138
1786078380,84.18,84.2,84.13,84.16,46722
1786078440,84.11,84.15,84.11,84.15,4277
1786078500,84.11,84.15,84.11,84.14,5311
1786078560,84.14,84.15,84.11,84.11,2620
1786078620,84.11,84.12,84.1,84.12,85047
1786078680,84.1,84.12,84.1,84.11,1912
1786078740,84.11,84.11,84.05,84.07,19847
1786078800,84.08,84.09,84.04,84.09,11291
1786078860,84.07,84.18,84.07,84.09,13802
1786078920,84.07,84.1,84.07,84.1,1388
1786078980,84.1,84.2,84.1,84.2,50643
1786079040,84.18,84.19,84.11,84.11,3954
1786079100,84.1,84.1,84.07,84.1,15429
1786079160,84.1,84.26,84.1,84.25,30632
1786079220,84.22,84.28,84.22,84.26,10402
1786079280,84.36,84.36,84.3,84.34,6098
1786079340,84.31,84.36,84.31,84.36,2274
1786079400,84.38,84.38,84.31,84.32,21218
1786079460,84.32,84.34,84.27,84.27,3151
1786079520,84.32,84.34,84.28,84.33,2518
1786079580,84.33,84.33,84.23,84.23,10795
1786079640,84.29,84.31,84.23,84.31,716
1786079700,84.25,84.28,84.21,84.27,1759
1786079760,84.25,84.32,84.25,84.32,4055
1786079820,84.29,84.29,84.24,84.24,655
1786079880,84.29,84.29,84.23,84.28,2157
1786079940,84.23,84.28,84.21,84.26,3662
1786080000,84.21,84.27,84.21,84.21,3385
1786080060,84.22,84.29,84.22,84.26,12434
1786080120,84.26,84.3,84.25,84.3,3902
1786080180,84.26,84.35,84.26,84.33,26165
1786080240,84.3,84.3,84.29,84.29,329
1786080300,84.27,84.31,84.27,84.31,3017
1786080360,84.27,84.31,84.23,84.25,5870
1786080420,84.25,84.32,84.25,84.25,30
1786080480,84.25,84.26,84.25,84.26,6
1786080540,84.27,84.28,84.25,84.25,1052
1786080600,84.25,84.25,84.2,84.25,4293
1786080660,84.22,84.28,84.22,84.28,1210
