time,open,high,low,close,volume
1786074300,12.63,12.68,12.63,12.68,4706395
1786074360,12.68,12.68,12.66,12.66,1856443
1786074420,12.66,12.69,12.65,12.66,5059153
1786074480,12.67,12.67,12.65,12.66,1385820
1786074540,12.67,12.68,12.66,12.68,1318337
1786074600,12.68,12.68,12.67,12.68,463060
1786074660,12.68,12.69,12.67,12.69,1974043
1786074720,12.68,12.69,12.68,12.69,261206
1786074780,12.68,12.68,12.62,12.65,9014587
1786074840,12.66,12.67,12.66,12.66,759667
1786074900,12.65,12.65,12.62,12.64,3529581
1786074960,12.64,12.64,12.64,12.64,496683
1786075020,12.64,12.64,12.62,12.63,2268720
1786075080,12.63,12.64,12.6,12.64,3825482
1786075140,12.64,12.64,12.64,12.64,362481
1786075200,12.65,12.67,12.65,12.67,1337351
1786075260,12.66,12.67,12.65,12.67,882658
1786075320,12.65,12.67,12.65,12.65,569819
1786075380,12.66,12.66,12.65,12.65,178416
1786075440,12.65,12.66,12.64,12.64,578391
1786075500,12.65,12.65,12.63,12.64,453126
1786075560,12.63,12.64,12.63,12.64,290955
1786075620,12.64,12.65,12.64,12.65,1115106
1786075680,12.65,12.66,12.64,12.66,474110
1786075740,12.66,12.66,12.65,12.66,314084
1786075800,12.65,12.66,12.65,12.66,213415
1786075860,12.66,12.66,12.65,12.66,53517
1786075920,12.66,12.66,12.65,12.66,281645
1786075980,12.66,12.67,12.65,12.66,489559
1786076040,12.66,12.68,12.66,12.67,986833
1786076100,12.67,12.72,12.67,12.7,9653425
1786076160,12.71,12.71,12.7,12.71,998120
1786076220,12.7,12.7,12.69,12.69,865451
1786076280,12.7,12.7,12.69,12.69,531052
1786076340,12.7,12.7,12.69,12.7,517902
1786076400,12.69,12.7,12.69,12.69,736597
1786076460,12.7,12.7,12.69,12.7,266647
1786076520,12.7,12.7,12.69,12.7,273958
1786076580,12.7,12.7,12.69,12.7,302889
1786076640,12.7,12.7,12.69,12.7,176583
1786076700,12.7,12.72,12.7,12.71,1275826
1786076760,12.71,12.72,12.71,12.72,243729
1786076820,12.71,12.72,12.71,12.71,1205300
1786076880,12.71,12.71,12.69,12.7,924159
1786076940,12.71,12.71,12.7,12.7,83562
1786077000,12.71,12.71,12.7,12.7,464068
1786077060,12.7,12.71,12.7,12.7,153378
1786077120,12.7,12.71,12.7,12.7,169096
1786077180,12.69,12.7,12.69,12.69,395879
1786077240,12.69,12.7,12.68,12.68,1878069
1786077300,12.67,12.68,12.67,12.67,232465
1786077360,12.67,12.68,12.67,12.67,349683
1786077420,12.68,12.68,12.67,12.68,132344
1786077480,12.68,12.68,12.67,12.67,150487
1786077540,12.67,12.68,12.67,12.68,165064
1786077600,12.68,12.68,12.67,12.68,55646
1786077660,12.67,12.68,12.67,12.68,206989
1786077720,12.68,12.68,12.66,12.66,203566
1786077780,12.68,12.68,12.66,12.67,694997
1786077840,12.66,12.67,12.66,12.67,194419
1786077900,12.67,12.71,12.67,12.71,1854266
1786077960,12.71,12.71,12.69,12.7,251576
1786078020,12.7,12.7,12.69,12.7,1602808
1786078080,12.71,12.71,12.69,12.69,340447
1786078140,12.69,12.69,12.68,12.68,312544
1786078200,12.69,12.7,12.69,12.69,341909
1786078260,12.68,12.69,12.68,12.68,109971
1786078320,12.69,12.7,12.68,12.69,155410
1786078380,12.69,12.7,12.68,12.7,180517
1786078440,12.69,12.7,12.69,12.7,56082
1786078500,12.7,12.71,12.69,12.71,1308365
1786078560,12.72,12.72,12.7,12.7,353916
1786078620,12.71,12.71,12.69,12.69,254114
1786078680,12.7,12.7,12.69,12.69,53258
1786078740,12.69,12.7,12.69,12.69,414728
1786078800,12.7,12.7,12.69,12.7,103539
1786078860,12.69,12.7,12.69,12.69,144316
1786078920,12.69,12.7,12.69,12.69,209202
1786078980,12.7,12.7,12.69,12.69,122715
1786079040,12.7,12.73,12.69,12.73,2093928
1786079100,12.73,12.73,12.72,12.72,423286
1786079160,12.72,12.73,12.72,12.73,351872
1786079220,12.72,12.73,12.72,12.72,176176
1786079280,12.73,12.74,12.72,12.74,397258
1786079340,12.74,12.74,12.73,12.73,608399
1786079400,12.73,12.74,12.73,12.74,303199
1786079460,12.74,12.74,12.73,12.73,120902
1786079520,12.73,12.74,12.73,12.73,190587
1786079580,12.73,12.74,12.73,12.74,165967
1786079640,12.74,12.74,12.72,12.73,252528
1786079700,12.73,12.73,12.72,12.72,177868
1786079760,12.72,12.73,12.72,12.73,55442
1786079820,12.72,12.73,12.72,12.72,153374
1786079880,12.72,12.73,12.72,12.73,84699
1786079940,12.73,12.73,12.72,12.73,159143
1786080000,12.73,12.73,12.72,12.72,128038
1786080060,12.72,12.73,12.72,12.72,315996
1786080120,12.73,12.73,12.72,12.73,94572
1786080180,12.72,12.73,12.72,12.73,393802
1786080240,12.73,12.73,12.72,12.72,119984
1786080300,12.71,12.72,12.71,12.72,85069
1786080360,12.71,12.72,12.71,12.71,73989
1786080420,12.72,12.72,12.71,12.72,338474
1786080480,12.71,12.71,12.7,12.71,224665
1786080540,12.71,12.71,12.7,12.7,471494
1786080600,12.7,12.7,12.69,12.69,92557
1786080660,12.69,12.7,12.69,12.7,160416
1786080720,12.7,12.7,12.69,12.7,102011
1786080780,12.69,12.7,12.69,12.69,346809
1786080840,12.7,12.7,12.69,12.7,132645
1786080900,12.7,12.7,12.69,12.7,99607
1786080960,12.7,12.7,12.69,12.69,352752
1786081020,12.7,12.7,12.68,12.69,314227
1786081080,12.68,12.69,12.68,12.68,118991
1786081140,12.69,12.69,12.68,12.69,143354
1786081200,12.68,12.7,12.68,12.69,204837
1786081260,12.7,12.7,12.69,12.7,117699
1786081320,12.69,12.7,12.69,12.69,74507
1786081380,12.69,12.7,12.69,12.7,45835
1786081440,12.7,12.7,12.69,12.69,150348
1786081500,12.7,12.7,12.69,12.69,54670
1786081560,12.7,12.7,12.69,12.7,58997
1786081620,12.7,12.7,12.68,12.68,149720
1786081680,12.68,12.69,12.68,12.68,58913
1786081740,12.69,12.7,12.68,12.69,127569
1786081800,12.7,12.7,12.69,12.7,70514
1786081860,12.69,12.7,12.69,12.7,102540
1786081920,12.7,12.7,12.69,12.7,22996
1786081980,12.7,12.7,12.69,12.7,307040
1786082040,12.7,12.7,12.69,12.7,65161
1786082100,12.7,12.72,12.7,12.71,370019
1786082160,12.71,12.72,12.71,12.71,76421
1786082220,12.72,12.72,12.71,12.72,137160
1786082280,12.71,12.72,12.71,12.71,118386
1786082340,12.72,12.72,12.71,12.72,18264
1786082400,12.72,12.72,12.71,12.71,146440
1786082460,12.71,12.72,12.71,12.72,50049
1786082520,12.72,12.72,12.71,12.72,1579404
1786082580,12.71,12.72,12.71,12.72,149639
1786082640,12.72,12.73,12.71,12.72,205299
1786082700,12.73,12.73,12.72,12.72,211208
1786082760,12.72,12.73,12.71,12.72,906162
1786082820,12.71,12.73,12.71,12.72,332629
1786082880,12.73,12.73,12.72,12.72,67531
1786082940,12.73,12.73,12.72,12.73,257103
1786083000,12.72,12.73,12.72,12.73,140736
1786083060,12.72,12.73,12.71,12.72,228269
1786083120,12.71,12.72,12.71,12.71,38345
1786083180,12.71,12.72,12.71,12.71,17520
1786083240,12.72,12.72,12.71,12.72,85464
1786083300,12.72,12.72,12.71,12.72,48940
1786083360,12.72,12.72,12.71,12.71,26653
1786083420,12.72,12.72,12.71,12.72,124766
1786083480,12.72,12.72,12.71,12.72,49728
1786083540,12.72,12.72,12.71,12.72,103128
1786083600,12.72,12.72,12.7,12.7,111106
1786083660,12.72,12.72,12.7,12.71,71283
1786083720,12.7,12.71,12.7,12.71,104109
1786083780,12.7,12.71,12.7,12.7,54115
1786083840,12.7,12.71,12.7,12.7,20743
1786083900,12.71,12.71,12.7,12.7,23110
1786083960,12.71,12.71,12.7,12.7,45590
1786084020,12.7,12.71,12.7,12.7,285574
1786084080,12.7,12.71,12.7,12.71,33512
1786084140,12.7,12.71,12.7,12.7,118941
1786084200,12.71,12.72,12.7,12.72,78376
1786084260,12.72,12.72,12.71,12.71,39795
