time,open,high,low,close,volume
1786074300,85.01,85.05,84.55,84.58,160533
1786074360,84.38,84.69,84.35,84.65,571896
1786074420,84.68,84.72,84.57,84.57,59310
1786074480,84.63,84.63,84.54,84.56,14938
1786074540,84.7,84.72,84.65,84.66,32332
1786074600,84.68,84.75,84.64,84.75,16419
1786074660,84.75,84.75,84.65,84.71,27047
1786074720,84.67,84.71,84.6,84.62,37314
1786074780,84.61,84.64,84.61,84.63,35141
1786074840,84.6,84.63,84.56,84.59,32539
1786074900,84.6,84.75,84.58,84.75,127621
1786074960,84.73,84.83,84.73,84.75,24420
1786075020,84.77,84.77,84.72,84.75,24361
1786075080,84.72,84.75,84.72,84.75,25362
1786075140,84.7,84.77,84.7,84.75,25958
1786075200,84.74,84.77,84.71,84.71,35575
1786075260,84.75,84.83,84.71,84.8,36423
1786075320,84.8,84.81,84.76,84.79,61135
1786075380,84.8,84.88,84.8,84.85,69003
1786075440,84.89,84.9,84.89,84.9,72385
1786075500,84.91,84.92,84.9,84.9,31345
1786075560,84.87,84.87,84.8,84.85,18991
1786075620,84.84,84.84,84.79,84.8,9826
1786075680,84.77,84.8,84.77,84.78,25614
1786075740,84.78,84.8,84.75,84.76,46706
1786075800,84.75,84.76,84.72,84.72,16720
1786075860,84.7,84.7,84.67,84.69,25588
1786075920,84.67,84.7,84.66,84.67,20608
1786075980,84.69,84.69,84.68,84.69,6850
1786076040,84.65,84.75,84.65,84.72,41338
1786076100,84.75,84.77,84.74,84.76,25736
1786076160,84.76,84.76,84.74,84.76,4071
1786076220,84.74,84.76,84.72,84.76,5860
1786076280,84.75,84.75,84.65,84.65,61201
1786076340,84.73,84.73,84.69,84.72,5132
1786076400,84.7,84.72,84.69,84.69,3256
1786076460,84.72,84.72,84.69,84.7,5478
1786076520,84.69,84.72,84.69,84.7,2974
1786076580,84.71,84.71,84.66,84.66,4795
1786076640,84.67,84.72,84.67,84.72,5973
1786076700,84.72,84.75,84.72,84.73,102954
1786076760,84.73,84.8,84.73,84.77,47938
1786076820,84.75,84.75,84.73,84.74,18344
1786076880,84.73,84.73,84.67,84.71,14749
1786076940,84.72,84.72,84.67,84.7,8273
1786077000,84.68,84.71,84.67,84.68,6951
1786077060,84.66,84.66,84.62,84.62,31006
1786077120,84.62,84.66,84.62,84.62,17352
1786077180,84.62,84.65,84.62,84.65,4689
1786077240,84.65,84.65,84.63,84.63,3636
1786077300,84.65,84.65,84.61,84.64,7962
1786077360,84.73,84.76,84.73,84.76,64696
1786077420,84.78,84.85,84.78,84.8,19549
1786077480,84.8,84.83,84.78,84.78,4928
1786077540,84.78,84.8,84.76,84.8,9302
1786077600,84.82,84.82,84.78,84.79,3642
1786077660,84.82,84.82,84.79,84.81,9663
1786077720,84.79,84.81,84.79,84.8,1530
1786077780,84.8,84.8,84.75,84.75,7482
1786077840,84.77,84.8,84.77,84.8,6306
1786077900,84.8,84.8,84.72,84.72,13639
1786077960,84.76,84.76,84.72,84.72,7933
1786078020,84.72,84.72,84.71,84.71,12324
1786078080,84.71,84.71,84.65,84.67,11478
1786078140,84.66,84.67,84.64,84.64,4686
1786078200,84.63,84.64,84.61,84.62,9116
1786078260,84.64,84.66,84.62,84.66,10231
1786078320,84.63,84.65,84.61,84.61,29440
1786078380,84.62,84.64,84.61,84.64,7428
1786078440,84.64,84.64,84.56,84.59,44523
1786078500,84.6,84.64,84.58,84.59,10389
1786078560,84.63,84.63,84.6,84.61,3874
1786078620,84.6,84.61,84.57,84.59,5593
1786078680,84.59,84.59,84.53,84.54,28982
1786078740,84.55,84.55,84.5,84.51,29998
1786078800,84.48,84.54,84.48,84.48,86861
1786078860,84.48,84.66,84.48,84.59,185331
1786078920,84.59,84.66,84.55,84.66,22203
1786078980,84.64,84.66,84.58,84.58,23351
1786079040,84.62,84.65,84.6,84.63,9769
1786079100,84.63,84.64,84.6,84.6,4998
1786079160,84.63,84.64,84.6,84.61,4793
1786079220,84.6,84.63,84.6,84.63,2056
1786079280,84.6,84.64,84.58,84.64,2771
1786079340,84.63,84.63,84.59,84.63,6820
1786079400,84.63,84.63,84.61,84.61,5024
1786079460,84.61,84.63,84.6,84.6,14599
1786079520,84.63,84.63,84.6,84.6,3513
1786079580,84.6,84.63,84.6,84.63,3698
1786079640,84.6,84.62,84.6,84.61,4746
1786079700,84.62,84.63,84.58,84.58,8772
1786079760,84.63,84.65,84.58,84.65,14097
1786079820,84.64,84.7,84.64,84.67,5473
1786079880,84.7,84.71,84.67,84.67,9174
1786079940,84.67,84.67,84.65,84.65,8516
1786080000,84.61,84.69,84.61,84.69,89715
1786080060,84.69,84.7,84.65,84.68,13996
1786080120,84.7,84.7,84.65,84.68,5146
1786080180,84.65,84.74,84.65,84.71,44125
1786080240,84.74,84.76,84.68,84.68,45724
1786080300,84.67,84.71,84.67,84.7,2969
1786080360,84.7,84.72,84.7,84.7,28079
1786080420,84.7,84.7,84.68,84.68,4572
1786080480,84.67,84.67,84.63,84.64,9225
1786080540,84.64,84.66,84.64,84.66,16292
1786080600,84.64,84.68,84.64,84.68,22989
1786080660,84.68,84.68,84.66,84.66,7241
1786080720,84.64,84.7,84.64,84.7,81673
1786080780,84.75,84.75,84.68,84.73,36634
1786080840,84.73,84.73,84.69,84.69,6352
1786080900,84.7,84.73,84.69,84.72,16203
1786080960,84.72,84.74,84.72,84.74,2959
1786081020,84.75,84.75,84.72,84.75,5756
1786081080,84.76,84.79,84.75,84.78,3792
1786081140,84.78,84.79,84.76,84.76,3208
1786081200,84.76,84.77,84.73,84.73,4749
1786081260,84.73,84.76,84.73,84.76,1861
1786081320,84.72,84.74,84.7,84.71,4456
1786081380,84.72,84.76,84.72,84.73,2328
1786081440,84.75,84.75,84.7,84.72,3215
1786081500,84.75,84.75,84.72,84.75,2816
1786081560,84.75,84.78,84.74,84.75,10742
1786081620,84.76,84.76,84.72,84.72,18805
1786081680,84.72,84.74,84.7,84.7,11290
1786081740,84.73,84.73,84.68,84.68,4854
1786081800,84.73,84.74,84.68,84.68,1656
1786081860,84.69,84.74,84.68,84.68,3757
1786081920,84.72,84.73,84.67,84.67,1641
1786081980,84.71,84.71,84.68,84.68,3527
1786082040,84.71,84.71,84.69,84.69,4473
1786082100,84.71,84.8,84.7,84.8,81912
1786082160,84.8,84.81,84.8,84.8,34452
1786082220,84.8,84.8,84.78,84.78,5824
1786082280,84.8,84.8,84.78,84.8,2063
